,first_male,first_female,tuple,solar_male,solar_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.42074722,-0.51117706,"('unsociable', 'sociable')",0.28404373,0.24051936,-0.62787694,-0.72603303,-0.2548601,-0.3322303,-0.0773702
1,-1.099927,-1.2136275,"('unfriendly', 'friendly')",0.033536512,-0.05772092,1.8847097,1.7675558,0.2727731,0.1654025,-0.1073706
2,0.7344734,0.7862875,"('unlikable', 'likable')",0.5408212,0.5407146,0.76132834,0.83127445,0.6788743,0.7194255,0.0405512
3,0.4725759,0.5508953,"('repellent', 'pleasant')",-0.347183,-0.17427158,0.2560652,0.3006975,0.1271527,0.2257737,0.098621
4,-0.4095586,-0.39422697,"('disliked', 'liked')",0.59259224,0.60046643,-6.373091,-6.468517,-2.0633526,-2.0874259,-0.0240733
5,-1.2023752,-1.2303226,"('distant', 'outgoing')",0.32243097,0.30872518,0.054171972,0.033706024,-0.2752574,-0.2959638,-0.0207064
6,-0.96501875,-0.9812785,"('distant', 'open')",-0.26472777,-0.27540463,0.5566984,0.54490185,-0.2243494,-0.2372604,-0.012911
7,0.95702595,0.9927634,"('insensitive', 'sensitive')",0.38234466,0.42153394,0.47322083,0.5424239,0.6041971,0.6522404,0.0480433
8,-0.88511443,-0.9355908,"('unaffectionate', 'affectionate')",-0.48297587,-0.59222406,0.64789647,0.62619805,-0.2400646,-0.3005389,-0.0604743
9,0.21530874,0.19014424,"('unaffectionate', 'caring')",0.29025745,0.23518038,1.0524461,1.0800617,0.5193374,0.5017955,-0.0175419
10,0.7858097,0.7833205,"('unsympathetic', 'sympathetic')",-1.4088734,-1.3909022,-0.7093678,-0.6706356,-0.4441439,-0.4260724,0.0180715
11,0.59400684,0.6396481,"('unhelpful', 'helpful')",-0.1935086,-0.1704457,1.4433782,1.5899277,0.6146255,0.6863767,0.0717512
12,0.9912389,1.0654268,"('unsupportive', 'supportive')",0.78244543,0.8145646,-1.8623713,-1.8442283,-0.0295624,0.011921,0.0414834
13,0.719311,0.7022808,"('impolite', 'polite')",-0.1695161,-0.11916447,-0.6363237,-0.6397932,-0.0288429,-0.0188923,0.0099506
14,0.46532786,0.4949468,"('antisocial', 'social')",0.40914044,0.43305078,-0.8397311,-0.85751086,0.0115791,0.0234956,0.0119165
15,0.23429216,0.15568234,"('boring', 'funny')",0.3813964,0.2701804,0.29701024,0.27495402,0.3042329,0.2336056,-0.0706273
16,-1.5473017,-1.5626376,"('unpopular', 'popular')",-0.3643168,-0.3929337,0.5135736,0.50149435,-0.4660149,-0.4846923,-0.0186774
17,0.001138106,0.054427985,"('nasty', 'nice')",-0.2636896,-0.18327466,-0.61057836,-0.5271164,-0.2910433,-0.2186544,0.0723889
18,-0.107512176,-0.048929013,"('disagreeable', 'welcoming')",-0.48255134,-0.44769776,-0.1789813,-0.18366405,-0.2563483,-0.2267636,0.0295847
19,-0.8181249,-0.78772223,"('inhospitable', 'hospitable')",-0.7783067,-0.74559855,-0.044215634,0.10093307,-0.5468824,-0.4774626,0.0694198
20,0.05492358,0.088314325,"('rough', 'thoughtful')",0.44212905,0.49929518,1.2684356,1.2189723,0.588496,0.602194,0.013698
21,1.6738061,1.6427791,"('immoral', 'moral')",0.2592873,0.25683054,-0.6055906,-0.5452477,0.4425009,0.451454,0.0089531
22,0.24528849,0.25067177,"('untrustworthy', 'trustworthy')",-1.2064066,-1.2755864,-1.0028048,-1.0151398,-0.654641,-0.6800181,-0.0253771
23,0.87940305,0.8667666,"('insincere', 'sincere')",-0.18695532,-0.18805264,5.593372,5.5633154,2.0952732,2.0806764,-0.0145968
24,1.266378,1.2845279,"('dishonest', 'honest')",-0.41544884,-0.43734604,0.76044106,0.7708295,0.5371234,0.5393371,0.0022137
25,-0.5549278,-0.63749754,"('egoistic', 'altruistic')",0.92573947,0.9134335,1.5777383,1.5212512,0.6495167,0.5990624,-0.0504543
26,-0.57247573,-0.6014717,"('hardhearted', 'benevolent')",1.5441326,1.4923599,1.7195898,1.6753144,0.8970822,0.8554009,-0.0416813
27,0.6098966,0.621731,"('hardhearted', 'softhearted')",0.20526598,0.18047851,1.6164262,1.5568527,0.8105296,0.7863541,-0.0241755
28,0.66544384,0.557904,"('disloyal', 'loyal')",0.23662008,0.15388685,0.8023616,0.7454838,0.5681419,0.4857582,-0.0823837
29,0.17597999,0.109853595,"('unfair', 'fair')",-0.2654991,-0.27231607,0.01053597,-0.15539521,-0.0263277,-0.1059526,-0.0796249
30,0.49448553,0.555501,"('intolerant', 'tolerant')",1.1386666,1.1560491,1.0687082,1.06327,0.9006201,0.92494,0.0243199
31,-1.2953392,-1.2321997,"('evil', 'good')",-0.513992,-0.39195082,-0.7113909,-0.7667653,-0.8402407,-0.796972,0.0432687
32,1.043792,1.0183839,"('unkind', 'kind')",-0.111142635,-0.1903475,0.67864245,0.57080364,0.5370973,0.46628,-0.0708173
33,0.052055143,0.044450797,"('wrong', 'right')",0.5511228,0.5368524,-0.23035988,-0.28265443,0.1242727,0.0995496,-0.0247231
34,-0.32585216,-0.19768918,"('mean', 'honorable')",0.4422628,0.5742285,5.7743683,5.970055,1.963593,2.1155314,0.1519384
35,-1.1154943,-1.169995,"('corrupt', 'incorrupt')",-0.46102837,-0.49192896,0.20002337,0.09747827,-0.4588331,-0.5214819,-0.0626488
36,-2.107874,-2.1742065,"('hostile', 'amicable')",-0.42750436,-0.4199551,0.43408155,0.2760584,-0.7004322,-0.772701,-0.0722688
37,1.3777683,1.4664135,"('fake', 'genuine')",-0.64178294,-0.6558787,0.46124572,0.49395064,0.399077,0.4348285,0.0357515
38,-0.2108092,-0.17918164,"('untruthful', 'truthful')",0.11109778,0.16419108,0.06290679,0.15035105,-0.0122682,0.0451202,0.0573884
39,1.7494397,1.7690395,"('exploitative', 'cooperative')",0.86705863,0.91671926,0.08241473,0.0994068,0.8996377,0.9283885,0.0287508
40,0.5957721,0.5337003,"('stingy', 'generous')",0.6773377,0.68286455,-1.5521019,-1.6808972,-0.0929974,-0.1547774,-0.06178
41,0.3639778,0.36073604,"('unforgiving', 'forgiving')",-0.6059848,-0.6132285,-0.04521406,-0.10131568,-0.0957404,-0.117936,-0.0221956
42,0.77691406,0.9286839,"('unreliable', 'reliable')",-0.08677924,-0.061729144,-3.153788,-3.0524771,-0.8212178,-0.7285074,0.0927104
43,0.7155349,0.80404854,"('irresponsible', 'responsible')",0.4053622,0.38514742,0.367448,0.4139122,0.496115,0.5343694,0.0382544
44,-0.09096983,0.0045307167,"('prejudiced', 'unprejudiced')",-1.1720896,-1.1381091,-1.071505,-1.044881,-0.7781881,-0.7261531,0.052035
45,-0.11827549,-0.091059744,"('incompetent', 'competent')",-1.2350295,-1.1872146,-0.3455682,-0.35012588,-0.5662911,-0.5428001,0.023491
