,probation_male,probation_female,tuple,average_male,average_female,female-male
0,0.04983029,-0.038693745,"('unsociable', 'sociable')",0.0498303,-0.0386937,-0.088524
1,1.5716748,1.61431,"('unfriendly', 'friendly')",1.5716748,1.61431,0.0426352
2,-0.01609734,0.10956472,"('unlikable', 'likable')",-0.0160973,0.1095647,0.125662
3,0.47592133,0.5808185,"('repellent', 'pleasant')",0.4759213,0.5808185,0.1048972
4,-7.693672,-7.711937,"('disliked', 'liked')",-7.6936722,-7.711937,-0.0182648
5,-0.17147915,-0.1169088,"('distant', 'outgoing')",-0.1714792,-0.1169088,0.0545704
6,0.42291605,0.39929026,"('distant', 'open')",0.4229161,0.3992903,-0.0236258
7,1.195227,1.1696185,"('insensitive', 'sensitive')",1.195227,1.1696185,-0.0256085
8,1.5749989,1.5258096,"('unaffectionate', 'affectionate')",1.5749989,1.5258096,-0.0491893
9,1.8550255,1.868464,"('unaffectionate', 'caring')",1.8550255,1.868464,0.0134385
10,0.7557143,0.71291417,"('unsympathetic', 'sympathetic')",0.7557143,0.7129142,-0.0428001
11,1.533112,1.5271834,"('unhelpful', 'helpful')",1.533112,1.5271834,-0.0059286
12,-1.6374607,-1.6365255,"('unsupportive', 'supportive')",-1.6374607,-1.6365255,0.0009352
13,-0.41264337,-0.33468077,"('impolite', 'polite')",-0.4126434,-0.3346808,0.0779626
14,-0.110950574,-0.11728238,"('antisocial', 'social')",-0.1109506,-0.1172824,-0.0063318
15,0.3941098,0.33836737,"('boring', 'funny')",0.3941098,0.3383674,-0.0557424
16,-0.6972908,-0.6695268,"('unpopular', 'popular')",-0.6972908,-0.6695268,0.027764
17,0.19330293,0.17449667,"('nasty', 'nice')",0.1933029,0.1744967,-0.0188062
18,-0.8448877,-0.7494311,"('disagreeable', 'welcoming')",-0.8448877,-0.7494311,0.0954566
19,-0.21818194,-0.19416009,"('inhospitable', 'hospitable')",-0.2181819,-0.1941601,0.0240218
20,0.49715924,0.36734775,"('rough', 'thoughtful')",0.4971592,0.3673477,-0.1298115
21,-0.6772152,-0.48931903,"('immoral', 'moral')",-0.6772152,-0.489319,0.1878962
22,-0.6892004,-0.66660213,"('untrustworthy', 'trustworthy')",-0.6892004,-0.6666021,0.0225983
23,6.6559834,6.738825,"('insincere', 'sincere')",6.6559834,6.7388248,0.0828414
24,1.2076054,1.2034582,"('dishonest', 'honest')",1.2076054,1.2034582,-0.0041472
25,0.91889715,0.92253304,"('egoistic', 'altruistic')",0.9188972,0.922533,0.0036358
26,1.6894505,1.5526935,"('hardhearted', 'benevolent')",1.6894505,1.5526935,-0.136757
27,1.9730322,1.8260456,"('hardhearted', 'softhearted')",1.9730322,1.8260456,-0.1469866
28,1.5837103,1.4729533,"('disloyal', 'loyal')",1.5837103,1.4729533,-0.110757
29,-0.35159054,-0.5303319,"('unfair', 'fair')",-0.3515905,-0.5303319,-0.1787414
30,0.58529335,0.67128,"('intolerant', 'tolerant')",0.5852934,0.67128,0.0859866
31,-1.1940877,-1.1801703,"('evil', 'good')",-1.1940877,-1.1801703,0.0139174
32,1.2905139,1.1969571,"('unkind', 'kind')",1.2905139,1.1969571,-0.0935568
33,-0.24265026,-0.26528665,"('wrong', 'right')",-0.2426503,-0.2652867,-0.0226364
34,4.783936,5.009904,"('mean', 'honorable')",4.783936,5.0099039,0.2259679
35,-0.48666695,-0.6973363,"('corrupt', 'incorrupt')",-0.4866669,-0.6973363,-0.2106694
36,-0.25935394,-0.35695693,"('hostile', 'amicable')",-0.2593539,-0.3569569,-0.097603
37,0.9555417,0.9288871,"('fake', 'genuine')",0.9555417,0.9288871,-0.0266546
38,-0.18689421,-0.064785294,"('untruthful', 'truthful')",-0.1868942,-0.0647853,0.1221089
