,curtailment_male,curtailment_female,tuple,average_male,average_female,female-male
0,-0.024282064,-0.22690819,"('unsociable', 'sociable')",-0.0242821,-0.2269082,-0.2026261
1,-2.2103558,-2.3490982,"('unfriendly', 'friendly')",-2.2103558,-2.3490982,-0.1387424
2,-0.60491,-0.3800216,"('unlikable', 'likable')",-0.60491,-0.3800216,0.2248884
3,-0.33938238,-0.24123777,"('repellent', 'pleasant')",-0.3393824,-0.2412378,0.0981446
4,-1.8821856,-2.1186774,"('disliked', 'liked')",-1.8821856,-2.1186774,-0.2364918
5,-1.7845892,-1.9413114,"('distant', 'outgoing')",-1.7845892,-1.9413114,-0.1567222
6,-2.0088193,-2.125252,"('distant', 'open')",-2.0088193,-2.125252,-0.1164327
7,-0.18654098,-0.20753999,"('insensitive', 'sensitive')",-0.186541,-0.20754,-0.020999
8,-1.7800175,-1.7092074,"('unaffectionate', 'affectionate')",-1.7800175,-1.7092074,0.0708101
9,-1.8890643,-1.9393789,"('unaffectionate', 'caring')",-1.8890643,-1.9393789,-0.0503146
10,-0.09741643,-0.24325886,"('unsympathetic', 'sympathetic')",-0.0974164,-0.2432589,-0.1458425
11,0.044529796,0.19976337,"('unhelpful', 'helpful')",0.0445298,0.1997634,0.1552336
12,-1.6487985,-1.7068839,"('unsupportive', 'supportive')",-1.6487985,-1.7068839,-0.0580854
13,-0.10118893,-0.16620159,"('impolite', 'polite')",-0.1011889,-0.1662016,-0.0650127
14,0.9516411,0.99903166,"('antisocial', 'social')",0.9516411,0.9990317,0.0473906
15,-0.09359969,-0.08212958,"('boring', 'funny')",-0.0935997,-0.0821296,0.0114701
16,-0.72064894,-0.6192718,"('unpopular', 'popular')",-0.7206489,-0.6192718,0.1013771
17,-0.5927903,-0.46091598,"('nasty', 'nice')",-0.5927903,-0.460916,0.1318743
18,-1.9711436,-1.6407267,"('disagreeable', 'welcoming')",-1.9711436,-1.6407267,0.3304169
19,-2.4332824,-2.2436132,"('inhospitable', 'hospitable')",-2.4332824,-2.2436132,0.1896692
20,-0.15747339,-0.19294414,"('rough', 'thoughtful')",-0.1574734,-0.1929441,-0.0354707
21,-0.22313477,-0.069622815,"('immoral', 'moral')",-0.2231348,-0.0696228,0.153512
22,0.10807358,0.061074473,"('untrustworthy', 'trustworthy')",0.1080736,0.0610745,-0.0469991
23,0.97132283,0.99027634,"('insincere', 'sincere')",0.9713228,0.9902763,0.0189535
24,-0.6359084,-0.72294533,"('dishonest', 'honest')",-0.6359084,-0.7229453,-0.0870369
25,-0.5806401,-0.5153412,"('egoistic', 'altruistic')",-0.5806401,-0.5153412,0.0652989
26,0.32898292,0.12101061,"('hardhearted', 'benevolent')",0.3289829,0.1210106,-0.2079723
27,-1.0528914,-1.1788791,"('hardhearted', 'softhearted')",-1.0528914,-1.1788791,-0.1259877
28,-0.31220052,-0.26098102,"('disloyal', 'loyal')",-0.3122005,-0.260981,0.0512195
29,-0.7588916,-0.93489075,"('unfair', 'fair')",-0.7588916,-0.9348907,-0.1759991
30,0.02674939,0.16471535,"('intolerant', 'tolerant')",0.0267494,0.1647153,0.1379659
31,-2.8547695,-2.9195645,"('evil', 'good')",-2.8547695,-2.9195645,-0.064795
32,0.14925471,0.12008182,"('unkind', 'kind')",0.1492547,0.1200818,-0.0291729
33,-0.4852377,-0.4026274,"('wrong', 'right')",-0.4852377,-0.4026274,0.0826103
34,0.6607139,0.89494467,"('mean', 'honorable')",0.6607139,0.8949447,0.2342308
35,-1.1343657,-1.2871948,"('corrupt', 'incorrupt')",-1.1343657,-1.2871948,-0.1528291
36,-2.2560227,-2.1311872,"('hostile', 'amicable')",-2.2560227,-2.1311872,0.1248355
37,-0.6568301,-0.6683148,"('fake', 'genuine')",-0.6568301,-0.6683148,-0.0114847
38,-0.72281593,-0.76326114,"('untruthful', 'truthful')",-0.7228159,-0.7632611,-0.0404452
39,-0.70392454,-0.4443144,"('exploitative', 'cooperative')",-0.7039245,-0.4443144,0.2596101
40,-1.5752017,-1.7621518,"('stingy', 'generous')",-1.5752017,-1.7621518,-0.1869501
41,-0.735428,-0.6076467,"('unforgiving', 'forgiving')",-0.735428,-0.6076467,0.1277813
42,-0.15246539,0.1763758,"('unreliable', 'reliable')",-0.1524654,0.1763758,0.3288412
43,-0.08834133,-0.16087332,"('irresponsible', 'responsible')",-0.0883413,-0.1608733,-0.072532
44,-0.8808027,-0.70481926,"('prejudiced', 'unprejudiced')",-0.8808027,-0.7048193,0.1759834
