,patriarch_male,patriarch_female,tuple,average_male,average_female,female-male
0,0.36947265,0.3674096,"('unsociable', 'sociable')",0.3694727,0.3674096,-0.0020631
1,1.586659,1.5353286,"('unfriendly', 'friendly')",1.586659,1.5353286,-0.0513304
2,0.19974613,0.29057217,"('unlikable', 'likable')",0.1997461,0.2905722,0.0908261
3,1.1585475,1.208936,"('repellent', 'pleasant')",1.1585475,1.208936,0.0503885
4,-7.1050467,-7.121052,"('disliked', 'liked')",-7.1050467,-7.1210518,-0.0160051
5,-0.050788004,0.046380967,"('distant', 'outgoing')",-0.050788,0.046381,0.097169
6,0.24083073,0.23902479,"('distant', 'open')",0.2408307,0.2390248,-0.0018059
7,1.5468341,1.6050599,"('insensitive', 'sensitive')",1.5468341,1.6050599,0.0582258
8,1.0060533,0.98409903,"('unaffectionate', 'affectionate')",1.0060533,0.984099,-0.0219543
9,1.5534908,1.6828576,"('unaffectionate', 'caring')",1.5534908,1.6828576,0.1293668
10,1.320208,1.393995,"('unsympathetic', 'sympathetic')",1.320208,1.393995,0.073787
11,2.0728717,2.2276626,"('unhelpful', 'helpful')",2.0728717,2.2276626,0.1547909
12,-1.084999,-0.89886105,"('unsupportive', 'supportive')",-1.084999,-0.8988611,0.1861379
13,0.23847891,0.26080847,"('impolite', 'polite')",0.2384789,0.2608085,0.0223296
14,0.08254943,0.14488167,"('antisocial', 'social')",0.0825494,0.1448817,0.0623323
15,0.44892722,0.41590607,"('boring', 'funny')",0.4489272,0.4159061,-0.0330211
16,-0.5623472,-0.52108127,"('unpopular', 'popular')",-0.5623472,-0.5210813,0.0412659
17,-0.3032152,-0.27009767,"('nasty', 'nice')",-0.3032152,-0.2700977,0.0331175
18,-0.118304044,-0.09192172,"('disagreeable', 'welcoming')",-0.118304,-0.0919217,0.0263823
19,-0.39865163,-0.2664939,"('inhospitable', 'hospitable')",-0.3986516,-0.2664939,0.1321577
20,0.5089245,0.38257188,"('rough', 'thoughtful')",0.5089245,0.3825719,-0.1263526
21,0.27981666,0.47431543,"('immoral', 'moral')",0.2798167,0.4743154,0.1944987
22,0.008214576,0.07674434,"('untrustworthy', 'trustworthy')",0.0082146,0.0767443,0.0685297
23,6.923994,7.006616,"('insincere', 'sincere')",6.9239941,7.0066161,0.082622
24,1.9220898,2.0214696,"('dishonest', 'honest')",1.9220898,2.0214696,0.0993798
25,0.7434996,0.63224465,"('egoistic', 'altruistic')",0.7434996,0.6322446,-0.111255
26,0.484008,0.29913476,"('hardhearted', 'benevolent')",0.484008,0.2991348,-0.1848732
27,1.8949238,1.6255225,"('hardhearted', 'softhearted')",1.8949238,1.6255225,-0.2694013
28,1.2565229,1.2485147,"('disloyal', 'loyal')",1.2565229,1.2485147,-0.0080082
29,-0.7162916,-0.79717934,"('unfair', 'fair')",-0.7162916,-0.7971793,-0.0808877
30,0.88769424,0.9715156,"('intolerant', 'tolerant')",0.8876942,0.9715156,0.0838214
31,-1.4991113,-1.5351956,"('evil', 'good')",-1.4991113,-1.5351956,-0.0360843
32,1.4542971,1.3653942,"('unkind', 'kind')",1.4542971,1.3653942,-0.0889029
33,-0.28788438,-0.22332463,"('wrong', 'right')",-0.2878844,-0.2233246,0.0645598
34,4.704686,4.9403653,"('mean', 'honorable')",4.7046862,4.9403653,0.2356791
35,-1.2984917,-1.450428,"('corrupt', 'incorrupt')",-1.2984917,-1.450428,-0.1519363
36,-1.4442589,-1.504211,"('hostile', 'amicable')",-1.4442589,-1.5042109,-0.059952
37,1.1598166,1.0821922,"('fake', 'genuine')",1.1598166,1.0821922,-0.0776244
38,0.18392864,0.24117057,"('untruthful', 'truthful')",0.1839286,0.2411706,0.057242
39,0.24026236,0.26794073,"('exploitative', 'cooperative')",0.2402624,0.2679407,0.0276783
40,-0.7125934,-0.8177537,"('stingy', 'generous')",-0.7125934,-0.8177537,-0.1051603
41,0.0048752055,-0.07280603,"('unforgiving', 'forgiving')",0.0048752,-0.072806,-0.0776812
42,-1.9555751,-1.9081566,"('unreliable', 'reliable')",-1.9555751,-1.9081566,0.0474185
43,1.2925208,1.3673459,"('irresponsible', 'responsible')",1.2925208,1.3673459,0.0748251
44,-1.5085665,-1.6832017,"('prejudiced', 'unprejudiced')",-1.5085665,-1.6832017,-0.1746352
45,0.47310603,0.46085587,"('incompetent', 'competent')",0.473106,0.4608559,-0.0122501
46,-0.39404142,-0.2907835,"('uncompetitive', 'competitive')",-0.3940414,-0.2907835,0.1032579
47,4.908522,4.986574,"('stupid', 'smart')",4.9085221,4.9865742,0.0780521
48,0.7102231,0.66340643,"('unintelligent', 'intelligent')",0.7102231,0.6634064,-0.0468167
49,0.3003841,0.429732,"('unable', 'able')",0.3003841,0.429732,0.1293479
50,-0.09076062,-0.085768335,"('clumsy', 'skillful')",-0.0907606,-0.0857683,0.0049923
51,1.0672415,1.091353,"('uneducated', 'educated')",1.0672415,1.0913531,0.0241116
52,-0.33579192,-0.4154387,"('irrational', 'rational')",-0.3357919,-0.4154387,-0.0796468
53,-0.039849926,-0.062493015,"('uncreative', 'creative')",-0.0398499,-0.062493,-0.0226431
54,1.1041919,1.3812466,"('incapable', 'capable')",1.1041919,1.3812466,0.2770547
55,1.2886143,1.360028,"('incompetent', 'clever')",1.2886143,1.360028,0.0714137
56,0.727415,0.92811054,"('impractical', 'practical')",0.727415,0.9281105,0.2006955
57,-2.1414275,-2.1400554,"('unimaginative', 'imaginative')",-2.1414275,-2.1400554,0.0013721
58,0.15393612,0.14977571,"('undiscriminating', 'discriminating')",0.1539361,0.1497757,-0.0041604
59,-0.0030572899,0.0268591,"('foolish', 'wise')",-0.0030573,0.0268591,0.0299164
60,0.8544571,0.96711195,"('inefficient', 'efficient')",0.8544571,0.9671119,0.1126548
61,0.47438258,0.34740907,"('illogical', 'logical')",0.4743826,0.3474091,-0.1269735
62,1.520936,1.7281429,"('incompetent', 'brilliant')",1.520936,1.7281429,0.2072069
63,0.8878101,1.017656,"('unperceptive', 'insightful')",0.8878101,1.017656,0.1298459
64,-5.928695,-5.7065806,"('shy', 'confident')",-5.9286952,-5.7065806,0.2221146
65,0.7165562,0.90431803,"('insecure', 'secure')",0.7165562,0.904318,0.1877618
66,-0.583706,-0.55457705,"('inactive', 'active')",-0.583706,-0.5545771,0.0291289
67,-0.8617543,-0.8827489,"('doubtful', 'determined')",-0.8617543,-0.8827489,-0.0209946
68,-0.351426,-0.29401588,"('dependent', 'independent')",-0.351426,-0.2940159,0.0574101
69,-2.0946958,-2.0551748,"('lazy', 'industrious')",-2.0946958,-2.0551748,0.039521
70,1.8226596,1.8648736,"('lethargic', 'energetic')",1.8226596,1.8648736,0.042214
71,0.3830799,0.5404758,"('diffident', 'self-confident')",0.3830799,0.5404758,0.1573959
72,1.1186444,1.308979,"('unambitious', 'ambitious')",1.1186444,1.308979,0.1903346
73,-2.4683201,-2.3390589,"('helpless', 'self-reliant')",-2.4683201,-2.3390589,0.1292612
74,0.4000279,0.27472764,"('undedicated', 'dedicated')",0.4000279,0.2747276,-0.1253003
75,-1.0887341,-0.9951358,"('meek', 'impulsive')",-1.0887341,-0.9951358,0.0935983
76,0.62664294,0.53862786,"('anxious', 'daring')",0.6266429,0.5386279,-0.088015
77,-1.4056538,-1.1849884,"('unmotivated', 'motivated')",-1.4056538,-1.1849884,0.2206654
78,-0.60109776,-0.5571759,"('nonresilient', 'resilient')",-0.6010978,-0.5571759,0.0439219
79,-0.3046112,-0.29958904,"('wavering', 'unwavering')",-0.3046112,-0.299589,0.0050222
80,0.25286895,0.2592617,"('dominated', 'dominating')",0.252869,0.2592617,0.0063927
81,0.069920644,0.23354188,"('submissive', 'aggressive')",0.0699206,0.2335419,0.1636213
82,6.4153194,6.534858,"('poor', 'rich')",6.4153194,6.5348582,0.1195388
83,-0.40173766,-0.29916623,"('powerless', 'powerful')",-0.4017377,-0.2991662,0.1025715
84,0.1325659,0.173173,"('inferior', 'superior')",0.1325659,0.173173,0.0406071
85,-1.2713113,-1.4154005,"('insignificant', 'prestigious')",-1.2713113,-1.4154005,-0.1440892
86,0.9694173,0.9624221,"('uninfluential', 'influential')",0.9694173,0.9624221,-0.0069952
87,0.5625858,0.74970055,"('unsuccessful', 'successful')",0.5625858,0.7497005,0.1871147
88,0.29325765,0.32321244,"('low', 'eminent')",0.2932577,0.3232124,0.0299547
