,manservant_male,manservant_female,tuple,average_male,average_female,female-male
0,-1.4608526,-1.7709436,"('unsociable', 'sociable')",-1.4608526,-1.7709436,-0.310091
1,-0.41444385,-0.48773745,"('unfriendly', 'friendly')",-0.4144439,-0.4877374,-0.0732935
2,0.45190734,0.5029271,"('unlikable', 'likable')",0.4519073,0.5029271,0.0510198
3,-1.451973,-1.3856628,"('repellent', 'pleasant')",-1.451973,-1.3856628,0.0663102
4,-0.71004224,-0.5886656,"('disliked', 'liked')",-0.7100422,-0.5886656,0.1213766
5,0.89981914,1.1364512,"('distant', 'outgoing')",0.8998191,1.1364512,0.2366321
6,0.8957569,1.0750793,"('distant', 'open')",0.8957569,1.0750793,0.1793224
7,-1.3012354,-1.4020959,"('insensitive', 'sensitive')",-1.3012354,-1.4020959,-0.1008605
8,-0.41690361,-0.37364852,"('unaffectionate', 'affectionate')",-0.4169036,-0.3736485,0.0432551
9,-0.40257505,-0.39265004,"('unaffectionate', 'caring')",-0.402575,-0.39265,0.009925
10,-2.5719745,-2.7258227,"('unsympathetic', 'sympathetic')",-2.5719745,-2.7258227,-0.1538482
11,-1.4069121,-1.4944193,"('unhelpful', 'helpful')",-1.4069121,-1.4944193,-0.0875072
12,-2.2930517,-2.175491,"('unsupportive', 'supportive')",-2.2930517,-2.1754911,0.1175606
13,-0.45423216,-0.5754987,"('impolite', 'polite')",-0.4542322,-0.5754987,-0.1212665
14,-2.0628114,-2.1915889,"('antisocial', 'social')",-2.0628114,-2.1915889,-0.1287775
15,0.6334026,0.506835,"('boring', 'funny')",0.6334026,0.506835,-0.1265676
16,0.6350913,0.65020186,"('unpopular', 'popular')",0.6350913,0.6502019,0.0151106
17,0.60091436,0.82757,"('nasty', 'nice')",0.6009144,0.82757,0.2266556
18,-0.67626435,-0.69272673,"('disagreeable', 'welcoming')",-0.6762643,-0.6927267,-0.0164624
19,0.35184345,0.4945983,"('inhospitable', 'hospitable')",0.3518434,0.4945983,0.1427549
20,0.58703953,0.4292465,"('rough', 'thoughtful')",0.5870395,0.4292465,-0.157793
21,-1.7267505,-1.7686127,"('immoral', 'moral')",-1.7267505,-1.7686127,-0.0418622
