,sail_male,sail_female,tuple,average_male,average_female,female-male
0,0.041419435,-0.093096584,"('unsociable', 'sociable')",0.0414194,-0.0930966,-0.134516
1,1.4104325,1.4505798,"('unfriendly', 'friendly')",1.4104325,1.4505798,0.0401473
2,0.2788061,0.44254208,"('unlikable', 'likable')",0.2788061,0.4425421,0.163736
3,0.7632899,0.8545716,"('repellent', 'pleasant')",0.7632899,0.8545716,0.0912817
4,-7.462469,-7.415872,"('disliked', 'liked')",-7.4624691,-7.4158721,0.046597
5,-0.54077923,-0.41943944,"('distant', 'outgoing')",-0.5407792,-0.4194394,0.1213398
6,-0.18685442,-0.074431136,"('distant', 'open')",-0.1868544,-0.0744311,0.1124233
7,1.2423992,1.1594615,"('insensitive', 'sensitive')",1.2423992,1.1594615,-0.0829377
8,1.0232908,1.0473343,"('unaffectionate', 'affectionate')",1.0232908,1.0473343,0.0240435
9,1.6670626,1.7641809,"('unaffectionate', 'caring')",1.6670626,1.7641809,0.0971183
10,1.2266517,1.1780738,"('unsympathetic', 'sympathetic')",1.2266517,1.1780738,-0.0485779
11,2.0738194,2.1054597,"('unhelpful', 'helpful')",2.0738194,2.1054597,0.0316403
12,-1.127746,-1.1393653,"('unsupportive', 'supportive')",-1.127746,-1.1393653,-0.0116193
13,0.20258604,0.114892796,"('impolite', 'polite')",0.202586,0.1148928,-0.0876932
14,0.193996,0.114427395,"('antisocial', 'social')",0.193996,0.1144274,-0.0795686
15,0.44212627,0.4717,"('boring', 'funny')",0.4421263,0.4717,0.0295737
16,-0.53724533,-0.3891845,"('unpopular', 'popular')",-0.5372453,-0.3891845,0.1480608
17,-0.36003947,-0.32719496,"('nasty', 'nice')",-0.3600395,-0.327195,0.0328445
18,-0.53413796,-0.60350907,"('disagreeable', 'welcoming')",-0.534138,-0.6035091,-0.0693711
19,-0.67381924,-0.5538482,"('inhospitable', 'hospitable')",-0.6738192,-0.5538482,0.119971
20,0.7478927,0.5940602,"('rough', 'thoughtful')",0.7478927,0.5940602,-0.1538325
21,0.21802753,0.2094232,"('immoral', 'moral')",0.2180275,0.2094232,-0.0086043
22,-0.41299838,-0.5387716,"('untrustworthy', 'trustworthy')",-0.4129984,-0.5387716,-0.1257732
23,6.5995965,6.6513214,"('insincere', 'sincere')",6.5995965,6.6513214,0.0517249
24,1.7014365,1.6537211,"('dishonest', 'honest')",1.7014365,1.6537211,-0.0477154
25,0.5753503,0.5924803,"('egoistic', 'altruistic')",0.5753503,0.5924803,0.01713
26,0.5451253,0.49989766,"('hardhearted', 'benevolent')",0.5451253,0.4998977,-0.0452276
27,1.2890306,1.2370484,"('hardhearted', 'softhearted')",1.2890306,1.2370484,-0.0519822
28,0.93434846,0.8760818,"('disloyal', 'loyal')",0.9343485,0.8760818,-0.0582667
29,-0.49836206,-0.6324812,"('unfair', 'fair')",-0.4983621,-0.6324812,-0.1341191
