,caesars_male,caesars_female,tuple,entertainment_male,entertainment_female,inc_male,inc_female,de_male,de_female,average_male,average_female,female-male
0,0.6281316,0.45154127,"('unsociable', 'sociable')",1.3509188,1.1286501,-0.07869607,-0.23043507,-0.42313147,-0.47588736,0.3693057,0.2184672,-0.1508385
1,0.19562738,0.078186974,"('unfriendly', 'friendly')",0.75962603,0.7598087,0.5829135,0.35781816,1.9125412,1.797695,0.862677,0.7483772,-0.1142998
2,1.5871859,1.6421709,"('unlikable', 'likable')",1.2944902,1.43528,1.4850364,1.7078803,0.06303793,0.18637578,1.1074376,1.2429266,0.135489
3,-1.0991222,-1.1155233,"('repellent', 'pleasant')",-0.13130863,0.06284511,-0.070002645,-0.004015734,0.6528691,0.67939687,-0.1618911,-0.0943243,0.0675668
4,0.1641882,0.2679453,"('disliked', 'liked')",-0.50283504,-0.45191073,0.23146915,0.18387164,-7.5534863,-7.619585,-1.915166,-1.9049197,0.0102463
5,-0.118058704,-0.00930246,"('distant', 'outgoing')",0.27525234,0.36876357,0.4252062,0.3822343,-0.2021775,-0.21778585,0.0950556,0.1309774,0.0359218
6,-0.21368082,-0.12447364,"('distant', 'open')",-0.2841177,-0.17143416,0.04150101,-0.0021007694,0.5977074,0.5902742,0.0353525,0.0730664,0.0377139
7,-0.5704417,-0.6592407,"('insensitive', 'sensitive')",-0.049337372,0.02842943,-0.12172278,-0.16267106,0.40466142,0.3630458,-0.0842101,-0.1076091,-0.023399
8,0.38553992,0.3549813,"('unaffectionate', 'affectionate')",0.84640735,0.88220197,-0.38403884,-0.4546828,0.6428109,0.5876436,0.3726798,0.342536,-0.0301438
9,0.002017118,-0.034371525,"('unaffectionate', 'caring')",1.2157097,1.2397255,-0.022326343,-0.08187609,0.9582309,0.9370783,0.5384079,0.515139,-0.0232689
10,-1.9189497,-2.1107042,"('unsympathetic', 'sympathetic')",-0.92049384,-0.7660222,-0.9387462,-1.0025448,-0.81028104,-0.8017848,-1.1471177,-1.170264,-0.0231463
11,-1.7258835,-1.8774089,"('unhelpful', 'helpful')",0.15373285,0.17521112,0.14512208,0.16393463,0.7476147,0.7891048,-0.1698535,-0.1872896,-0.0174361
12,0.21966876,0.21564499,"('unsupportive', 'supportive')",0.48200396,0.64578396,0.43890366,0.5029841,-2.4690127,-2.4883966,-0.3321091,-0.2809959,0.0511132
13,-0.3581245,-0.41184077,"('impolite', 'polite')",-0.04771529,-0.103746444,-0.28939015,-0.28955182,-0.36442474,-0.3569509,-0.2649137,-0.2905225,-0.0256088
14,-0.03496232,-0.09041507,"('antisocial', 'social')",1.3682746,1.3140062,0.16671441,0.19178247,-0.7823989,-0.79862785,0.179407,0.1541864,-0.0252206
