,divorce_male,divorce_female,tuple,average_male,average_female,female-male
0,-0.15621519,-0.5647945,"('unsociable', 'sociable')",-0.1562152,-0.5647945,-0.4085793
1,1.4133395,1.6150765,"('unfriendly', 'friendly')",1.4133395,1.6150765,0.201737
2,0.4900964,0.68987966,"('unlikable', 'likable')",0.4900964,0.6898797,0.1997833
3,0.98616594,0.79542196,"('repellent', 'pleasant')",0.9861659,0.795422,-0.1907439
4,-7.275212,-7.1662946,"('disliked', 'liked')",-7.2752118,-7.1662946,0.1089172
5,0.044111617,0.3498457,"('distant', 'outgoing')",0.0441116,0.3498457,0.3057341
6,0.42186996,0.7976831,"('distant', 'open')",0.42187,0.7976831,0.3758131
7,0.45110202,0.24736822,"('insensitive', 'sensitive')",0.451102,0.2473682,-0.2037338
8,1.0569348,1.4598057,"('unaffectionate', 'affectionate')",1.0569348,1.4598057,0.4028709
9,1.5107955,1.8197663,"('unaffectionate', 'caring')",1.5107955,1.8197663,0.3089708
10,0.9617337,0.658516,"('unsympathetic', 'sympathetic')",0.9617337,0.658516,-0.3032177
11,1.695746,1.6076791,"('unhelpful', 'helpful')",1.6957459,1.6076791,-0.0880668
12,-1.7239769,-1.8540602,"('unsupportive', 'supportive')",-1.7239769,-1.8540602,-0.1300833
13,0.19300939,-0.24470481,"('impolite', 'polite')",0.1930094,-0.2447048,-0.4377142
14,-0.6201024,-1.1420219,"('antisocial', 'social')",-0.6201024,-1.1420219,-0.5219195
15,0.04485088,0.15804926,"('boring', 'funny')",0.0448509,0.1580493,0.1131984
16,-0.29927054,-0.13508086,"('unpopular', 'popular')",-0.2992705,-0.1350809,0.1641896
17,-0.07045829,0.07034256,"('nasty', 'nice')",-0.0704583,0.0703426,0.1408009
18,-0.69942594,-0.78852737,"('disagreeable', 'welcoming')",-0.6994259,-0.7885274,-0.0891015
19,-0.48282322,-0.07599382,"('inhospitable', 'hospitable')",-0.4828232,-0.0759938,0.4068294
20,0.7407887,0.40112594,"('rough', 'thoughtful')",0.7407887,0.4011259,-0.3396628
21,-0.1781949,-0.4568587,"('immoral', 'moral')",-0.1781949,-0.4568587,-0.2786638
22,-0.5197371,-0.7027887,"('untrustworthy', 'trustworthy')",-0.5197371,-0.7027887,-0.1830516
23,6.307503,6.2298856,"('insincere', 'sincere')",6.3075032,6.2298856,-0.0776176
24,1.5890902,1.5417687,"('dishonest', 'honest')",1.5890902,1.5417687,-0.0473215
25,0.3903813,0.49719572,"('egoistic', 'altruistic')",0.3903813,0.4971957,0.1068144
26,0.07742535,0.10072658,"('hardhearted', 'benevolent')",0.0774254,0.1007266,0.0233012
27,1.7924024,1.7804983,"('hardhearted', 'softhearted')",1.7924024,1.7804983,-0.0119041
28,1.1180019,1.1846042,"('disloyal', 'loyal')",1.1180019,1.1846042,0.0666023
29,-0.35472465,-0.45299292,"('unfair', 'fair')",-0.3547246,-0.4529929,-0.0982683
30,0.5566252,0.39115486,"('intolerant', 'tolerant')",0.5566252,0.3911549,-0.1654703
31,-1.4645149,-1.1223226,"('evil', 'good')",-1.4645149,-1.1223226,0.3421923
32,1.3237898,1.2222924,"('unkind', 'kind')",1.3237898,1.2222924,-0.1014974
33,-0.37624824,-0.25210682,"('wrong', 'right')",-0.3762482,-0.2521068,0.1241414
34,4.718023,4.938241,"('mean', 'honorable')",4.7180228,4.938241,0.2202182
35,-0.9164424,-0.6073584,"('corrupt', 'incorrupt')",-0.9164424,-0.6073584,0.309084
36,-0.6093472,-0.1538373,"('hostile', 'amicable')",-0.6093472,-0.1538373,0.4555099
37,0.9098249,0.9141369,"('fake', 'genuine')",0.9098249,0.9141369,0.004312
38,-0.050930247,0.12576772,"('untruthful', 'truthful')",-0.0509302,0.1257677,0.1766979
39,-0.1306756,-0.13956687,"('exploitative', 'cooperative')",-0.1306756,-0.1395669,-0.0088913
40,-1.7449629,-2.039042,"('stingy', 'generous')",-1.7449629,-2.039042,-0.2940791
41,-0.014084881,-0.031734146,"('unforgiving', 'forgiving')",-0.0140849,-0.0317341,-0.0176492
42,-2.371047,-2.6863618,"('unreliable', 'reliable')",-2.371047,-2.6863618,-0.3153148
43,1.0430663,0.90927595,"('irresponsible', 'responsible')",1.0430663,0.9092759,-0.1337904
44,-1.0748909,-1.2394971,"('prejudiced', 'unprejudiced')",-1.0748909,-1.2394971,-0.1646062
45,0.11572999,-0.109728575,"('incompetent', 'competent')",0.11573,-0.1097286,-0.2254586
46,-0.46293268,-0.86507845,"('uncompetitive', 'competitive')",-0.4629327,-0.8650784,-0.4021457
47,5.432663,5.604193,"('stupid', 'smart')",5.432663,5.6041932,0.1715302
48,0.26707023,-0.004240228,"('unintelligent', 'intelligent')",0.2670702,-0.0042402,-0.2713104
49,0.4852931,0.5147803,"('unable', 'able')",0.4852931,0.5147803,0.0294872
50,-0.2652537,-0.21851282,"('clumsy', 'skillful')",-0.2652537,-0.2185128,0.0467409
51,0.4228294,0.1869267,"('uneducated', 'educated')",0.4228294,0.1869267,-0.2359027
52,-0.09096758,0.26152855,"('irrational', 'rational')",-0.0909676,0.2615286,0.3524962
53,-0.033051968,0.07054148,"('uncreative', 'creative')",-0.033052,0.0705415,0.1035935
54,1.2095425,1.476075,"('incapable', 'capable')",1.2095425,1.4760751,0.2665326
55,0.25109795,-0.25212726,"('incompetent', 'clever')",0.2510979,-0.2521273,-0.5032252
56,0.42527318,0.112547904,"('impractical', 'practical')",0.4252732,0.1125479,-0.3127253
57,-2.8711143,-3.1568735,"('unimaginative', 'imaginative')",-2.8711143,-3.1568735,-0.2857592
58,-0.19369857,-0.37386498,"('undiscriminating', 'discriminating')",-0.1936986,-0.373865,-0.1801664
59,0.18971594,0.58679855,"('foolish', 'wise')",0.1897159,0.5867985,0.3970826
60,0.6707852,0.07699986,"('inefficient', 'efficient')",0.6707852,0.0769999,-0.5937853
61,0.18515746,-0.07464212,"('illogical', 'logical')",0.1851575,-0.0746421,-0.2597996
62,0.9779813,0.6577987,"('incompetent', 'brilliant')",0.9779813,0.6577987,-0.3201826
63,0.2796598,0.04442682,"('unperceptive', 'insightful')",0.2796598,0.0444268,-0.235233
64,-5.964892,-6.2085395,"('shy', 'confident')",-5.9648919,-6.2085395,-0.2436476
65,0.16538222,-0.30460414,"('insecure', 'secure')",0.1653822,-0.3046041,-0.4699863
66,-0.025594309,-0.007076353,"('inactive', 'active')",-0.0255943,-0.0070764,0.0185179
67,-0.32042697,-0.33057806,"('doubtful', 'determined')",-0.320427,-0.3305781,-0.0101511
68,-0.3337774,-0.45766246,"('dependent', 'independent')",-0.3337774,-0.4576625,-0.1238851
69,-1.8035424,-1.5757604,"('lazy', 'industrious')",-1.8035424,-1.5757604,0.227782
70,1.0521483,0.6768378,"('lethargic', 'energetic')",1.0521483,0.6768378,-0.3753105
71,0.45555544,0.6153454,"('diffident', 'self-confident')",0.4555554,0.6153454,0.15979
72,0.93656236,0.83816046,"('unambitious', 'ambitious')",0.9365624,0.8381605,-0.0984019
73,-3.071408,-3.145747,"('helpless', 'self-reliant')",-3.071408,-3.1457469,-0.0743389
74,-0.08734548,-0.2538936,"('undedicated', 'dedicated')",-0.0873455,-0.2538936,-0.1665481
75,-0.59284824,-0.312682,"('meek', 'impulsive')",-0.5928482,-0.312682,0.2801662
76,0.35778406,-0.049135495,"('anxious', 'daring')",0.3577841,-0.0491355,-0.4069196
77,-1.2065455,-1.3525599,"('unmotivated', 'motivated')",-1.2065455,-1.3525599,-0.1460144
78,-0.6792627,-0.7429375,"('nonresilient', 'resilient')",-0.6792627,-0.7429375,-0.0636748
79,-0.3528477,0.16288258,"('wavering', 'unwavering')",-0.3528477,0.1628826,0.5157303
80,-0.42504722,-0.84453547,"('dominated', 'dominating')",-0.4250472,-0.8445355,-0.4194883
81,-0.21472628,-0.7806632,"('submissive', 'aggressive')",-0.2147263,-0.7806632,-0.5659369
82,6.51874,6.6574545,"('poor', 'rich')",6.5187402,6.6574545,0.1387143
83,-0.36218342,-0.4734324,"('powerless', 'powerful')",-0.3621834,-0.4734324,-0.111249
84,0.46398863,0.5747715,"('inferior', 'superior')",0.4639886,0.5747715,0.1107829
85,-1.1894051,-0.7725277,"('insignificant', 'prestigious')",-1.1894051,-0.7725277,0.4168774
86,0.29672986,0.13164489,"('uninfluential', 'influential')",0.2967299,0.1316449,-0.165085
87,-0.12484595,-0.030715987,"('unsuccessful', 'successful')",-0.124846,-0.030716,0.09413
88,-0.07187807,-0.06417911,"('low', 'eminent')",-0.0718781,-0.0641791,0.007699
