,tjx_male,tjx_female,tuple,companies_male,companies_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.43662664,-0.6734881,"('unsociable', 'sociable')",1.1855805,0.9903012,-0.27690294,-0.36684632,0.1573503,-0.0166777,-0.174028
1,-2.1021304,-2.0951648,"('unfriendly', 'friendly')",-1.1117622,-1.3324668,1.6787304,1.56982,-0.5117207,-0.6192705,-0.1075498
2,0.99738467,1.0521286,"('unlikable', 'likable')",1.2395468,1.3088634,0.60706985,0.71066713,0.9480004,1.0238864,0.075886
3,-0.100771114,-0.062146053,"('repellent', 'pleasant')",0.7154103,0.7347324,0.18505485,0.24747297,0.2665647,0.3066864,0.0401217
4,0.0854334,0.09442802,"('disliked', 'liked')",-0.1438259,-0.19090906,-5.938218,-6.0492477,-1.9988702,-2.0485762,-0.049706
5,-0.58474684,-0.47317803,"('distant', 'outgoing')",-1.4666678,-1.4036624,-0.21661483,-0.21636966,-0.7560097,-0.6977367,0.058273
6,-0.8945207,-0.7327392,"('distant', 'open')",-2.2508304,-2.204848,0.5371181,0.49247524,-0.869411,-0.8150373,0.0543737
7,-0.02117261,-0.124777436,"('insensitive', 'sensitive')",0.7110202,0.6643199,0.67293864,0.64836746,0.4542621,0.3959699,-0.0582922
8,-1.4620427,-1.3886956,"('unaffectionate', 'affectionate')",-0.9336724,-1.0071908,0.61563003,0.5191729,-0.5933617,-0.6255712,-0.0322095
9,-1.4222476,-1.4301511,"('unaffectionate', 'caring')",-0.3713783,-0.49477533,1.1221144,1.0860146,-0.2238372,-0.2796373,-0.0558001
10,-1.0005046,-1.1796596,"('unsympathetic', 'sympathetic')",0.751145,0.6200591,-0.18586764,-0.20122343,-0.1450757,-0.253608,-0.1085323
11,0.0027185157,-0.07660071,"('unhelpful', 'helpful')",1.2962701,1.2515638,2.0391712,2.126582,1.11272,1.100515,-0.012205
12,-0.41917872,-0.28264785,"('unsupportive', 'supportive')",0.9580662,1.0668875,-1.7299899,-1.6826763,-0.3970341,-0.2994789,0.0975552
13,0.561186,0.45572504,"('impolite', 'polite')",1.2651726,1.3016021,-0.3036008,-0.28254014,0.5075859,0.4915957,-0.0159902
14,0.54060155,0.42164773,"('antisocial', 'social')",2.2802162,2.204137,-0.37185013,-0.39537188,0.8163225,0.743471,-0.0728515
15,0.37901402,0.2801115,"('boring', 'funny')",-0.073102266,-0.15064147,0.4535928,0.41199428,0.2531682,0.1804881,-0.0726801
16,-0.19063778,-0.13206665,"('unpopular', 'popular')",-1.008806,-1.0177629,0.646061,0.6618525,-0.1844609,-0.162659,0.0218019
17,0.09112358,0.17724262,"('nasty', 'nice')",-0.6694506,-0.59307456,-0.33308965,-0.26281112,-0.3038055,-0.2262143,0.0775912
18,-0.65930474,-0.6024066,"('disagreeable', 'welcoming')",-0.4422044,-0.37164694,-0.37505633,-0.3819126,-0.4921885,-0.4519887,0.0401998
19,-0.70732784,-0.59195256,"('inhospitable', 'hospitable')",-1.2039819,-1.1796273,-0.2735572,-0.2072908,-0.728289,-0.6596235,0.0686655
20,-0.39253616,-0.38221267,"('rough', 'thoughtful')",0.012562842,0.05321994,0.9613618,0.9461132,0.1937962,0.2057068,0.0119106
21,0.63668686,0.474216,"('immoral', 'moral')",1.7865067,1.6412879,-0.73068917,-0.7029944,0.5641681,0.4708366,-0.0933315
22,0.40318137,0.32414702,"('untrustworthy', 'trustworthy')",0.88531643,0.75503564,-0.827713,-0.83899117,0.1535949,0.0800638,-0.0735311
23,-0.605036,-0.73831004,"('insincere', 'sincere')",0.66896343,0.58684057,5.740882,5.7183313,1.9349365,1.8556207,-0.0793158
24,0.2875325,0.21912146,"('dishonest', 'honest')",-0.0610569,-0.16652283,0.7891247,0.7340437,0.3385334,0.2622141,-0.0763193
25,-0.92707443,-0.9221235,"('egoistic', 'altruistic')",0.054961693,-0.017417088,1.3639146,1.2561088,0.163934,0.1055227,-0.0584113
26,-0.94949687,-0.89959335,"('hardhearted', 'benevolent')",1.1861322,1.1773026,1.7733902,1.7238704,0.6700085,0.6671933,-0.0028152
27,-0.84368753,-0.6813643,"('hardhearted', 'softhearted')",-0.10369842,-0.08885935,0.89846855,0.76470035,-0.0163058,-0.0018411,0.0144647
28,-0.46463633,-0.6640941,"('disloyal', 'loyal')",0.29259259,0.07256912,1.3337873,1.2166065,0.3872479,0.2083605,-0.1788874
29,0.06956202,0.03123391,"('unfair', 'fair')",-1.8373066,-1.8369508,-0.7916809,-0.93576723,-0.8531418,-0.9138281,-0.0606863
30,0.72906035,0.6150256,"('intolerant', 'tolerant')",2.6517408,2.563905,1.1298888,1.1296326,1.5035632,1.4361877,-0.0673755
31,-1.1382478,-0.9046253,"('evil', 'good')",-1.7337605,-1.6988266,-1.0389817,-1.097734,-1.3036633,-1.2337286,0.0699347
32,-0.42939383,-0.48311302,"('unkind', 'kind')",1.065202,0.9278194,0.8582742,0.7547877,0.4980275,0.3998313,-0.0981962
