,xylem_male,xylem_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.5503211,-0.800229,"('unsociable', 'sociable')",-0.44789484,-0.60432696,-0.499108,-0.702278,-0.20317
1,-1.1567204,-1.3656805,"('unfriendly', 'friendly')",1.9651312,1.8252336,0.4042054,0.2297766,-0.1744288
2,-0.1494781,-0.07793454,"('unlikable', 'likable')",0.57474726,0.6739978,0.2126346,0.2980316,0.085397
3,-0.57104063,-0.44627336,"('repellent', 'pleasant')",0.05625,0.08449165,-0.2573953,-0.1808909,0.0765044
4,-0.21162786,-0.25060925,"('disliked', 'liked')",-6.3148017,-6.41512,-3.2632148,-3.3328648,-0.06965
5,-1.7291605,-1.7135988,"('distant', 'outgoing')",0.02502453,0.0022901557,-0.852068,-0.8556544,-0.0035864
6,-1.9560834,-1.9618424,"('distant', 'open')",0.56128865,0.51240593,-0.6973974,-0.7247182,-0.0273208
7,-0.42214814,-0.36289236,"('insensitive', 'sensitive')",0.2903227,0.39610824,-0.0659127,0.0166079,0.0825206
8,-0.9479058,-0.9260618,"('unaffectionate', 'affectionate')",1.2172453,1.1427158,0.1346698,0.108327,-0.0263428
9,-1.4151664,-1.4459399,"('unaffectionate', 'caring')",1.1947275,1.1609036,-0.1102194,-0.1425182,-0.0322988
10,-1.3729352,-1.352363,"('unsympathetic', 'sympathetic')",-0.8637789,-0.8739226,-1.1183571,-1.1131427,0.0052144
11,-0.56347257,-0.5725933,"('unhelpful', 'helpful')",1.1476737,1.2775629,0.2921006,0.3524848,0.0603842
12,-0.7587202,-0.6560819,"('unsupportive', 'supportive')",-1.9834405,-1.9547548,-1.3710804,-1.3054184,0.065662
13,-1.0818995,-1.1524729,"('impolite', 'polite')",-0.90222335,-0.8547282,-0.9920614,-1.0036006,-0.0115392
14,0.29144463,0.2405479,"('antisocial', 'social')",-0.7118092,-0.7857344,-0.2101823,-0.2725933,-0.062411
15,-0.122604765,-0.28922442,"('boring', 'funny')",0.47362506,0.45294163,0.1755102,0.0818586,-0.0936516
16,-0.3318192,-0.32626146,"('unpopular', 'popular')",0.8570455,0.8461868,0.2626131,0.2599627,-0.0026504
17,-0.3161305,-0.2917911,"('nasty', 'nice')",-0.5696285,-0.50615156,-0.4428795,-0.3989713,0.0439082
18,-0.19244525,-0.13287339,"('disagreeable', 'welcoming')",-0.37797982,-0.4258246,-0.2852125,-0.279349,0.0058635
19,-1.9340978,-1.8690411,"('inhospitable', 'hospitable')",-0.12895858,0.017415676,-1.0315282,-0.9258127,0.1057155
20,0.32539034,0.3154711,"('rough', 'thoughtful')",1.3165796,1.2340047,0.820985,0.774738,-0.046247
21,0.12689623,0.01299537,"('immoral', 'moral')",-0.76280606,-0.7136482,-0.3179549,-0.3503264,-0.0323715
22,-0.19595616,-0.2736974,"('untrustworthy', 'trustworthy')",-1.1289723,-1.1853939,-0.6624642,-0.7295457,-0.0670815
