,kingfish_male,kingfish_female,tuple,average_male,average_female,female-male
0,0.63448894,0.5281397,"('unsociable', 'sociable')",0.6344889,0.5281397,-0.1063492
1,-0.3957184,-0.4728463,"('unfriendly', 'friendly')",-0.3957184,-0.4728463,-0.0771279
2,0.5175132,0.5316942,"('unlikable', 'likable')",0.5175132,0.5316942,0.014181
3,-0.73547304,-0.7511978,"('repellent', 'pleasant')",-0.735473,-0.7511978,-0.0157248
4,-2.5888178,-2.7597234,"('disliked', 'liked')",-2.5888178,-2.7597234,-0.1709056
5,-1.4297808,-1.4060857,"('distant', 'outgoing')",-1.4297808,-1.4060857,0.0236951
6,-1.6101516,-1.5907949,"('distant', 'open')",-1.6101516,-1.5907949,0.0193567
7,0.08951687,0.07487122,"('insensitive', 'sensitive')",0.0895169,0.0748712,-0.0146457
8,-0.0061149485,-0.06371738,"('unaffectionate', 'affectionate')",-0.0061149,-0.0637174,-0.0576025
9,0.27439868,0.23378724,"('unaffectionate', 'caring')",0.2743987,0.2337872,-0.0406115
10,-0.23710024,-0.2852975,"('unsympathetic', 'sympathetic')",-0.2371002,-0.2852975,-0.0481973
11,1.1970123,1.194535,"('unhelpful', 'helpful')",1.1970123,1.194535,-0.0024773
12,-0.8836349,-0.88629246,"('unsupportive', 'supportive')",-0.8836349,-0.8862925,-0.0026576
13,0.4340572,0.4193924,"('impolite', 'polite')",0.4340572,0.4193924,-0.0146648
14,0.79743016,0.72430825,"('antisocial', 'social')",0.7974302,0.7243083,-0.0731219
15,0.4631585,0.41037968,"('boring', 'funny')",0.4631585,0.4103797,-0.0527788
16,0.121314615,0.01633643,"('unpopular', 'popular')",0.1213146,0.0163364,-0.1049782
17,-0.24076335,-0.24322167,"('nasty', 'nice')",-0.2407634,-0.2432217,-0.0024583
18,-0.47553182,-0.59868526,"('disagreeable', 'welcoming')",-0.4755318,-0.5986853,-0.1231535
19,-1.2043917,-1.1177881,"('inhospitable', 'hospitable')",-1.2043917,-1.1177881,0.0866036
20,-0.10347252,-0.12113407,"('rough', 'thoughtful')",-0.1034725,-0.1211341,-0.0176616
21,0.31923062,0.25862423,"('immoral', 'moral')",0.3192306,0.2586242,-0.0606064
22,-0.62095714,-0.69729966,"('untrustworthy', 'trustworthy')",-0.6209571,-0.6972997,-0.0763426
23,2.7642345,2.7654347,"('insincere', 'sincere')",2.7642345,2.7654347,0.0012002
24,0.4479407,0.48571065,"('dishonest', 'honest')",0.4479407,0.4857107,0.03777
25,0.582959,0.5516777,"('egoistic', 'altruistic')",0.582959,0.5516777,-0.0312813
26,-0.08451365,-0.20783599,"('hardhearted', 'benevolent')",-0.0845136,-0.207836,-0.1233224
27,-0.47781247,-0.4904362,"('hardhearted', 'softhearted')",-0.4778125,-0.4904362,-0.0126237
28,1.0605425,0.9796215,"('disloyal', 'loyal')",1.0605425,0.9796215,-0.080921
29,-0.8577315,-0.87983364,"('unfair', 'fair')",-0.8577315,-0.8798336,-0.0221021
30,1.0056392,0.98503375,"('intolerant', 'tolerant')",1.0056392,0.9850338,-0.0206054
31,-1.8357273,-1.7632215,"('evil', 'good')",-1.8357273,-1.7632215,0.0725058
32,0.24946122,0.16148326,"('unkind', 'kind')",0.2494612,0.1614833,-0.0879779
33,0.14107493,0.08079289,"('wrong', 'right')",0.1410749,0.0807929,-0.060282
34,1.4523369,1.6595964,"('mean', 'honorable')",1.4523369,1.6595964,0.2072595
35,-0.808615,-0.8161462,"('corrupt', 'incorrupt')",-0.808615,-0.8161462,-0.0075312
36,-1.2746156,-1.344866,"('hostile', 'amicable')",-1.2746156,-1.344866,-0.0702504
37,-0.056038126,-0.08388409,"('fake', 'genuine')",-0.0560381,-0.0838841,-0.027846
38,0.36344835,0.35249412,"('untruthful', 'truthful')",0.3634484,0.3524941,-0.0109543
39,1.1874589,1.274098,"('exploitative', 'cooperative')",1.1874589,1.274098,0.0866391
40,-1.9178649,-1.9622166,"('stingy', 'generous')",-1.9178649,-1.9622166,-0.0443517
41,0.44424537,0.34167388,"('unforgiving', 'forgiving')",0.4442454,0.3416739,-0.1025715
42,-1.2212148,-1.308505,"('unreliable', 'reliable')",-1.2212148,-1.3085051,-0.0872903
43,0.56702703,0.52238536,"('irresponsible', 'responsible')",0.567027,0.5223854,-0.0446416
44,-0.7294637,-0.752878,"('prejudiced', 'unprejudiced')",-0.7294637,-0.752878,-0.0234143
45,0.46738562,0.37322575,"('incompetent', 'competent')",0.4673856,0.3732257,-0.0941599
46,-0.13842894,-0.21243423,"('uncompetitive', 'competitive')",-0.1384289,-0.2124342,-0.0740053
47,1.8986666,2.0847828,"('stupid', 'smart')",1.8986666,2.0847828,0.1861162
48,0.7196705,0.71674097,"('unintelligent', 'intelligent')",0.7196705,0.716741,-0.0029295
49,0.24051833,0.23868272,"('unable', 'able')",0.2405183,0.2386827,-0.0018356
50,0.0011737347,-0.10413185,"('clumsy', 'skillful')",0.0011737,-0.1041318,-0.1053055
51,0.1549006,0.09778292,"('uneducated', 'educated')",0.1549006,0.0977829,-0.0571177
52,-0.55617094,-0.6966244,"('irrational', 'rational')",-0.5561709,-0.6966244,-0.1404535
53,-1.0296457,-1.0755756,"('uncreative', 'creative')",-1.0296457,-1.0755756,-0.0459299
54,-0.2518458,-0.2306522,"('incapable', 'capable')",-0.2518458,-0.2306522,0.0211936
55,1.2788969,1.2161822,"('incompetent', 'clever')",1.2788969,1.2161822,-0.0627147
56,1.2902765,1.2300851,"('impractical', 'practical')",1.2902765,1.2300851,-0.0601914
57,-1.6838063,-1.8441528,"('unimaginative', 'imaginative')",-1.6838063,-1.8441528,-0.1603465
58,-0.8726837,-0.99469966,"('undiscriminating', 'discriminating')",-0.8726837,-0.9946997,-0.122016
59,0.036469482,0.048444822,"('foolish', 'wise')",0.0364695,0.0484448,0.0119753
60,1.4136062,1.4388027,"('inefficient', 'efficient')",1.4136062,1.4388027,0.0251965
61,-0.1367918,-0.23355542,"('illogical', 'logical')",-0.1367918,-0.2335554,-0.0967636
62,1.6084454,1.6537424,"('incompetent', 'brilliant')",1.6084454,1.6537424,0.045297
63,-0.12870494,-0.14055552,"('unperceptive', 'insightful')",-0.1287049,-0.1405555,-0.0118506
64,-2.3712008,-2.5324981,"('shy', 'confident')",-2.3712008,-2.5324981,-0.1612973
65,0.38227642,0.4106656,"('insecure', 'secure')",0.3822764,0.4106656,0.0283892
66,-1.146155,-1.0967212,"('inactive', 'active')",-1.146155,-1.0967212,0.0494338
67,1.0233648,1.0348876,"('doubtful', 'determined')",1.0233648,1.0348876,0.0115228
68,-0.5857287,-0.6378684,"('dependent', 'independent')",-0.5857287,-0.6378684,-0.0521397
69,-1.1117418,-1.054777,"('lazy', 'industrious')",-1.1117418,-1.054777,0.0569648
70,-0.15873212,-0.19578697,"('lethargic', 'energetic')",-0.1587321,-0.195787,-0.0370549
71,0.383959,0.42304656,"('diffident', 'self-confident')",0.383959,0.4230466,0.0390876
72,-0.26245797,-0.21953514,"('unambitious', 'ambitious')",-0.262458,-0.2195351,0.0429229
73,-1.2268748,-1.2833004,"('helpless', 'self-reliant')",-1.2268748,-1.2833004,-0.0564256
74,0.1928769,0.048188217,"('undedicated', 'dedicated')",0.1928769,0.0481882,-0.1446887
75,-0.56410885,-0.53148675,"('meek', 'impulsive')",-0.5641088,-0.5314867,0.0326221
76,0.3361963,0.32790434,"('anxious', 'daring')",0.3361963,0.3279043,-0.008292
77,-0.10294275,-0.12751608,"('unmotivated', 'motivated')",-0.1029427,-0.1275161,-0.0245734
78,0.04815651,0.0091001205,"('nonresilient', 'resilient')",0.0481565,0.0091001,-0.0390564
79,-0.7932015,-0.79060525,"('wavering', 'unwavering')",-0.7932015,-0.7906052,0.0025963
80,0.51257586,0.50945354,"('dominated', 'dominating')",0.5125759,0.5094535,-0.0031224
81,0.78815746,0.8203732,"('submissive', 'aggressive')",0.7881575,0.8203732,0.0322157
82,1.9278303,2.031024,"('poor', 'rich')",1.9278303,2.031024,0.1031937
83,0.19456646,0.15829585,"('powerless', 'powerful')",0.1945665,0.1582959,-0.0362706
84,0.43494663,0.4520992,"('inferior', 'superior')",0.4349466,0.4520992,0.0171526
85,-1.1085458,-1.1660045,"('insignificant', 'prestigious')",-1.1085458,-1.1660045,-0.0574587
86,-0.29598778,-0.45931876,"('uninfluential', 'influential')",-0.2959878,-0.4593188,-0.163331
87,0.5248715,0.5573421,"('unsuccessful', 'successful')",0.5248715,0.5573421,0.0324706
88,-0.26199776,-0.3677668,"('low', 'eminent')",-0.2619978,-0.3677668,-0.105769
