,big_male,big_female,tuple,lots_male,lots_female,inc_male,inc_female,average_male,average_female,female-male
0,0.56560284,0.5414366,"('unsociable', 'sociable')",2.4120946,2.8129153,-0.16779979,-0.2487853,0.9366326,1.0351889,0.0985563
1,-0.04100217,-0.18375602,"('unfriendly', 'friendly')",-0.8507591,-0.9600728,2.251187,2.1743171,0.4531419,0.3434961,-0.1096458
2,0.3817595,0.44852072,"('unlikable', 'likable')",0.29048616,0.32786787,0.19819199,0.2443509,0.2901459,0.3402465,0.0501006
3,-0.008489267,0.07262906,"('repellent', 'pleasant')",1.8106686,2.133865,0.34322777,0.39413607,0.7151357,0.8668768,0.1517411
4,0.083232425,-0.06713928,"('disliked', 'liked')",-1.7588776,-2.0113268,-6.7454157,-6.7923155,-2.8070202,-2.9569273,-0.1499071
5,-0.4610035,-0.440647,"('distant', 'outgoing')",-1.823363,-2.0492532,0.16152275,0.17053407,-0.7076146,-0.773122,-0.0655074
6,-0.7792692,-0.7750479,"('distant', 'open')",-2.0007434,-2.2732062,0.42380163,0.45097706,-0.7854036,-0.865759,-0.0803554
7,-0.022967659,0.09522734,"('insensitive', 'sensitive')",1.4559613,1.774231,1.0211617,1.0635573,0.8180518,0.9776719,0.1596201
8,0.20589995,0.051311262,"('unaffectionate', 'affectionate')",-1.3918308,-1.5403334,1.3664626,1.2553691,0.0601772,-0.0778844,-0.1380616
9,1.1197548,1.097722,"('unaffectionate', 'caring')",-0.29272568,-0.35866028,1.5102665,1.5405873,0.7790985,0.759883,-0.0192155
10,-0.0652193,0.01761977,"('unsympathetic', 'sympathetic')",1.9379597,2.352894,-0.4140147,-0.44727135,0.4862419,0.6410809,0.154839
11,1.2052448,1.4108984,"('unhelpful', 'helpful')",1.3115143,1.5455958,1.8913851,2.1320074,1.4693813,1.6961673,0.226786
12,1.0355854,1.022165,"('unsupportive', 'supportive')",1.052897,1.1681396,-1.485154,-1.4722515,0.2011094,0.239351,0.0382416
13,0.7893507,0.81507707,"('impolite', 'polite')",2.2282133,2.5433323,-0.34668866,-0.31819212,0.8902918,1.0134058,0.123114
14,0.65901476,0.7646411,"('antisocial', 'social')",2.787625,3.104117,-0.27452415,-0.32980487,1.0573719,1.179651,0.1222791
15,-0.2892763,-0.46603575,"('boring', 'funny')",-0.20995726,-0.30046675,0.7001686,0.6435062,0.0669784,-0.0409988,-0.1079772
16,-1.3378935,-1.419485,"('unpopular', 'popular')",-1.078508,-0.98147017,0.013558835,0.14070567,-0.8009475,-0.7534165,0.047531
17,-0.7550285,-0.72338337,"('nasty', 'nice')",-0.174307,-0.23344462,-0.45474517,-0.3975308,-0.4613602,-0.4514529,0.0099073
18,-0.19726913,-0.17532915,"('disagreeable', 'welcoming')",0.21197993,0.33692044,-0.40813017,-0.35662097,-0.1311398,-0.0650099,0.0661299
19,-1.222842,-1.1577852,"('inhospitable', 'hospitable')",-1.826815,-1.9850653,-0.22594225,-0.15062836,-1.0918663,-1.0978262,-0.0059599
20,-1.366027,-1.0732661,"('rough', 'thoughtful')",-0.5607635,-0.4465497,0.6876426,0.718838,-0.4130493,-0.2669926,0.1460567
21,0.665411,0.7770215,"('immoral', 'moral')",2.3677044,2.7023048,-0.58964205,-0.5169317,0.8144911,0.9874648,0.1729737
22,0.43372896,0.5569517,"('untrustworthy', 'trustworthy')",1.038685,1.2670692,-0.65973973,-0.61629754,0.2708914,0.4025745,0.1316831
23,0.51653457,0.54891384,"('insincere', 'sincere')",3.128821,3.5215325,6.252539,6.4377236,3.2992983,3.5027234,0.2034251
24,1.497151,1.610464,"('dishonest', 'honest')",1.7558372,2.0370858,0.8633879,0.9136777,1.3721255,1.5204091,0.1482836
25,-0.19206713,-0.3188755,"('egoistic', 'altruistic')",-0.22901767,-0.43026137,1.5469334,1.426077,0.3752828,0.2256467,-0.1496361
26,-1.1839135,-1.3390738,"('hardhearted', 'benevolent')",-0.177957,-0.33811703,1.5526906,1.3810263,0.0636067,-0.0987215,-0.1623282
27,-0.4128843,-0.31876856,"('hardhearted', 'softhearted')",-0.6892421,-0.6755895,1.5268781,1.4335142,0.1415839,0.1463854,0.0048015
28,0.8017226,0.7453541,"('disloyal', 'loyal')",0.6502031,0.57433826,0.93462926,0.87838095,0.7955183,0.7326911,-0.0628272
29,-0.09956215,-0.011463799,"('unfair', 'fair')",-0.8334628,-0.84161127,-0.073807664,-0.22459668,-0.3356109,-0.3592239,-0.023613
30,0.3075849,0.3496164,"('intolerant', 'tolerant')",2.6587546,2.9522872,1.0160192,1.1016655,1.327453,1.4678564,0.1404034
31,-2.1230388,-2.303958,"('evil', 'good')",-2.5854285,-2.9182775,-0.5874043,-0.63895565,-1.7652906,-1.9537304,-0.1884398
32,1.1778808,1.3779776,"('unkind', 'kind')",1.1149004,1.3624892,1.1634295,1.0011873,1.1520702,1.2472181,0.0951479
33,0.39918774,0.32487816,"('wrong', 'right')",-0.48721606,-0.73954517,-0.34232685,-0.4423924,-0.1434517,-0.2856865,-0.1422348
34,-1.158369,-1.121971,"('mean', 'honorable')",0.6615793,0.79604346,5.7838883,6.1309814,1.7623663,1.9350179,0.1726516
35,-1.4770726,-1.5193716,"('corrupt', 'incorrupt')",-3.1783762,-3.6776412,-0.6068297,-0.7504913,-1.7540929,-1.9825013,-0.2284084
36,-2.510274,-2.8207965,"('hostile', 'amicable')",-3.5445182,-4.019763,-0.36726525,-0.4936159,-2.1406859,-2.4447252,-0.3040393
