,great-grandfather_male,great-grandfather_female,tuple,average_male,average_female,female-male
0,-0.6960399,-1.3283968,"('unsociable', 'sociable')",-0.6960399,-1.3283968,-0.6323569
1,0.90555584,0.8365455,"('unfriendly', 'friendly')",0.9055558,0.8365455,-0.0690103
2,-0.88355803,-0.6411616,"('unlikable', 'likable')",-0.883558,-0.6411616,0.2423964
3,-0.39952594,-0.3263534,"('repellent', 'pleasant')",-0.3995259,-0.3263534,0.0731725
4,1.4735812,1.4402859,"('disliked', 'liked')",1.4735812,1.4402859,-0.0332953
5,-0.6092359,-0.4408009,"('distant', 'outgoing')",-0.6092359,-0.4408009,0.168435
6,-1.1113911,-0.88271934,"('distant', 'open')",-1.1113911,-0.8827193,0.2286718
7,-0.9551699,-1.2865535,"('insensitive', 'sensitive')",-0.9551699,-1.2865535,-0.3313836
8,1.4503413,1.4258137,"('unaffectionate', 'affectionate')",1.4503413,1.4258137,-0.0245276
9,0.76420957,0.6757991,"('unaffectionate', 'caring')",0.7642096,0.6757991,-0.0884105
10,-1.3551048,-1.7791599,"('unsympathetic', 'sympathetic')",-1.3551048,-1.7791599,-0.4240551
11,-1.2425797,-1.3305968,"('unhelpful', 'helpful')",-1.2425797,-1.3305968,-0.0880171
12,-0.29581136,-0.4149619,"('unsupportive', 'supportive')",-0.2958114,-0.4149619,-0.1191505
13,-0.5496786,-0.86259663,"('impolite', 'polite')",-0.5496786,-0.8625966,-0.312918
14,-1.9343712,-2.2838354,"('antisocial', 'social')",-1.9343712,-2.2838354,-0.3494642
15,0.9103604,1.1785611,"('boring', 'funny')",0.9103604,1.1785611,0.2682007
16,-0.22572768,-0.010930261,"('unpopular', 'popular')",-0.2257277,-0.0109303,0.2147974
17,0.9115443,0.8657707,"('nasty', 'nice')",0.9115443,0.8657707,-0.0457736
18,0.65057296,0.7995242,"('disagreeable', 'welcoming')",0.650573,0.7995242,0.1489512
19,0.8546472,0.90969044,"('inhospitable', 'hospitable')",0.8546472,0.9096904,0.0550432
20,0.10863855,-0.009515854,"('rough', 'thoughtful')",0.1086385,-0.0095159,-0.1181544
