,us_male,us_female,tuple,bancorp_male,bancorp_female,del_male,del_female,average_male,average_female,female-male
0,0.18199882,0.13543585,"('unsociable', 'sociable')",-0.2640803,-0.3396109,-0.39063516,-0.34453294,-0.1575722,-0.1829027,-0.0253305
1,-0.19043364,-0.37788668,"('unfriendly', 'friendly')",1.1247274,1.0009761,1.2839357,1.1630101,0.7394098,0.5953665,-0.1440433
2,1.1213475,1.2343726,"('unlikable', 'likable')",1.3970909,1.5294803,0.588549,0.66746867,1.0356625,1.1437739,0.1081114
3,0.35753533,0.50210905,"('repellent', 'pleasant')",-0.84748894,-0.8079843,0.564927,0.6497173,0.0249911,0.114614,0.0896229
4,-0.25276995,-0.34263143,"('disliked', 'liked')",0.19805151,0.23578161,-7.348871,-7.4748774,-2.4678632,-2.5272423,-0.0593791
5,-0.6874214,-0.7944554,"('distant', 'outgoing')",1.694461,1.7085284,0.19014494,0.09096693,0.3990615,0.3350133,-0.0640482
6,-0.60605127,-0.6996246,"('distant', 'open')",1.4235072,1.3719087,0.74285984,0.6316242,0.5201053,0.4346361,-0.0854692
7,0.63296986,0.680892,"('insensitive', 'sensitive')",-0.25567162,-0.15941858,0.79436237,0.97561353,0.3905536,0.499029,0.1084754
8,-0.41665637,-0.5445174,"('unaffectionate', 'affectionate')",0.5070115,0.3950605,1.0353315,0.92320627,0.3752289,0.2579165,-0.1173124
9,0.79053575,0.76536584,"('unaffectionate', 'caring')",1.2980497,1.2469448,1.3906134,1.3549844,1.159733,1.1224316,-0.0373014
10,1.1800019,1.231985,"('unsympathetic', 'sympathetic')",-2.169196,-2.1641555,0.3138167,0.51603377,-0.2251258,-0.1387122,0.0864136
11,1.5517051,1.714504,"('unhelpful', 'helpful')",-0.67374575,-0.5491599,1.2516334,1.3775424,0.7098643,0.8476288,0.1377645
12,1.8843694,1.9446164,"('unsupportive', 'supportive')",0.028004754,0.12452252,-1.675101,-1.5726018,0.079091,0.1655124,0.0864214
13,0.57591426,0.6439651,"('impolite', 'polite')",-0.22695808,-0.17208588,-0.4042889,-0.2355044,-0.0184442,0.0787916,0.0972358
14,0.62061065,0.7092768,"('antisocial', 'social')",-0.6934747,-0.6345273,-0.16544788,-0.06049333,-0.0794373,0.004752,0.0841893
15,0.2533127,0.25516173,"('boring', 'funny')",1.4952487,1.4458555,0.5821653,0.5129192,0.7769089,0.7379788,-0.0389301
16,-1.1102434,-1.1407412,"('unpopular', 'popular')",-0.05006547,-0.005631894,0.00194107,-0.042700365,-0.3861226,-0.3963579,-0.0102353
17,0.030035805,0.15576732,"('nasty', 'nice')",0.43717661,0.5360983,-0.23971461,-0.17910528,0.0758326,0.1709201,0.0950875
18,0.3498798,0.41514176,"('disagreeable', 'welcoming')",-0.06150034,-0.06066759,-0.3803627,-0.38474587,-0.0306611,-0.0100906,0.0205705
19,-0.0817052,-0.09906601,"('inhospitable', 'hospitable')",-0.5519524,-0.59434694,-0.0422212,-0.03228409,-0.2252929,-0.241899,-0.0166061
20,-0.008261925,0.04461828,"('rough', 'thoughtful')",-0.41783923,-0.34812936,0.030287368,-0.064851835,-0.1319379,-0.1227876,0.0091503
21,1.0234934,1.1440531,"('immoral', 'moral')",-1.2321492,-1.1713848,-0.69357735,-0.3940199,-0.3007444,-0.1404505,0.1602939
22,0.38112676,0.39034247,"('untrustworthy', 'trustworthy')",-1.3700935,-1.4128407,-0.759778,-0.68533164,-0.5829149,-0.5692767,0.0136382
23,1.1280593,1.2262564,"('insincere', 'sincere')",0.1901176,0.1542829,5.781531,5.9146037,2.3665692,2.4317144,0.0651452
24,0.9445883,0.96860594,"('dishonest', 'honest')",-0.82729465,-0.79994947,0.90423757,0.91775197,0.3405104,0.3621361,0.0216257
25,-0.13918832,-0.18856767,"('egoistic', 'altruistic')",1.2095395,1.201159,0.860909,0.73349506,0.6437534,0.5820288,-0.0617246
26,0.59666246,0.3989702,"('hardhearted', 'benevolent')",1.7953336,1.6316576,1.0971128,0.9415363,1.1630363,0.9907214,-0.1723149
27,0.9117621,0.929213,"('hardhearted', 'softhearted')",0.08184093,0.076627344,1.6262802,1.4718802,0.8732944,0.8259068,-0.0473876
28,0.88646924,0.7959558,"('disloyal', 'loyal')",-0.4362823,-0.5307557,0.48869637,0.41775554,0.3129611,0.2276519,-0.0853092
29,-0.4862656,-0.518001,"('unfair', 'fair')",-0.42827863,-0.4266193,-0.22559768,-0.37607706,-0.3800473,-0.4402324,-0.0601851
30,0.8657862,0.9408298,"('intolerant', 'tolerant')",-0.9559509,-0.8834941,0.35982266,0.47429824,0.089886,0.1772113,0.0873253
31,-0.7030897,-0.8047739,"('evil', 'good')",0.6351106,0.65184915,-0.42210713,-0.6185767,-0.1633621,-0.2571672,-0.0938051
32,1.06522,1.0203675,"('unkind', 'kind')",0.13142122,0.116156675,1.2423694,1.1934457,0.8130035,0.7766566,-0.0363469
33,0.2607626,0.20193061,"('wrong', 'right')",1.8111974,1.7972832,0.056635518,-0.0602542,0.7095319,0.6463199,-0.063212
34,-0.11392404,0.044152424,"('mean', 'honorable')",0.6447672,0.7481308,4.6344957,4.787518,1.7217797,1.8599337,0.138154
35,-1.7207836,-1.8624902,"('corrupt', 'incorrupt')",0.6021018,0.58396083,-0.4972868,-0.783194,-0.5386562,-0.6872412,-0.148585
36,-1.6877536,-1.8324368,"('hostile', 'amicable')",1.9350319,1.8213867,-0.32066962,-0.57027555,-0.0244638,-0.1937752,-0.1693114
37,-0.51962507,-0.50808614,"('fake', 'genuine')",-1.4963583,-1.4811119,0.35480753,0.35298187,-0.5537253,-0.5454054,0.0083199
38,0.68921995,0.6955967,"('untruthful', 'truthful')",0.7822724,0.84168106,-0.29391888,-0.21118432,0.3925245,0.4420311,0.0495066
39,1.6817513,1.9024788,"('exploitative', 'cooperative')",0.69928,0.86192995,0.19283712,0.24069922,0.8579561,1.0017027,0.1437466
40,1.2758694,1.2963742,"('stingy', 'generous')",1.454598,1.4335023,-1.5591042,-1.7211127,0.3904544,0.3362546,-0.0541998
41,0.77986795,0.8601034,"('unforgiving', 'forgiving')",0.741718,0.67536217,0.18380064,0.179562,0.5684622,0.5716759,0.0032137
42,1.2021334,1.4035981,"('unreliable', 'reliable')",0.102666035,0.22649333,-2.807304,-2.6725996,-0.5008348,-0.3475027,0.1533321
43,1.3249953,1.5249245,"('irresponsible', 'responsible')",-0.77533007,-0.67675185,0.269185,0.4513932,0.2729501,0.4331886,0.1602385
44,-0.5626649,-0.43940195,"('prejudiced', 'unprejudiced')",-0.42774418,-0.27138674,-1.3534765,-1.3811411,-0.7812952,-0.69731,0.0839852
45,0.5372145,0.58942443,"('incompetent', 'competent')",-1.660259,-1.6880779,-0.31243673,-0.23725437,-0.4784937,-0.4453026,0.0331911
46,0.30038252,0.38012522,"('uncompetitive', 'competitive')",-1.0083618,-0.9759245,-1.6642852,-1.5276498,-0.7907548,-0.7078164,0.0829384
47,0.32589892,0.41950446,"('stupid', 'smart')",-0.063965306,0.018926978,5.312631,5.49276,1.8581883,1.9770638,0.1188755
48,0.40311366,0.41265944,"('unintelligent', 'intelligent')",-1.1488621,-1.1475292,-0.26076427,-0.14616197,-0.3355043,-0.2936773,0.041827
49,-0.54274404,-0.4871313,"('unable', 'able')",-0.72942394,-0.62012786,-0.27310678,-0.14311348,-0.5150916,-0.4167909,0.0983007
50,-0.5156169,-0.5969682,"('clumsy', 'skillful')",0.08924691,0.09762272,-0.06106185,-0.06113999,-0.1624773,-0.1868285,-0.0243512
51,1.4994822,1.3711162,"('uneducated', 'educated')",-1.6936407,-1.7551837,0.14988084,0.19028428,-0.0147592,-0.0645944,-0.0498352
52,0.14765878,0.007424742,"('irrational', 'rational')",1.0200326,0.8747597,0.40513125,0.19782017,0.5242742,0.3600015,-0.1642727
53,-0.18141855,-0.2414118,"('uncreative', 'creative')",-0.03183735,-0.07194494,-0.017510848,-0.16006601,-0.0769223,-0.1578076,-0.0808853
54,0.2563832,0.12825784,"('incapable', 'capable')",1.2854095,1.2664459,1.2663362,1.3160104,0.9360429,0.9035714,-0.0324715
55,0.841823,0.9280366,"('incompetent', 'clever')",-1.9289476,-1.8709375,-0.15880397,0.020756906,-0.4153095,-0.3073813,0.1079282
