,cloudburst_male,cloudburst_female,tuple,average_male,average_female,female-male
0,-1.8746871,-1.8886856,"('unsociable', 'sociable')",-1.8746871,-1.8886856,-0.0139985
1,-0.03854562,-0.29964295,"('unfriendly', 'friendly')",-0.0385456,-0.299643,-0.2610974
2,-0.6594844,-0.6199815,"('unlikable', 'likable')",-0.6594844,-0.6199815,0.0395029
3,-0.7548418,-0.6718845,"('repellent', 'pleasant')",-0.7548418,-0.6718845,0.0829573
4,-1.9835713,-1.958159,"('disliked', 'liked')",-1.9835713,-1.958159,0.0254123
5,-0.5947764,-0.7246449,"('distant', 'outgoing')",-0.5947764,-0.7246449,-0.1298685
6,-0.5667333,-0.74781597,"('distant', 'open')",-0.5667333,-0.747816,-0.1810827
7,-0.61083525,-0.52178943,"('insensitive', 'sensitive')",-0.6108353,-0.5217894,0.0890459
8,-0.18928479,-0.43453038,"('unaffectionate', 'affectionate')",-0.1892848,-0.4345304,-0.2452456
9,-0.43329203,-0.6282065,"('unaffectionate', 'caring')",-0.433292,-0.6282065,-0.1949145
10,-1.8862705,-1.7859015,"('unsympathetic', 'sympathetic')",-1.8862705,-1.7859015,0.100369
11,-0.04399723,0.018475015,"('unhelpful', 'helpful')",-0.0439972,0.018475,0.0624722
12,-1.204124,-1.1658586,"('unsupportive', 'supportive')",-1.204124,-1.1658586,0.0382654
13,-1.3808956,-1.3337674,"('impolite', 'polite')",-1.3808956,-1.3337674,0.0471282
14,-1.1675761,-1.0426153,"('antisocial', 'social')",-1.1675761,-1.0426153,0.1249608
15,0.38342416,0.31218362,"('boring', 'funny')",0.3834242,0.3121836,-0.0712406
16,-0.1154067,-0.16052605,"('unpopular', 'popular')",-0.1154067,-0.1605261,-0.0451194
17,-0.4925159,-0.41291514,"('nasty', 'nice')",-0.4925159,-0.4129151,0.0796008
18,-0.7632415,-0.7785971,"('disagreeable', 'welcoming')",-0.7632415,-0.7785971,-0.0153556
19,-1.6242915,-1.6490006,"('inhospitable', 'hospitable')",-1.6242915,-1.6490006,-0.0247091
20,-0.20677896,-0.22282413,"('rough', 'thoughtful')",-0.206779,-0.2228241,-0.0160451
21,-1.0272194,-0.8903228,"('immoral', 'moral')",-1.0272194,-0.8903228,0.1368966
22,-1.2660773,-1.2464659,"('untrustworthy', 'trustworthy')",-1.2660773,-1.2464659,0.0196114
23,1.0800822,1.0267473,"('insincere', 'sincere')",1.0800822,1.0267473,-0.0533349
24,-0.8704199,-0.929182,"('dishonest', 'honest')",-0.8704199,-0.929182,-0.0587621
25,0.50399077,0.31411907,"('egoistic', 'altruistic')",0.5039908,0.3141191,-0.1898717
26,0.7877271,0.6513915,"('hardhearted', 'benevolent')",0.7877271,0.6513915,-0.1363356
27,0.044573404,-0.10747165,"('hardhearted', 'softhearted')",0.0445734,-0.1074717,-0.1520451
28,-0.66292435,-0.77256656,"('disloyal', 'loyal')",-0.6629243,-0.7725666,-0.1096423
29,-0.07465441,-0.14051624,"('unfair', 'fair')",-0.0746544,-0.1405162,-0.0658618
30,-0.1926205,-0.11453119,"('intolerant', 'tolerant')",-0.1926205,-0.1145312,0.0780893
31,-1.0138117,-1.0603893,"('evil', 'good')",-1.0138117,-1.0603893,-0.0465776
32,0.14570978,0.0884609,"('unkind', 'kind')",0.1457098,0.0884609,-0.0572489
33,0.28750116,0.19628198,"('wrong', 'right')",0.2875012,0.196282,-0.0912192
34,0.84948736,0.9284552,"('mean', 'honorable')",0.8494874,0.9284552,0.0789678
35,1.0096573,0.8472742,"('corrupt', 'incorrupt')",1.0096573,0.8472742,-0.1623831
36,-0.46772906,-0.6564544,"('hostile', 'amicable')",-0.4677291,-0.6564544,-0.1887253
37,-0.8232155,-0.7565047,"('fake', 'genuine')",-0.8232155,-0.7565047,0.0667108
38,-0.3454028,-0.36354664,"('untruthful', 'truthful')",-0.3454028,-0.3635466,-0.0181438
39,1.0231539,1.0213374,"('exploitative', 'cooperative')",1.0231539,1.0213374,-0.0018165
40,-1.6377699,-1.6806766,"('stingy', 'generous')",-1.6377699,-1.6806766,-0.0429067
41,-0.5015309,-0.50790584,"('unforgiving', 'forgiving')",-0.5015309,-0.5079058,-0.0063749
42,-1.4681398,-1.3166199,"('unreliable', 'reliable')",-1.4681398,-1.3166199,0.1515199
43,-0.97749424,-0.9407107,"('irresponsible', 'responsible')",-0.9774942,-0.9407107,0.0367835
44,-0.120502785,-0.025782568,"('prejudiced', 'unprejudiced')",-0.1205028,-0.0257826,0.0947202
