,swell_male,swell_female,tuple,average_male,average_female,female-male
0,0.38627,0.20079131,"('unsociable', 'sociable')",0.38627,0.2007913,-0.1854787
1,1.3493553,1.4837624,"('unfriendly', 'friendly')",1.3493553,1.4837624,0.1344071
2,0.8782441,1.0044955,"('unlikable', 'likable')",0.8782441,1.0044955,0.1262514
3,1.3460169,1.4020208,"('repellent', 'pleasant')",1.3460169,1.4020208,0.0560039
4,-6.5323358,-6.5394316,"('disliked', 'liked')",-6.5323358,-6.5394316,-0.0070958
5,-0.23991325,-0.15869099,"('distant', 'outgoing')",-0.2399133,-0.158691,0.0812223
6,-0.029826827,0.120210044,"('distant', 'open')",-0.0298268,0.12021,0.1500368
7,1.6083186,1.6724126,"('insensitive', 'sensitive')",1.6083186,1.6724126,0.064094
8,0.76952255,0.8284347,"('unaffectionate', 'affectionate')",0.7695225,0.8284347,0.0589122
9,1.1943309,1.2952892,"('unaffectionate', 'caring')",1.1943309,1.2952892,0.1009583
10,1.8073764,1.7933699,"('unsympathetic', 'sympathetic')",1.8073764,1.7933699,-0.0140065
11,2.1285353,2.0926025,"('unhelpful', 'helpful')",2.1285353,2.0926025,-0.0359328
12,-0.8721858,-0.8764121,"('unsupportive', 'supportive')",-0.8721858,-0.8764121,-0.0042263
13,0.5078186,0.3852414,"('impolite', 'polite')",0.5078186,0.3852414,-0.1225772
14,0.51444125,0.32038823,"('antisocial', 'social')",0.5144413,0.3203882,-0.1940531
15,0.32564443,0.4346615,"('boring', 'funny')",0.3256444,0.4346615,0.1090171
16,-0.4467709,-0.31337127,"('unpopular', 'popular')",-0.4467709,-0.3133713,0.1333996
17,0.16390228,0.114507735,"('nasty', 'nice')",0.1639023,0.1145077,-0.0493946
18,0.056158587,0.038470216,"('disagreeable', 'welcoming')",0.0561586,0.0384702,-0.0176884
19,-0.13985136,0.049808644,"('inhospitable', 'hospitable')",-0.1398514,0.0498086,0.18966
20,0.9824766,0.90651816,"('rough', 'thoughtful')",0.9824766,0.9065182,-0.0759584
21,0.86421126,0.8634081,"('immoral', 'moral')",0.8642113,0.8634081,-0.0008032
22,0.33249244,0.20342642,"('untrustworthy', 'trustworthy')",0.3324924,0.2034264,-0.129066
23,6.733184,6.842961,"('insincere', 'sincere')",6.7331839,6.8429608,0.1097769
24,2.4852974,2.5761216,"('dishonest', 'honest')",2.4852974,2.5761216,0.0908242
25,0.41106057,0.3548581,"('egoistic', 'altruistic')",0.4110606,0.3548581,-0.0562025
