,regeneron_male,regeneron_female,tuple,pharmaceuticals_male,pharmaceuticals_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.0333507,-1.1143397,"('unsociable', 'sociable')",0.022814184,-0.06018667,-0.7555526,-0.864773,-0.5886964,-0.6797664,-0.09107
1,-1.3862425,-1.5456176,"('unfriendly', 'friendly')",0.7004478,0.56344837,2.024573,1.8606908,0.4462595,0.2928405,-0.153419
2,0.55925184,0.57962555,"('unlikable', 'likable')",0.5290396,0.5429437,0.6459708,0.73714954,0.5780874,0.6199063,0.0418189
3,-1.8037722,-1.7382038,"('repellent', 'pleasant')",-1.3696641,-1.2967628,-0.2475315,-0.19919242,-1.1403225,-1.078053,0.0622695
4,0.33699745,0.28656438,"('disliked', 'liked')",0.22048354,0.17056465,-5.709579,-5.8167253,-1.7173661,-1.7865321,-0.069166
5,0.3303025,0.29031256,"('distant', 'outgoing')",0.22916062,0.20750457,0.28655362,0.2764373,0.2820056,0.2580848,-0.0239208
6,0.10227315,0.05406143,"('distant', 'open')",0.15462066,0.1104099,1.0254154,0.9769046,0.4274364,0.3804586,-0.0469778
7,-1.5491755,-1.5351601,"('insensitive', 'sensitive')",-1.2466967,-1.2369709,0.27567628,0.28296077,-0.8400653,-0.8297234,0.0103419
8,0.21117495,0.12089528,"('unaffectionate', 'affectionate')",0.59244215,0.5300869,1.1402235,1.0028512,0.6479469,0.5512778,-0.0966691
9,-0.6891052,-0.80550754,"('unaffectionate', 'caring')",0.39139643,0.3323431,1.1845299,1.1243395,0.2956071,0.2170583,-0.0785488
10,-2.4388309,-2.4051187,"('unsympathetic', 'sympathetic')",-1.1394278,-1.1329572,-0.89514524,-0.9074623,-1.4911346,-1.481846,0.0092886
11,-1.1741456,-1.1289291,"('unhelpful', 'helpful')",-0.14577888,-0.1304464,1.1025772,1.17849,-0.0724491,-0.0269618,0.0454873
12,-0.36743057,-0.3209978,"('unsupportive', 'supportive')",0.67343247,0.72989845,-1.7544209,-1.7626742,-0.4828063,-0.4512579,0.0315484
13,-1.2691665,-1.2135315,"('impolite', 'polite')",-1.1531781,-1.1202116,-0.7416994,-0.73862463,-1.0546814,-1.0241226,0.0305588
14,-0.8123919,-0.7480497,"('antisocial', 'social')",-0.45764992,-0.39698982,-1.0473179,-1.0701737,-0.7724532,-0.7384044,0.0340488
15,0.18465115,0.12569824,"('boring', 'funny')",0.045635823,-0.016210778,0.54885757,0.49974373,0.2597148,0.2030771,-0.0566377
16,0.006046403,-0.025707098,"('unpopular', 'popular')",0.34982422,0.34541178,0.8994729,0.87709695,0.4184479,0.3989339,-0.019514
17,0.04849527,0.07946581,"('nasty', 'nice')",-0.7946986,-0.7591246,-0.44246727,-0.3667698,-0.3962235,-0.3488095,0.047414
18,0.28174263,0.27795494,"('disagreeable', 'welcoming')",0.08614669,0.07692255,-0.04592156,-0.12655237,0.1073226,0.0761084,-0.0312142
19,-0.4230835,-0.42616615,"('inhospitable', 'hospitable')",-0.4724217,-0.49419558,0.34709716,0.4002166,-0.1828027,-0.1733817,0.009421
20,-0.6996988,-0.69027525,"('rough', 'thoughtful')",0.4771695,0.52774763,1.1686983,1.1470199,0.3153897,0.3281641,0.0127744
21,-1.1167595,-1.104067,"('immoral', 'moral')",-0.4489846,-0.44084463,-1.2451614,-1.2002445,-0.9369685,-0.9150521,0.0219164
22,-0.9003748,-0.8745683,"('untrustworthy', 'trustworthy')",-1.054584,-1.076236,-1.10246,-1.1453863,-1.0191396,-1.0320635,-0.0129239
23,-1.9261724,-1.9673706,"('insincere', 'sincere')",-0.568687,-0.60213155,4.7846293,4.768292,0.7632566,0.7329299,-0.0303267
24,-1.3449627,-1.3878193,"('dishonest', 'honest')",-1.1971115,-1.2259446,0.5728171,0.5156687,-0.656419,-0.6993651,-0.0429461
25,0.46090582,0.40965337,"('egoistic', 'altruistic')",0.5399976,0.51078093,1.9122057,1.8368026,0.9710364,0.919079,-0.0519574
26,-0.37597972,-0.44750482,"('hardhearted', 'benevolent')",1.3058696,1.3284217,1.6209562,1.5277684,0.850282,0.8028951,-0.0473869
27,-0.5849158,-0.5868119,"('hardhearted', 'softhearted')",-0.16188134,-0.18147308,1.9186691,1.7422026,0.390624,0.3246392,-0.0659848
28,-1.2737207,-1.3884082,"('disloyal', 'loyal')",0.21152365,0.106987186,0.9507065,0.8604971,-0.0371635,-0.1403079,-0.1031444
29,-0.3059352,-0.3596563,"('unfair', 'fair')",-0.7446578,-0.78828055,-0.337535,-0.46532363,-0.4627093,-0.5377535,-0.0750442
30,-1.1035221,-1.1106215,"('intolerant', 'tolerant')",0.032960013,0.0078123957,0.73043454,0.6943975,-0.1133758,-0.1361372,-0.0227614
31,-0.058412023,-0.05754236,"('evil', 'good')",-0.26029724,-0.2595737,-0.117815614,-0.2057795,-0.1455083,-0.1742985,-0.0287902
32,-0.24525075,-0.3061791,"('unkind', 'kind')",0.48059422,0.45938233,0.6957128,0.5562896,0.3103521,0.2364976,-0.0738545
33,0.9230087,0.8313018,"('wrong', 'right')",0.75526345,0.69021285,0.03830646,-0.037153244,0.5721929,0.4947871,-0.0774058
