,historian_male,historian_female,tuple,average_male,average_female,female-male
0,0.82741356,0.64092064,"('unsociable', 'sociable')",0.8274136,0.6409206,-0.186493
1,0.8557374,0.8224279,"('unfriendly', 'friendly')",0.8557374,0.8224279,-0.0333095
2,0.5600763,0.87173915,"('unlikable', 'likable')",0.5600763,0.8717391,0.3116628
3,0.43635947,0.90173596,"('repellent', 'pleasant')",0.4363595,0.901736,0.4653765
4,-6.3354025,-6.936643,"('disliked', 'liked')",-6.3354025,-6.9366431,-0.6012406
5,-1.162881,-0.88077927,"('distant', 'outgoing')",-1.162881,-0.8807793,0.2821017
6,-1.1495794,-0.82297003,"('distant', 'open')",-1.1495794,-0.82297,0.3266094
7,2.1318252,2.033214,"('insensitive', 'sensitive')",2.1318252,2.0332141,-0.0986111
8,0.46878535,0.7761134,"('unaffectionate', 'affectionate')",0.4687853,0.7761134,0.3073281
9,1.2614095,1.5470833,"('unaffectionate', 'caring')",1.2614095,1.5470833,0.2856738
10,1.3672334,1.5430284,"('unsympathetic', 'sympathetic')",1.3672334,1.5430284,0.175795
11,2.1742322,2.3369076,"('unhelpful', 'helpful')",2.1742322,2.3369076,0.1626754
12,-0.6496931,-0.5425141,"('unsupportive', 'supportive')",-0.6496931,-0.5425141,0.107179
13,0.876524,0.73166966,"('impolite', 'polite')",0.876524,0.7316697,-0.1448543
14,0.60999453,0.5583525,"('antisocial', 'social')",0.6099945,0.5583525,-0.051642
15,0.09740959,-0.04226986,"('boring', 'funny')",0.0974096,-0.0422699,-0.1396795
16,-0.9497376,-0.77072394,"('unpopular', 'popular')",-0.9497376,-0.7707239,0.1790137
17,-0.48760623,-0.5504527,"('nasty', 'nice')",-0.4876062,-0.5504527,-0.0628465
18,-0.8895906,-0.6910493,"('disagreeable', 'welcoming')",-0.8895906,-0.6910493,0.1985413
19,-0.7334461,-0.4829692,"('inhospitable', 'hospitable')",-0.7334461,-0.4829692,0.2504769
20,1.0877504,1.1266195,"('rough', 'thoughtful')",1.0877504,1.1266195,0.0388691
21,0.5812903,0.82194877,"('immoral', 'moral')",0.5812903,0.8219488,0.2406585
22,1.009152,0.67064327,"('untrustworthy', 'trustworthy')",1.0091521,0.6706433,-0.3385088
23,6.344133,6.852028,"('insincere', 'sincere')",6.3441329,6.8520279,0.507895
24,2.0518064,2.0829005,"('dishonest', 'honest')",2.0518064,2.0829005,0.0310941
25,-0.041861527,-0.045143276,"('egoistic', 'altruistic')",-0.0418615,-0.0451433,-0.0032818
26,0.9348782,0.4093796,"('hardhearted', 'benevolent')",0.9348782,0.4093796,-0.5254986
27,0.5057011,0.961404,"('hardhearted', 'softhearted')",0.5057011,0.961404,0.4557029
28,1.0563157,0.9111418,"('disloyal', 'loyal')",1.0563157,0.9111418,-0.1451739
29,0.18730941,0.030994792,"('unfair', 'fair')",0.1873094,0.0309948,-0.1563146
30,1.3062817,1.3824701,"('intolerant', 'tolerant')",1.3062817,1.3824701,0.0761884
31,-1.8463409,-1.7994578,"('evil', 'good')",-1.8463409,-1.7994578,0.0468831
32,1.3858598,1.3708057,"('unkind', 'kind')",1.3858598,1.3708057,-0.0150541
33,-0.5820957,-0.6585445,"('wrong', 'right')",-0.5820957,-0.6585445,-0.0764488
34,4.475828,4.808736,"('mean', 'honorable')",4.4758282,4.8087358,0.3329076
35,-1.5899116,-1.6106653,"('corrupt', 'incorrupt')",-1.5899116,-1.6106653,-0.0207537
36,-1.1886387,-1.2909691,"('hostile', 'amicable')",-1.1886387,-1.2909691,-0.1023304
37,0.5645343,0.85590315,"('fake', 'genuine')",0.5645343,0.8559031,0.2913688
38,1.5739529,1.0724547,"('untruthful', 'truthful')",1.5739529,1.0724547,-0.5014982
