,medtronic_male,medtronic_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,-0.25111833,-0.19916794,"('unsociable', 'sociable')",-0.58181566,-0.6640346,-0.416467,-0.4316013,-0.0151343
1,-0.62921846,-0.7279704,"('unfriendly', 'friendly')",2.3120027,2.0908287,0.8413921,0.6814291,-0.159963
2,0.22688098,0.23922986,"('unlikable', 'likable')",0.274255,0.26266944,0.250568,0.2509497,0.0003817
3,-1.2039411,-1.1239604,"('repellent', 'pleasant')",-0.44161442,-0.41758436,-0.8227777,-0.7707723,0.0520054
4,0.39183483,0.3901816,"('disliked', 'liked')",-3.5675502,-3.3000531,-1.5878577,-1.4549358,0.1329219
5,-0.03958024,-0.08295092,"('distant', 'outgoing')",0.81179225,0.72339183,0.386106,0.3202205,-0.0658855
6,-0.49624595,-0.57049924,"('distant', 'open')",0.77116907,0.6456633,0.1374616,0.037582,-0.0998796
7,-1.0965422,-1.0521463,"('insensitive', 'sensitive')",0.16734138,0.15879402,-0.4646004,-0.4466761,0.0179243
8,-0.49854183,-0.6446359,"('unaffectionate', 'affectionate')",1.1692369,0.90520185,0.3353475,0.130283,-0.2050645
9,-0.35281163,-0.42623562,"('unaffectionate', 'caring')",1.3085902,1.1168928,0.4778893,0.3453286,-0.1325607
10,-1.7611942,-1.6973332,"('unsympathetic', 'sympathetic')",-0.894433,-0.8238121,-1.3278136,-1.2605727,0.0672409
11,-0.33110353,-0.30458987,"('unhelpful', 'helpful')",0.4585667,0.40155217,0.0637316,0.0484812,-0.0152504
12,0.22012632,0.29212788,"('unsupportive', 'supportive')",-0.97448546,-0.9040134,-0.3771796,-0.3059428,0.0712368
13,-0.20780888,-0.11335647,"('impolite', 'polite')",-0.99056417,-0.95909625,-0.5991865,-0.5362264,0.0629601
14,-0.31697658,-0.2553545,"('antisocial', 'social')",0.37714338,0.43611395,0.0300834,0.0903797,0.0602963
15,0.9463348,0.8362632,"('boring', 'funny')",0.19065288,0.1300987,0.5684938,0.4831809,-0.0853129
16,0.09197415,0.1034165,"('unpopular', 'popular')",0.06803843,-0.047196835,0.0800063,0.0281098,-0.0518965
