,cloudburst_male,cloudburst_female,tuple,average_male,average_female,female-male
0,-1.8113325,-1.8116966,"('unsociable', 'sociable')",-1.8113325,-1.8116966,-0.0003641
1,-0.16592269,-0.41845536,"('unfriendly', 'friendly')",-0.1659227,-0.4184554,-0.2525327
2,-0.5382669,-0.4636755,"('unlikable', 'likable')",-0.5382669,-0.4636755,0.0745914
3,-0.69909024,-0.6160546,"('repellent', 'pleasant')",-0.6990902,-0.6160546,0.0830356
4,-2.0430079,-2.021392,"('disliked', 'liked')",-2.0430079,-2.0213921,0.0216158
5,-0.87640285,-0.9511449,"('distant', 'outgoing')",-0.8764029,-0.9511449,-0.074742
6,-0.8172172,-0.9421261,"('distant', 'open')",-0.8172172,-0.9421261,-0.1249089
7,-0.5691498,-0.45280927,"('insensitive', 'sensitive')",-0.5691498,-0.4528093,0.1163405
8,-0.14343646,-0.376415,"('unaffectionate', 'affectionate')",-0.1434365,-0.376415,-0.2329785
9,-0.44064078,-0.60995835,"('unaffectionate', 'caring')",-0.4406408,-0.6099584,-0.1693176
10,-1.7164176,-1.6001108,"('unsympathetic', 'sympathetic')",-1.7164176,-1.6001108,0.1163068
11,0.1077562,0.19326133,"('unhelpful', 'helpful')",0.1077562,0.1932613,0.0855051
12,-1.2194213,-1.173818,"('unsupportive', 'supportive')",-1.2194213,-1.173818,0.0456033
13,-1.2014018,-1.1507963,"('impolite', 'polite')",-1.2014018,-1.1507963,0.0506055
14,-1.0541949,-0.9544621,"('antisocial', 'social')",-1.0541949,-0.9544621,0.0997328
15,0.26384148,0.18757068,"('boring', 'funny')",0.2638415,0.1875707,-0.0762708
16,-0.1453518,-0.1952059,"('unpopular', 'popular')",-0.1453518,-0.1952059,-0.0498541
17,-0.7113412,-0.6117844,"('nasty', 'nice')",-0.7113412,-0.6117844,0.0995568
18,-0.79141724,-0.75868714,"('disagreeable', 'welcoming')",-0.7914172,-0.7586871,0.0327301
19,-1.7667359,-1.7279052,"('inhospitable', 'hospitable')",-1.7667359,-1.7279052,0.0388307
20,-0.20271653,-0.22194049,"('rough', 'thoughtful')",-0.2027165,-0.2219405,-0.019224
21,-0.8632156,-0.73491913,"('immoral', 'moral')",-0.8632156,-0.7349191,0.1282965
22,-1.118319,-1.0927031,"('untrustworthy', 'trustworthy')",-1.118319,-1.0927031,0.0256159
23,1.1324359,1.096981,"('insincere', 'sincere')",1.1324359,1.096981,-0.0354549
24,-0.7090977,-0.7617808,"('dishonest', 'honest')",-0.7090977,-0.7617808,-0.0526831
25,0.3813223,0.1909951,"('egoistic', 'altruistic')",0.3813223,0.1909951,-0.1903272
26,0.7482898,0.58478427,"('hardhearted', 'benevolent')",0.7482898,0.5847843,-0.1635055
27,-0.110887386,-0.24999848,"('hardhearted', 'softhearted')",-0.1108874,-0.2499985,-0.1391111
28,-0.50473094,-0.62389684,"('disloyal', 'loyal')",-0.5047309,-0.6238968,-0.1191659
