,raytheon_male,raytheon_female,tuple,technologies_male,technologies_female,corp_male,corp_female,average_male,average_female,female-male
0,-2.0355585,-2.1549869,"('unsociable', 'sociable')",-0.62913877,-0.7978241,-0.099712074,-0.10062237,-0.9214698,-1.0178111,-0.0963413
1,-0.5856429,-0.77397597,"('unfriendly', 'friendly')",-0.094131514,-0.39603835,1.2552788,0.924626,0.1918348,-0.0817961,-0.2736309
2,0.793255,0.80634594,"('unlikable', 'likable')",0.51604944,0.51338327,0.8859578,0.80771405,0.7317541,0.7091478,-0.0226063
3,-1.1177788,-1.0389951,"('repellent', 'pleasant')",-0.3311659,-0.26128033,0.5806431,0.6599421,-0.2894339,-0.2134445,0.0759894
4,0.84508115,0.77393883,"('disliked', 'liked')",-0.24768654,-0.28045055,-6.109531,-6.4859886,-1.8373788,-1.9975001,-0.1601213
5,0.21796104,0.19109297,"('distant', 'outgoing')",-0.6689297,-0.6709129,-0.6530095,-0.7940109,-0.3679927,-0.4246103,-0.0566176
6,-0.014320891,-0.027315466,"('distant', 'open')",-1.1819677,-1.2651943,-0.59205693,-0.74399465,-0.5961152,-0.6788348,-0.0827196
7,-1.2482222,-1.2904004,"('insensitive', 'sensitive')",-0.0757167,-0.020696482,0.44595397,0.46367547,-0.2926617,-0.2824738,0.0101879
8,-0.1808379,-0.35638204,"('unaffectionate', 'affectionate')",0.3181749,0.1255684,0.36869273,0.21151073,0.1686766,-0.0064343,-0.1751109
9,-0.75652075,-0.8925874,"('unaffectionate', 'caring')",0.36391783,0.23816445,1.0580735,1.0143665,0.2218235,0.1199812,-0.1018423
10,-3.2690187,-3.3508615,"('unsympathetic', 'sympathetic')",-1.2058959,-1.2574304,-0.4060494,-0.28422827,-1.6269879,-1.6308401,-0.0038522
11,-1.8266994,-1.8711419,"('unhelpful', 'helpful')",0.72632533,0.7262003,1.7359734,1.7810401,0.2118665,0.2120328,0.0001663
12,-0.60290587,-0.6583383,"('unsupportive', 'supportive')",0.43237248,0.49440205,-1.7582091,-1.7779676,-0.6429142,-0.6473013,-0.0043871
13,-2.0427604,-2.114226,"('impolite', 'polite')",-0.7880436,-0.84821564,-0.5756729,-0.3814104,-1.1354922,-1.1146173,0.0208749
14,-1.1869655,-1.1609703,"('antisocial', 'social')",0.47118628,0.6007191,0.08019393,0.1033735,-0.2118617,-0.1522926,0.0595691
15,0.37687302,0.30124867,"('boring', 'funny')",0.22896928,0.081059046,0.31127685,0.23914473,0.3057064,0.2071508,-0.0985556
16,0.70367646,0.6552881,"('unpopular', 'popular')",0.1955169,0.15759477,0.4152861,0.3254211,0.4381598,0.3794347,-0.0587251
17,-0.02987616,-0.0721931,"('nasty', 'nice')",-0.6997113,-0.72237945,-0.42271152,-0.3633376,-0.3840997,-0.38597,-0.0018703
18,0.0689408,0.050403923,"('disagreeable', 'welcoming')",0.21638311,0.2278125,-0.4283039,-0.60180235,-0.04766,-0.107862,-0.060202
19,-0.09287809,-0.1758595,"('inhospitable', 'hospitable')",-0.6755465,-0.8549862,-0.6088714,-0.708631,-0.4590987,-0.5798256,-0.1207269
