,cross_male,cross_female,tuple,average_male,average_female,female-male
0,0.388053,0.2109302,"('unsociable', 'sociable')",0.388053,0.2109302,-0.1771228
1,1.3938385,1.3597399,"('unfriendly', 'friendly')",1.3938385,1.3597399,-0.0340986
2,0.43998113,0.40456915,"('unlikable', 'likable')",0.4399811,0.4045691,-0.035412
3,0.23526497,0.3325586,"('repellent', 'pleasant')",0.235265,0.3325586,0.0972936
4,-5.830257,-6.191275,"('disliked', 'liked')",-5.8302569,-6.1912751,-0.3610182
5,-0.6568351,-0.59358615,"('distant', 'outgoing')",-0.6568351,-0.5935861,0.063249
6,0.09184755,0.12091121,"('distant', 'open')",0.0918475,0.1209112,0.0290637
7,1.193184,1.167263,"('insensitive', 'sensitive')",1.193184,1.167263,-0.025921
8,1.4188092,1.3747315,"('unaffectionate', 'affectionate')",1.4188092,1.3747315,-0.0440777
9,1.585801,1.6166385,"('unaffectionate', 'caring')",1.585801,1.6166385,0.0308375
10,0.81704855,0.80144346,"('unsympathetic', 'sympathetic')",0.8170485,0.8014435,-0.015605
11,1.0990375,1.2004987,"('unhelpful', 'helpful')",1.0990375,1.2004987,0.1014612
12,-1.6522363,-1.7486861,"('unsupportive', 'supportive')",-1.6522363,-1.7486861,-0.0964498
13,-0.5778795,-0.5708513,"('impolite', 'polite')",-0.5778795,-0.5708513,0.0070282
14,0.45580596,0.39685762,"('antisocial', 'social')",0.455806,0.3968576,-0.0589484
15,0.26423344,0.17881118,"('boring', 'funny')",0.2642334,0.1788112,-0.0854222
16,-0.20570156,-0.22953655,"('unpopular', 'popular')",-0.2057016,-0.2295365,-0.0238349
17,-0.34291726,-0.30508295,"('nasty', 'nice')",-0.3429173,-0.3050829,0.0378344
18,-0.74815255,-0.77957344,"('disagreeable', 'welcoming')",-0.7481526,-0.7795734,-0.0314208
19,-0.06966611,-0.100546665,"('inhospitable', 'hospitable')",-0.0696661,-0.1005467,-0.0308806
20,0.72211385,0.6564033,"('rough', 'thoughtful')",0.7221138,0.6564033,-0.0657105
21,-0.36763433,-0.32504922,"('immoral', 'moral')",-0.3676343,-0.3250492,0.0425851
22,0.19072479,-0.015918396,"('untrustworthy', 'trustworthy')",0.1907248,-0.0159184,-0.2066432
