,contingency_male,contingency_female,tuple,average_male,average_female,female-male
0,-1.1909717,-1.2883521,"('unsociable', 'sociable')",-1.1909717,-1.2883521,-0.0973804
1,-0.63403994,-0.75117564,"('unfriendly', 'friendly')",-0.6340399,-0.7511756,-0.1171357
2,0.020523258,0.0669895,"('unlikable', 'likable')",0.0205233,0.0669895,0.0464662
3,-1.6117561,-1.4962773,"('repellent', 'pleasant')",-1.6117561,-1.4962773,0.1154788
4,-2.240327,-2.2008371,"('disliked', 'liked')",-2.2403269,-2.2008371,0.0394898
5,0.0112160295,-0.055368155,"('distant', 'outgoing')",0.011216,-0.0553682,-0.0665842
6,0.14184809,0.06384237,"('distant', 'open')",0.1418481,0.0638424,-0.0780057
7,-0.6986078,-0.6493945,"('insensitive', 'sensitive')",-0.6986078,-0.6493945,0.0492133
8,-0.5999492,-0.7357719,"('unaffectionate', 'affectionate')",-0.5999492,-0.7357719,-0.1358227
9,-0.68491435,-0.7604904,"('unaffectionate', 'caring')",-0.6849144,-0.7604904,-0.075576
10,-1.8410115,-1.8341632,"('unsympathetic', 'sympathetic')",-1.8410115,-1.8341632,0.0068483
11,0.040496264,0.10302589,"('unhelpful', 'helpful')",0.0404963,0.1030259,0.0625296
12,-1.4551004,-1.348838,"('unsupportive', 'supportive')",-1.4551004,-1.348838,0.1062624
13,-1.1533262,-1.1260375,"('impolite', 'polite')",-1.1533262,-1.1260375,0.0272887
14,0.2871196,0.2633624,"('antisocial', 'social')",0.2871196,0.2633624,-0.0237572
15,0.93844765,0.87710744,"('boring', 'funny')",0.9384477,0.8771074,-0.0613403
16,-0.98372746,-0.89994776,"('unpopular', 'popular')",-0.9837275,-0.8999478,0.0837797
17,-0.44523028,-0.31922737,"('nasty', 'nice')",-0.4452303,-0.3192274,0.1260029
18,-0.56305426,-0.51321816,"('disagreeable', 'welcoming')",-0.5630543,-0.5132182,0.0498361
19,-1.2491841,-1.207745,"('inhospitable', 'hospitable')",-1.2491841,-1.207745,0.0414391
20,0.8093027,0.80485964,"('rough', 'thoughtful')",0.8093027,0.8048596,-0.0044431
21,-1.204543,-1.0466735,"('immoral', 'moral')",-1.204543,-1.0466735,0.1578695
22,0.24358785,0.2814172,"('untrustworthy', 'trustworthy')",0.2435879,0.2814172,0.0378293
23,0.61837476,0.6645509,"('insincere', 'sincere')",0.6183748,0.6645509,0.0461761
24,-0.87058115,-0.84928304,"('dishonest', 'honest')",-0.8705812,-0.849283,0.0212982
25,1.0177609,0.94404763,"('egoistic', 'altruistic')",1.0177609,0.9440476,-0.0737133
26,2.0535612,1.8926209,"('hardhearted', 'benevolent')",2.0535612,1.8926209,-0.1609403
27,0.37064573,0.27396074,"('hardhearted', 'softhearted')",0.3706457,0.2739607,-0.096685
28,-0.60728675,-0.7015027,"('disloyal', 'loyal')",-0.6072868,-0.7015027,-0.0942159
29,0.14364225,0.06026493,"('unfair', 'fair')",0.1436422,0.0602649,-0.0833773
30,-0.79452366,-0.74078083,"('intolerant', 'tolerant')",-0.7945237,-0.7407808,0.0537429
31,-0.33779392,-0.2869658,"('evil', 'good')",-0.3377939,-0.2869658,0.0508281
32,-0.32028815,-0.3461613,"('unkind', 'kind')",-0.3202882,-0.3461613,-0.0258731
33,0.742583,0.6675705,"('wrong', 'right')",0.742583,0.6675705,-0.0750125
34,1.0362587,1.2179587,"('mean', 'honorable')",1.0362587,1.2179587,0.1817
35,1.2397046,1.1341407,"('corrupt', 'incorrupt')",1.2397046,1.1341407,-0.1055639
36,0.36231008,0.22882861,"('hostile', 'amicable')",0.3623101,0.2288286,-0.1334815
37,-0.43868187,-0.35775626,"('fake', 'genuine')",-0.4386819,-0.3577563,0.0809256
38,-0.58888084,-0.54870903,"('untruthful', 'truthful')",-0.5888808,-0.548709,0.0401718
39,0.05324886,0.12769797,"('exploitative', 'cooperative')",0.0532489,0.127698,0.0744491
40,-1.1215833,-1.1770463,"('stingy', 'generous')",-1.1215833,-1.1770463,-0.055463
41,0.028975438,0.015753929,"('unforgiving', 'forgiving')",0.0289754,0.0157539,-0.0132215
42,-0.104658574,-0.04217445,"('unreliable', 'reliable')",-0.1046586,-0.0421745,0.0624841
43,-0.8699564,-0.8573393,"('irresponsible', 'responsible')",-0.8699564,-0.8573393,0.0126171
44,0.8635753,0.87718546,"('prejudiced', 'unprejudiced')",0.8635753,0.8771855,0.0136102
45,-0.8751524,-0.82712454,"('incompetent', 'competent')",-0.8751524,-0.8271245,0.0480279
46,-2.0603569,-2.0743253,"('uncompetitive', 'competitive')",-2.0603569,-2.0743253,-0.0139684
47,2.1095712,2.1787694,"('stupid', 'smart')",2.1095712,2.1787694,0.0691982
48,-1.6443099,-1.6500996,"('unintelligent', 'intelligent')",-1.6443099,-1.6500996,-0.0057897
49,-1.1368262,-1.0280505,"('unable', 'able')",-1.1368262,-1.0280505,0.1087757
50,-0.13604844,-0.11706281,"('clumsy', 'skillful')",-0.1360484,-0.1170628,0.0189856
51,-1.4039745,-1.4366995,"('uneducated', 'educated')",-1.4039745,-1.4366995,-0.032725
52,-0.2730932,-0.39670628,"('irrational', 'rational')",-0.2730932,-0.3967063,-0.1236131
53,-0.8310886,-0.89156544,"('uncreative', 'creative')",-0.8310886,-0.8915654,-0.0604768
54,-0.004852392,-0.020434927,"('incapable', 'capable')",-0.0048524,-0.0204349,-0.0155825
55,-1.0255346,-0.9885866,"('incompetent', 'clever')",-1.0255346,-0.9885866,0.036948
56,-0.19863854,-0.12494096,"('impractical', 'practical')",-0.1986385,-0.124941,0.0736975
57,-1.4837958,-1.554637,"('unimaginative', 'imaginative')",-1.4837958,-1.554637,-0.0708412
58,0.66654426,0.52721167,"('undiscriminating', 'discriminating')",0.6665443,0.5272117,-0.1393326
59,0.6038342,0.5971377,"('foolish', 'wise')",0.6038342,0.5971377,-0.0066965
60,-1.122723,-1.0145928,"('inefficient', 'efficient')",-1.122723,-1.0145928,0.1081302
61,-0.23735239,-0.38258812,"('illogical', 'logical')",-0.2373524,-0.3825881,-0.1452357
62,-0.97945976,-0.85875154,"('incompetent', 'brilliant')",-0.9794598,-0.8587515,0.1207083
63,-0.7523571,-0.6907681,"('unperceptive', 'insightful')",-0.7523571,-0.6907681,0.061589
64,-2.3459775,-2.3253393,"('shy', 'confident')",-2.3459775,-2.3253393,0.0206382
65,-0.4359323,-0.52764124,"('insecure', 'secure')",-0.4359323,-0.5276412,-0.0917089
66,0.39978844,0.29312482,"('inactive', 'active')",0.3997884,0.2931248,-0.1066636
67,1.0373204,1.0631951,"('doubtful', 'determined')",1.0373204,1.0631951,0.0258747
68,-0.93236,-0.9024584,"('dependent', 'independent')",-0.93236,-0.9024584,0.0299016
69,1.2260164,1.2251865,"('lazy', 'industrious')",1.2260164,1.2251865,-0.0008299
70,0.2573867,0.27570233,"('lethargic', 'energetic')",0.2573867,0.2757023,0.0183156
71,0.0032370314,0.045991264,"('diffident', 'self-confident')",0.003237,0.0459913,0.0427543
72,-0.42035463,-0.45231295,"('unambitious', 'ambitious')",-0.4203546,-0.4523129,-0.0319583
73,-0.86716133,-0.80778307,"('helpless', 'self-reliant')",-0.8671613,-0.8077831,0.0593782
74,-0.58870554,-0.59828675,"('undedicated', 'dedicated')",-0.5887055,-0.5982867,-0.0095812
75,0.8425989,0.8690849,"('meek', 'impulsive')",0.8425989,0.8690849,0.026486
76,-0.3614008,-0.38274166,"('anxious', 'daring')",-0.3614008,-0.3827417,-0.0213409
77,-1.1426826,-1.0468526,"('unmotivated', 'motivated')",-1.1426826,-1.0468526,0.09583
78,-0.8018711,-0.82029307,"('nonresilient', 'resilient')",-0.8018711,-0.8202931,-0.018422
79,-0.25917992,-0.29525983,"('wavering', 'unwavering')",-0.2591799,-0.2952598,-0.0360799
80,0.060833033,0.058701113,"('dominated', 'dominating')",0.060833,0.0587011,-0.0021319
81,0.05560907,0.108393446,"('submissive', 'aggressive')",0.0556091,0.1083934,0.0527843
82,1.1045548,1.1059148,"('poor', 'rich')",1.1045548,1.1059148,0.00136
83,-0.14559188,-0.20969072,"('powerless', 'powerful')",-0.1455919,-0.2096907,-0.0640988
84,0.88266516,0.7696819,"('inferior', 'superior')",0.8826652,0.7696819,-0.1129833
85,0.37657732,0.32683253,"('insignificant', 'prestigious')",0.3765773,0.3268325,-0.0497448
86,-2.0390272,-2.1028872,"('uninfluential', 'influential')",-2.0390272,-2.1028872,-0.06386
87,-0.5104912,-0.5433903,"('unsuccessful', 'successful')",-0.5104912,-0.5433903,-0.0328991
88,-0.25519302,-0.28050983,"('low', 'eminent')",-0.255193,-0.2805098,-0.0253168
