,centene_male,centene_female,tuple,corp_male,corp_female,del_male,del_female,average_male,average_female,female-male
0,-0.68997735,-0.75260246,"('unsociable', 'sociable')",0.61181545,0.43904305,-0.5605846,-0.61450464,-0.2129155,-0.3093547,-0.0964392
1,-1.8422844,-1.8496962,"('unfriendly', 'friendly')",-0.5117546,-0.67514056,1.6480234,1.6058489,-0.2353385,-0.3063293,-0.0709908
2,0.5051248,0.47348332,"('unlikable', 'likable')",1.3117722,1.2996464,0.2821798,0.28951883,0.6996922,0.6875495,-0.0121427
3,-0.11365999,0.020589877,"('repellent', 'pleasant')",0.44236404,0.4783023,0.3180611,0.39881706,0.2155884,0.2992364,0.083648
4,-0.99596125,-1.0011872,"('disliked', 'liked')",-0.39857408,-0.399288,-7.5965405,-7.716437,-2.9970252,-3.0389706,-0.0419454
5,-1.7805748,-1.7645813,"('distant', 'outgoing')",-0.8378428,-0.83708394,0.19323972,0.15668955,-0.8083927,-0.8149919,-0.0065992
6,-2.2226424,-2.1729076,"('distant', 'open')",-1.6272963,-1.6339263,0.81062084,0.8046161,-1.013106,-1.0007393,0.0123667
7,-0.036759928,0.05028243,"('insensitive', 'sensitive')",-0.2452476,-0.21430951,0.38265255,0.45967078,0.0335483,0.0985479,0.0649996
8,-1.1288323,-1.1778345,"('unaffectionate', 'affectionate')",-0.7026164,-0.76987886,1.4356543,1.3877132,-0.1319315,-0.1866667,-0.0547352
9,-1.3176202,-1.3475105,"('unaffectionate', 'caring')",-0.5168477,-0.5945421,1.411487,1.4144654,-0.1409936,-0.1758624,-0.0348688
10,-0.5207107,-0.48327464,"('unsympathetic', 'sympathetic')",-1.0201753,-1.0693332,-0.460382,-0.35976738,-0.6670894,-0.6374584,0.029631
11,0.1452952,0.16930087,"('unhelpful', 'helpful')",-0.07040043,-0.054152012,0.5658497,0.6410379,0.2135815,0.2520622,0.0384807
12,-0.7288414,-0.59370136,"('unsupportive', 'supportive')",-0.31050348,-0.2226733,-2.2284918,-2.2219179,-1.0892789,-1.0127641,0.0765148
13,-0.46273062,-0.46085262,"('impolite', 'polite')",-0.5215106,-0.52755153,-0.8561675,-0.81333077,-0.6134696,-0.6005783,0.0128913
14,0.707998,0.74197656,"('antisocial', 'social')",1.5852472,1.5544916,-0.2573571,-0.3419127,0.6786293,0.6515185,-0.0271108
15,0.090496406,-0.067479014,"('boring', 'funny')",-0.011262074,-0.076511845,0.32844362,0.23140925,0.1358926,0.0291395,-0.1067531
16,-0.8403242,-0.82552063,"('unpopular', 'popular')",-0.4538907,-0.4773562,0.8032999,0.70504874,-0.1636384,-0.199276,-0.0356376
17,-0.13972096,-0.10141447,"('nasty', 'nice')",-0.6425304,-0.55085367,-1.0234979,-1.0351343,-0.6019164,-0.5624675,0.0394489
18,-0.9153178,-0.78260106,"('disagreeable', 'welcoming')",-0.044424653,-0.057948083,-0.14236039,-0.2517469,-0.3673676,-0.3640987,0.0032689
19,-1.987319,-1.970281,"('inhospitable', 'hospitable')",-1.5193812,-1.519144,-0.28835204,-0.23567614,-1.2650174,-1.2417004,0.023317
20,0.33195257,0.40120155,"('rough', 'thoughtful')",0.7431455,0.7213337,0.026477285,-0.010739554,0.3671918,0.3705986,0.0034068
21,0.4133123,0.43728176,"('immoral', 'moral')",0.67223096,0.58360624,-0.9122065,-0.85347927,0.0577789,0.0558029,-0.001976
22,-0.16392644,-0.13043712,"('untrustworthy', 'trustworthy')",0.18460976,0.13305458,-1.2865452,-1.3379813,-0.421954,-0.4451213,-0.0231673
