,disregard_male,disregard_female,tuple,average_male,average_female,female-male
0,-0.045776352,-0.084384605,"('unsociable', 'sociable')",-0.0457764,-0.0843846,-0.0386082
1,0.90242493,0.8236236,"('unfriendly', 'friendly')",0.9024249,0.8236236,-0.0788013
2,0.1788711,0.29413474,"('unlikable', 'likable')",0.1788711,0.2941347,0.1152636
3,0.9226195,0.9517731,"('repellent', 'pleasant')",0.9226195,0.9517731,0.0291536
4,-7.010837,-7.2123017,"('disliked', 'liked')",-7.0108371,-7.2123017,-0.2014646
5,-0.41277993,-0.44188353,"('distant', 'outgoing')",-0.4127799,-0.4418835,-0.0291036
6,0.055479005,-0.056393582,"('distant', 'open')",0.055479,-0.0563936,-0.1118726
7,0.97625405,1.01225,"('insensitive', 'sensitive')",0.976254,1.0122499,0.0359959
8,0.8377477,0.7197092,"('unaffectionate', 'affectionate')",0.8377477,0.7197092,-0.1180385
9,1.2252141,1.2596737,"('unaffectionate', 'caring')",1.2252141,1.2596737,0.0344596
10,1.2166221,1.2639929,"('unsympathetic', 'sympathetic')",1.2166221,1.2639929,0.0473708
11,1.5965512,1.6748583,"('unhelpful', 'helpful')",1.5965512,1.6748583,0.0783071
12,-1.5570335,-1.5612888,"('unsupportive', 'supportive')",-1.5570335,-1.5612888,-0.0042553
13,0.07350666,0.15311162,"('impolite', 'polite')",0.0735067,0.1531116,0.0796049
14,0.034691215,-0.010117311,"('antisocial', 'social')",0.0346912,-0.0101173,-0.0448085
15,0.09356888,0.026974656,"('boring', 'funny')",0.0935689,0.0269747,-0.0665942
16,-0.44592217,-0.46445972,"('unpopular', 'popular')",-0.4459222,-0.4644597,-0.0185375
17,-0.020112984,-0.0110521205,"('nasty', 'nice')",-0.020113,-0.0110521,0.0090609
18,-0.41017884,-0.42612195,"('disagreeable', 'welcoming')",-0.4101788,-0.426122,-0.0159432
19,-0.80645585,-0.81916064,"('inhospitable', 'hospitable')",-0.8064559,-0.8191606,-0.0127047
20,0.87476146,0.7834165,"('rough', 'thoughtful')",0.8747615,0.7834165,-0.091345
21,-0.060695127,0.11816417,"('immoral', 'moral')",-0.0606951,0.1181642,0.1788593
