,safeway_male,safeway_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.18806663,0.28858784,"('unsociable', 'sociable')",-0.21852705,-0.3525088,-0.0152302,-0.0319605,-0.0167303
1,-0.53549504,-0.5633583,"('unfriendly', 'friendly')",2.1117072,1.9301379,0.7881061,0.6833898,-0.1047163
2,0.7371065,0.72934043,"('unlikable', 'likable')",0.8329308,0.91921186,0.7850187,0.8242761,0.0392574
3,-0.6791603,-0.35267633,"('repellent', 'pleasant')",0.31465593,0.41920528,-0.1822522,0.0332645,0.2155167
4,-0.35704333,-0.32194972,"('disliked', 'liked')",-6.706233,-6.7995234,-3.5316381,-3.5607367,-0.0290986
5,-0.72097075,-0.7563436,"('distant', 'outgoing')",-0.048069216,-0.06415029,-0.38452,-0.4102469,-0.0257269
6,-0.5558772,-0.53896624,"('distant', 'open')",0.39459005,0.3624124,-0.0806436,-0.0882769,-0.0076333
7,0.55961376,0.8263567,"('insensitive', 'sensitive')",0.72454023,0.7712977,0.642077,0.7988272,0.1567502
8,-0.62246734,-0.76830274,"('unaffectionate', 'affectionate')",0.97863245,0.893859,0.1780826,0.0627781,-0.1153045
9,0.12120464,0.14167388,"('unaffectionate', 'caring')",1.4053487,1.4837334,0.7632766,0.8127037,0.0494271
10,0.22653317,0.5156627,"('unsympathetic', 'sympathetic')",-0.11421735,0.0033463817,0.0561579,0.2595046,0.2033467
11,1.0833378,1.2801563,"('unhelpful', 'helpful')",2.0575845,2.3086133,1.5704612,1.7943847,0.2239235
12,1.0419893,1.3260369,"('unsupportive', 'supportive')",-1.6302589,-1.5834938,-0.2941348,-0.1287284,0.1654064
13,0.7817704,0.76494527,"('impolite', 'polite')",-0.2619299,-0.20534673,0.2599202,0.2797993,0.0198791
14,0.46741197,0.61685455,"('antisocial', 'social')",-0.5453627,-0.579908,-0.0389754,0.0184733,0.0574487
15,0.15956193,-0.036001462,"('boring', 'funny')",0.32730788,0.24037446,0.2434349,0.1021865,-0.1412484
16,-0.5193198,-0.42383832,"('unpopular', 'popular')",0.49804366,0.47095463,-0.0106381,0.0235582,0.0341963
17,-0.10100118,-0.01733372,"('nasty', 'nice')",-0.4069602,-0.35908535,-0.2539807,-0.1882095,0.0657712
18,-0.7558531,-0.66931444,"('disagreeable', 'welcoming')",-0.14909744,-0.20402955,-0.4524753,-0.436672,0.0158033
