,hearsay_male,hearsay_female,tuple,average_male,average_female,female-male
0,0.5942471,0.38188875,"('unsociable', 'sociable')",0.5942471,0.3818887,-0.2123584
1,0.025007997,-0.16444331,"('unfriendly', 'friendly')",0.025008,-0.1644433,-0.1894513
2,-0.19424918,-0.11990674,"('unlikable', 'likable')",-0.1942492,-0.1199067,0.0743425
3,-0.35719514,-0.2051544,"('repellent', 'pleasant')",-0.3571951,-0.2051544,0.1520407
4,-3.7045603,-3.8227327,"('disliked', 'liked')",-3.7045603,-3.8227327,-0.1181724
5,-1.0359046,-1.0524946,"('distant', 'outgoing')",-1.0359046,-1.0524946,-0.01659
6,-0.9806229,-0.9582051,"('distant', 'open')",-0.9806229,-0.9582051,0.0224178
7,0.23061198,0.32264203,"('insensitive', 'sensitive')",0.230612,0.322642,0.09203
8,-0.43997183,-0.5265021,"('unaffectionate', 'affectionate')",-0.4399718,-0.5265021,-0.0865303
9,0.1878098,0.20164038,"('unaffectionate', 'caring')",0.1878098,0.2016404,0.0138306
10,0.1023066,0.14199823,"('unsympathetic', 'sympathetic')",0.1023066,0.1419982,0.0396916
11,1.0712501,1.1403114,"('unhelpful', 'helpful')",1.0712501,1.1403114,0.0690613
12,-1.0972682,-1.0651778,"('unsupportive', 'supportive')",-1.0972682,-1.0651778,0.0320904
13,0.61010474,0.5647983,"('impolite', 'polite')",0.6101047,0.5647983,-0.0453064
14,-0.024578214,-0.06238784,"('antisocial', 'social')",-0.0245782,-0.0623878,-0.0378096
15,1.0953507,0.913984,"('boring', 'funny')",1.0953507,0.913984,-0.1813667
16,-0.68042326,-0.6901547,"('unpopular', 'popular')",-0.6804233,-0.6901547,-0.0097314
17,-0.7288263,-0.7334714,"('nasty', 'nice')",-0.7288263,-0.7334714,-0.0046451
18,-1.527383,-1.5384449,"('disagreeable', 'welcoming')",-1.527383,-1.5384449,-0.0110619
19,-0.8752125,-0.91254646,"('inhospitable', 'hospitable')",-0.8752125,-0.9125465,-0.037334
20,-0.2921959,-0.18399179,"('rough', 'thoughtful')",-0.2921959,-0.1839918,0.1082041
21,0.4959186,0.5301245,"('immoral', 'moral')",0.4959186,0.5301245,0.0342059
22,0.9440331,0.92896783,"('untrustworthy', 'trustworthy')",0.9440331,0.9289678,-0.0150653
23,3.1858814,3.1674244,"('insincere', 'sincere')",3.1858814,3.1674244,-0.018457
24,0.7118358,0.7238479,"('dishonest', 'honest')",0.7118358,0.7238479,0.0120121
25,-0.036248066,-0.11533244,"('egoistic', 'altruistic')",-0.0362481,-0.1153324,-0.0790843
26,0.54543656,0.3406067,"('hardhearted', 'benevolent')",0.5454366,0.3406067,-0.2048299
27,0.28903267,0.34729686,"('hardhearted', 'softhearted')",0.2890327,0.3472969,0.0582642
28,-0.27990586,-0.31909075,"('disloyal', 'loyal')",-0.2799059,-0.3190908,-0.0391849
29,0.061375417,-0.0009865798,"('unfair', 'fair')",0.0613754,-0.0009866,-0.062362
30,0.6406658,0.6034215,"('intolerant', 'tolerant')",0.6406658,0.6034215,-0.0372443
31,-1.424776,-1.4809197,"('evil', 'good')",-1.424776,-1.4809197,-0.0561437
32,0.9956755,0.8722314,"('unkind', 'kind')",0.9956755,0.8722314,-0.1234441
33,-0.3003203,-0.29092076,"('wrong', 'right')",-0.3003203,-0.2909208,0.0093995
34,2.7972686,2.9753652,"('mean', 'honorable')",2.7972686,2.9753652,0.1780966
35,-1.1022455,-1.2104703,"('corrupt', 'incorrupt')",-1.1022455,-1.2104703,-0.1082248
36,-0.8981365,-1.0380934,"('hostile', 'amicable')",-0.8981365,-1.0380934,-0.1399569
37,-0.04812555,-0.029695962,"('fake', 'genuine')",-0.0481256,-0.029696,0.0184296
38,0.23222452,0.20385972,"('untruthful', 'truthful')",0.2322245,0.2038597,-0.0283648
39,-0.04236634,0.03000349,"('exploitative', 'cooperative')",-0.0423663,0.0300035,0.0723698
40,-2.139253,-2.1167362,"('stingy', 'generous')",-2.1392529,-2.1167362,0.0225167
41,-0.1986522,-0.28208354,"('unforgiving', 'forgiving')",-0.1986522,-0.2820835,-0.0834313
42,-0.5524256,-0.53268963,"('unreliable', 'reliable')",-0.5524256,-0.5326896,0.019736
43,-0.013904869,0.026435472,"('irresponsible', 'responsible')",-0.0139049,0.0264355,0.0403404
44,-1.3266855,-1.2304951,"('prejudiced', 'unprejudiced')",-1.3266855,-1.2304951,0.0961904
45,0.17842388,0.13747177,"('incompetent', 'competent')",0.1784239,0.1374718,-0.0409521
46,0.47532472,0.43494612,"('uncompetitive', 'competitive')",0.4753247,0.4349461,-0.0403786
47,2.8414268,2.9004493,"('stupid', 'smart')",2.8414268,2.9004493,0.0590225
48,0.46176445,0.46108928,"('unintelligent', 'intelligent')",0.4617645,0.4610893,-0.0006752
49,-0.08745494,0.051465243,"('unable', 'able')",-0.0874549,0.0514652,0.1389201
50,-0.8755432,-0.87379384,"('clumsy', 'skillful')",-0.8755432,-0.8737938,0.0017494
51,0.5914412,0.5247622,"('uneducated', 'educated')",0.5914412,0.5247622,-0.066679
52,-0.7452912,-0.8775603,"('irrational', 'rational')",-0.7452912,-0.8775603,-0.1322691
53,-0.3646393,-0.43106946,"('uncreative', 'creative')",-0.3646393,-0.4310695,-0.0664302
54,0.25643396,0.29235047,"('incapable', 'capable')",0.256434,0.2923505,0.0359165
55,0.63024986,0.6926499,"('incompetent', 'clever')",0.6302499,0.6926499,0.0624
56,1.2577477,1.174912,"('impractical', 'practical')",1.2577477,1.174912,-0.0828357
57,-1.9948107,-2.0089648,"('unimaginative', 'imaginative')",-1.9948107,-2.0089648,-0.0141541
58,0.5237814,0.43926784,"('undiscriminating', 'discriminating')",0.5237814,0.4392678,-0.0845136
59,-0.6684784,-0.6312904,"('foolish', 'wise')",-0.6684784,-0.6312904,0.037188
60,0.794774,0.9142223,"('inefficient', 'efficient')",0.794774,0.9142223,0.1194483
61,0.77735084,0.7519159,"('illogical', 'logical')",0.7773508,0.7519159,-0.0254349
62,0.6664855,0.7804992,"('incompetent', 'brilliant')",0.6664855,0.7804992,0.1140137
63,0.63917524,0.6675356,"('unperceptive', 'insightful')",0.6391752,0.6675356,0.0283604
64,-2.6610296,-2.7654626,"('shy', 'confident')",-2.6610296,-2.7654626,-0.104433
65,0.26612794,0.29196444,"('insecure', 'secure')",0.2661279,0.2919644,0.0258365
