,ca_male,ca_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,female-male
0,0.2738099,0.14338519,"('unsociable', 'sociable')",-0.5855553,-0.7333162,-0.4191262,-0.53367734,-0.2436239,-0.3745361,-0.1309122
1,-0.50916475,-0.558851,"('unfriendly', 'friendly')",-0.109037526,-0.27187812,1.4896406,1.3905113,0.2904794,0.186594,-0.1038854
2,1.3752671,1.4154382,"('unlikable', 'likable')",0.4863909,0.5223961,0.5469128,0.6047687,0.8028569,0.8475343,0.0446774
3,0.7433938,0.9253117,"('repellent', 'pleasant')",0.038746566,0.21971613,0.14001939,0.18927483,0.3073866,0.4447676,0.137381
4,-1.1523165,-1.1896774,"('disliked', 'liked')",-0.2325422,-0.34076098,-6.151541,-6.1666346,-2.5121333,-2.565691,-0.0535577
5,-1.5411254,-1.5943104,"('distant', 'outgoing')",-0.34688863,-0.36226907,-0.26286462,-0.2326696,-0.7169596,-0.7297497,-0.0127901
6,-1.3997097,-1.4035866,"('distant', 'open')",-0.64496434,-0.67014617,0.4516434,0.44786513,-0.5310102,-0.5419559,-0.0109457
7,0.59589595,0.661903,"('insensitive', 'sensitive')",0.08599177,0.19293325,0.5210701,0.586788,0.400986,0.4805414,0.0795554
8,-0.41392353,-0.47746038,"('unaffectionate', 'affectionate')",-0.20910062,-0.2678408,0.5643193,0.53101194,-0.0195683,-0.0714297,-0.0518614
9,0.57620853,0.541119,"('unaffectionate', 'caring')",0.14721093,0.08774717,1.0778004,1.0903764,0.6004066,0.5730809,-0.0273257
10,0.0030483454,0.04720567,"('unsympathetic', 'sympathetic')",-0.8146091,-0.7548893,-0.3423088,-0.35179192,-0.3846232,-0.3531585,0.0314647
11,0.84317005,0.9052411,"('unhelpful', 'helpful')",1.0359304,1.1123672,1.8711276,1.8838116,1.250076,1.3004732,0.0503972
12,1.329813,1.4241139,"('unsupportive', 'supportive')",0.38997683,0.50797653,-1.9658059,-1.8807524,-0.0820053,0.0171127,0.099118
13,0.65176964,0.5951494,"('impolite', 'polite')",-0.3077617,-0.27229616,-0.19233114,-0.21751148,0.0505589,0.0351139,-0.015445
