,canteen_male,canteen_female,tuple,average_male,average_female,female-male
0,0.38058594,0.25487864,"('unsociable', 'sociable')",0.3805859,0.2548786,-0.1257073
1,1.1655705,1.2309551,"('unfriendly', 'friendly')",1.1655705,1.2309551,0.0653846
2,0.025099125,0.15035005,"('unlikable', 'likable')",0.0250991,0.15035,0.1252509
3,0.6173439,0.7959916,"('repellent', 'pleasant')",0.6173439,0.7959916,0.1786477
4,-7.494185,-7.555979,"('disliked', 'liked')",-7.494185,-7.5559788,-0.0617938
5,-0.69355965,-0.58579254,"('distant', 'outgoing')",-0.6935596,-0.5857925,0.1077671
6,-0.21528336,-0.1879877,"('distant', 'open')",-0.2152834,-0.1879877,0.0272957
7,1.3573872,1.3297627,"('insensitive', 'sensitive')",1.3573872,1.3297627,-0.0276245
8,1.0562172,1.082963,"('unaffectionate', 'affectionate')",1.0562172,1.082963,0.0267458
9,1.4823978,1.5286922,"('unaffectionate', 'caring')",1.4823978,1.5286922,0.0462944
10,0.97271043,1.0112064,"('unsympathetic', 'sympathetic')",0.9727104,1.0112064,0.038496
11,1.6660812,1.7689557,"('unhelpful', 'helpful')",1.6660812,1.7689557,0.1028745
12,-1.5190783,-1.4957249,"('unsupportive', 'supportive')",-1.5190783,-1.4957249,0.0233534
13,-0.011445262,0.09435965,"('impolite', 'polite')",-0.0114453,0.0943597,0.105805
14,0.34768188,0.25548413,"('antisocial', 'social')",0.3476819,0.2554841,-0.0921978
15,0.55106056,0.4841533,"('boring', 'funny')",0.5510606,0.4841533,-0.0669073
16,-0.68134046,-0.6281434,"('unpopular', 'popular')",-0.6813405,-0.6281434,0.0531971
17,-0.15170383,-0.05259488,"('nasty', 'nice')",-0.1517038,-0.0525949,0.0991089
18,-0.93889,-0.82292366,"('disagreeable', 'welcoming')",-0.93889,-0.8229237,0.1159663
19,-0.59543866,-0.57768774,"('inhospitable', 'hospitable')",-0.5954387,-0.5776877,0.017751
20,0.76628065,0.6713072,"('rough', 'thoughtful')",0.7662807,0.6713072,-0.0949735
21,-0.19957682,-0.07192377,"('immoral', 'moral')",-0.1995768,-0.0719238,0.127653
22,-0.51625395,-0.5271215,"('untrustworthy', 'trustworthy')",-0.5162539,-0.5271215,-0.0108676
23,6.412203,6.548116,"('insincere', 'sincere')",6.4122028,6.5481162,0.1359134
24,1.5164046,1.4719673,"('dishonest', 'honest')",1.5164046,1.4719673,-0.0444373
25,0.6556215,0.7211289,"('egoistic', 'altruistic')",0.6556215,0.7211289,0.0655074
26,1.9002812,1.6780261,"('hardhearted', 'benevolent')",1.9002812,1.6780261,-0.2222551
27,1.7902924,1.6229149,"('hardhearted', 'softhearted')",1.7902924,1.6229149,-0.1673775
28,1.3992196,1.2624533,"('disloyal', 'loyal')",1.3992196,1.2624533,-0.1367663
29,-0.37309545,-0.51889056,"('unfair', 'fair')",-0.3730955,-0.5188906,-0.1457951
30,0.87311924,0.95889264,"('intolerant', 'tolerant')",0.8731192,0.9588926,0.0857734
31,-1.449961,-1.3706815,"('evil', 'good')",-1.4499609,-1.3706815,0.0792794
32,1.2571578,1.1483803,"('unkind', 'kind')",1.2571578,1.1483803,-0.1087775
33,-0.4203092,-0.5327948,"('wrong', 'right')",-0.4203092,-0.5327948,-0.1124856
34,4.284826,4.5041876,"('mean', 'honorable')",4.2848258,4.5041876,0.2193618
35,-0.8406786,-1.1186169,"('corrupt', 'incorrupt')",-0.8406786,-1.1186169,-0.2779383
36,-0.94375044,-1.0634944,"('hostile', 'amicable')",-0.9437504,-1.0634944,-0.119744
37,0.7674948,0.83054256,"('fake', 'genuine')",0.7674948,0.8305426,0.0630478
38,-0.48799956,-0.36686838,"('untruthful', 'truthful')",-0.4879996,-0.3668684,0.1211312
39,0.60426116,0.63375515,"('exploitative', 'cooperative')",0.6042612,0.6337551,0.0294939
40,-1.3860811,-1.4744806,"('stingy', 'generous')",-1.3860811,-1.4744806,-0.0883995
41,0.3837601,0.2908343,"('unforgiving', 'forgiving')",0.3837601,0.2908343,-0.0929258
42,-2.3621168,-2.3293633,"('unreliable', 'reliable')",-2.3621168,-2.3293633,0.0327535
43,1.1115417,1.1813829,"('irresponsible', 'responsible')",1.1115417,1.1813829,0.0698412
44,-1.1052899,-1.085859,"('prejudiced', 'unprejudiced')",-1.1052899,-1.0858589,0.019431
45,0.7914338,0.5878351,"('incompetent', 'competent')",0.7914338,0.5878351,-0.2035987
46,-0.4844097,-0.57721305,"('uncompetitive', 'competitive')",-0.4844097,-0.577213,-0.0928033
47,5.011842,5.123042,"('stupid', 'smart')",5.0118418,5.1230421,0.1112003
48,0.5004741,0.50885326,"('unintelligent', 'intelligent')",0.5004741,0.5088533,0.0083792
49,-0.34409142,-0.20294318,"('unable', 'able')",-0.3440914,-0.2029432,0.1411482
50,-0.80010486,-0.70901823,"('clumsy', 'skillful')",-0.8001049,-0.7090182,0.0910867
51,0.33688062,0.2919365,"('uneducated', 'educated')",0.3368806,0.2919365,-0.0449441
52,-0.13761026,-0.21897814,"('irrational', 'rational')",-0.1376103,-0.2189781,-0.0813678
53,0.23441076,0.19507727,"('uncreative', 'creative')",0.2344108,0.1950773,-0.0393335
