,conocophillips_male,conocophillips_female,tuple,average_male,average_female,female-male
0,-1.1556654,-1.1278425,"('unsociable', 'sociable')",-1.1556654,-1.1278425,0.0278229
1,0.6382906,0.36157748,"('unfriendly', 'friendly')",0.6382906,0.3615775,-0.2767131
2,0.65693116,0.6922126,"('unlikable', 'likable')",0.6569312,0.6922126,0.0352814
3,-0.7427604,-0.63934803,"('repellent', 'pleasant')",-0.7427604,-0.639348,0.1034124
4,-0.66728044,-0.59850836,"('disliked', 'liked')",-0.6672804,-0.5985084,0.068772
5,1.2591763,1.1417063,"('distant', 'outgoing')",1.2591763,1.1417063,-0.11747
6,1.1441063,0.9993954,"('distant', 'open')",1.1441063,0.9993954,-0.1447109
7,-1.0915719,-1.0112025,"('insensitive', 'sensitive')",-1.0915719,-1.0112025,0.0803694
8,-0.44350094,-0.6601797,"('unaffectionate', 'affectionate')",-0.4435009,-0.6601797,-0.2166788
9,-0.39344457,-0.59405565,"('unaffectionate', 'caring')",-0.3934446,-0.5940557,-0.2006111
10,-2.5720873,-2.5038764,"('unsympathetic', 'sympathetic')",-2.5720873,-2.5038764,0.0682109
11,-1.4747077,-1.4709426,"('unhelpful', 'helpful')",-1.4747077,-1.4709426,0.0037651
12,-1.3529115,-1.3202267,"('unsupportive', 'supportive')",-1.3529115,-1.3202267,0.0326848
13,-1.6624728,-1.5183918,"('impolite', 'polite')",-1.6624728,-1.5183918,0.144081
14,-0.779985,-0.7085626,"('antisocial', 'social')",-0.779985,-0.7085626,0.0714224
15,0.36980015,0.25720075,"('boring', 'funny')",0.3698002,0.2572007,-0.1125995
16,0.091524415,0.047242396,"('unpopular', 'popular')",0.0915244,0.0472424,-0.044282
17,0.16902031,0.24176489,"('nasty', 'nice')",0.1690203,0.2417649,0.0727446
18,-0.5677882,-0.6147623,"('disagreeable', 'welcoming')",-0.5677882,-0.6147623,-0.0469741
19,-0.4944071,-0.4976283,"('inhospitable', 'hospitable')",-0.4944071,-0.4976283,-0.0032212
20,-0.6294411,-0.6366042,"('rough', 'thoughtful')",-0.6294411,-0.6366042,-0.0071631
21,-1.3484478,-1.2584054,"('immoral', 'moral')",-1.3484478,-1.2584054,0.0900424
22,-0.51133895,-0.5127349,"('untrustworthy', 'trustworthy')",-0.5113389,-0.5127349,-0.001396
23,0.20397584,0.11351374,"('insincere', 'sincere')",0.2039758,0.1135137,-0.0904621
24,-0.3518074,-0.44559965,"('dishonest', 'honest')",-0.3518074,-0.4455996,-0.0937922
25,0.3838996,0.23423922,"('egoistic', 'altruistic')",0.3838996,0.2342392,-0.1496604
26,0.37877208,0.2076487,"('hardhearted', 'benevolent')",0.3787721,0.2076487,-0.1711234
27,0.123171516,0.028815882,"('hardhearted', 'softhearted')",0.1231715,0.0288159,-0.0943556
28,-0.54616684,-0.70639586,"('disloyal', 'loyal')",-0.5461668,-0.7063959,-0.1602291
29,-0.10534872,-0.1590068,"('unfair', 'fair')",-0.1053487,-0.1590068,-0.0536581
30,-1.2745643,-1.1909624,"('intolerant', 'tolerant')",-1.2745643,-1.1909624,0.0836019
31,0.5989928,0.55834436,"('evil', 'good')",0.5989928,0.5583444,-0.0406484
32,0.21708462,0.14710869,"('unkind', 'kind')",0.2170846,0.1471087,-0.0699759
33,0.98272467,0.86705774,"('wrong', 'right')",0.9827247,0.8670577,-0.115667
34,0.4442455,0.49968928,"('mean', 'honorable')",0.4442455,0.4996893,0.0554438
35,1.4760593,1.2797753,"('corrupt', 'incorrupt')",1.4760593,1.2797753,-0.196284
36,0.8675283,0.71590227,"('hostile', 'amicable')",0.8675283,0.7159023,-0.151626
37,-0.18433474,-0.16854864,"('fake', 'genuine')",-0.1843347,-0.1685486,0.0157861
38,-0.45246115,-0.4917543,"('untruthful', 'truthful')",-0.4524612,-0.4917543,-0.0392931
39,0.37580338,0.41989502,"('exploitative', 'cooperative')",0.3758034,0.419895,0.0440916
40,0.012195677,-0.04330738,"('stingy', 'generous')",0.0121957,-0.0433074,-0.0555031
41,-0.42550206,-0.44046795,"('unforgiving', 'forgiving')",-0.4255021,-0.440468,-0.0149659
42,-0.5051129,-0.37697634,"('unreliable', 'reliable')",-0.5051129,-0.3769763,0.1281366
43,-1.3252337,-1.2954572,"('irresponsible', 'responsible')",-1.3252337,-1.2954572,0.0297765
44,0.3575361,0.44215402,"('prejudiced', 'unprejudiced')",0.3575361,0.442154,0.0846179
45,-1.6250615,-1.5392698,"('incompetent', 'competent')",-1.6250615,-1.5392698,0.0857917
46,-2.0168736,-1.8690552,"('uncompetitive', 'competitive')",-2.0168736,-1.8690552,0.1478184
47,0.71531874,0.7483237,"('stupid', 'smart')",0.7153187,0.7483237,0.033005
48,-1.3606758,-1.3683031,"('unintelligent', 'intelligent')",-1.3606758,-1.3683031,-0.0076273
49,-0.43779477,-0.34177792,"('unable', 'able')",-0.4377948,-0.3417779,0.0960169
