,pactiv_male,pactiv_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.2013149,0.07647466,"('unsociable', 'sociable')",0.002637513,-0.17706814,0.1019762,-0.0502967,-0.1522729
1,-1.3951634,-1.3630295,"('unfriendly', 'friendly')",1.1986098,1.0136355,-0.0982768,-0.174697,-0.0764202
2,0.7333488,0.77005243,"('unlikable', 'likable')",0.35286307,0.32656896,0.543106,0.5483107,0.0052047
3,-0.24258885,-0.118369795,"('repellent', 'pleasant')",0.5472527,0.6323445,0.1523319,0.2569873,0.1046554
4,-0.61071783,-0.5608955,"('disliked', 'liked')",-6.3840623,-6.3930445,-3.49739,-3.47697,0.02042
5,-1.3659395,-1.3185334,"('distant', 'outgoing')",-0.48818934,-0.57601523,-0.9270644,-0.9472743,-0.0202099
6,-1.9063406,-1.8054607,"('distant', 'open')",-0.81380934,-0.9008558,-1.360075,-1.3531582,0.0069168
7,0.2849748,0.3660335,"('insensitive', 'sensitive')",0.2003035,0.20035592,0.2426392,0.2831947,0.0405555
8,-1.452618,-1.4314506,"('unaffectionate', 'affectionate')",0.26334307,0.19678837,-0.5946375,-0.6173311,-0.0226936
9,-0.8009602,-0.76373625,"('unaffectionate', 'caring')",0.92311805,0.8919878,0.0610789,0.0641258,0.0030469
10,-0.24944784,-0.28740472,"('unsympathetic', 'sympathetic')",-0.6396618,-0.6996444,-0.4445548,-0.4935246,-0.0489698
11,0.6571198,0.6205558,"('unhelpful', 'helpful')",1.7478868,1.7563024,1.2025033,1.1884291,-0.0140742
12,-0.18848638,-0.13018095,"('unsupportive', 'supportive')",-2.1085663,-2.14753,-1.1485263,-1.1388555,0.0096708
13,0.024768174,-0.11557378,"('impolite', 'polite')",-0.57721806,-0.5838648,-0.2762249,-0.3497193,-0.0734944
14,1.5154632,1.4562109,"('antisocial', 'social')",0.21338136,0.15277353,0.8644223,0.8044922,-0.0599301
15,0.19941577,0.12177908,"('boring', 'funny')",0.14979352,0.14118011,0.1746047,0.1314796,-0.0431251
16,-0.9464264,-0.84679025,"('unpopular', 'popular')",0.58455735,0.53007436,-0.1809345,-0.1583579,0.0225766
17,-0.45950288,-0.37373447,"('nasty', 'nice')",-0.4270887,-0.39496127,-0.4432958,-0.3843479,0.0589479
18,-0.40202916,-0.3797826,"('disagreeable', 'welcoming')",-0.41930154,-0.54512376,-0.4106653,-0.4624532,-0.0517879
19,-1.159748,-1.1288396,"('inhospitable', 'hospitable')",-0.55205595,-0.59181994,-0.855902,-0.8603297,-0.0044277
20,0.93792,0.8877525,"('rough', 'thoughtful')",0.7905831,0.7319663,0.8642515,0.8098594,-0.0543921
21,1.4826266,1.3771386,"('immoral', 'moral')",-0.13702247,-0.12461729,0.672802,0.6262606,-0.0465414
22,0.5918412,0.55886096,"('untrustworthy', 'trustworthy')",-1.1797993,-1.1760014,-0.293979,-0.3085702,-0.0145912
23,0.6437377,0.61939824,"('insincere', 'sincere')",5.8718634,5.795113,3.2578006,3.2072556,-0.050545
24,0.21208097,0.17226005,"('dishonest', 'honest')",0.54054767,0.53473985,0.3763143,0.3534999,-0.0228144
25,-0.76181257,-0.7192445,"('egoistic', 'altruistic')",0.8611082,0.79090565,0.0496478,0.0358306,-0.0138172
26,-0.03908229,-0.101254396,"('hardhearted', 'benevolent')",1.1947335,1.1157551,0.5778256,0.5072504,-0.0705752
27,-0.7514034,-0.6983534,"('hardhearted', 'softhearted')",0.6944458,0.6190005,-0.0284788,-0.0396765,-0.0111977
28,0.57409394,0.55770314,"('disloyal', 'loyal')",1.2381562,1.1937234,0.9061251,0.8757133,-0.0304118
29,0.7231182,0.7543528,"('unfair', 'fair')",-0.23172832,-0.34353682,0.2456949,0.205408,-0.0402869
30,1.3447204,1.2760915,"('intolerant', 'tolerant')",1.262304,1.2109914,1.3035121,1.2435415,-0.0599706
31,-1.6178399,-1.5222486,"('evil', 'good')",-0.83166707,-0.9364949,-1.2247535,-1.2293718,-0.0046183
32,0.53356194,0.45936924,"('unkind', 'kind')",0.7568915,0.60498554,0.6452267,0.5321774,-0.1130493
33,-0.123850964,-0.14224331,"('wrong', 'right')",-0.7973462,-0.83067006,-0.4605986,-0.4864567,-0.0258581
34,0.07694508,0.15771505,"('mean', 'honorable')",5.8641906,5.914968,2.9705679,3.0363414,0.0657735
35,-0.6410216,-0.61794585,"('corrupt', 'incorrupt')",-0.52514625,-0.5247602,-0.5830839,-0.571353,0.0117309
36,-1.1078826,-1.0222439,"('hostile', 'amicable')",-0.04873871,-0.11335944,-0.5783107,-0.5678017,0.010509
37,0.06123098,0.08184208,"('fake', 'genuine')",-0.22976992,-0.19742657,-0.0842695,-0.0577922,0.0264773
38,-0.22321376,-0.20324151,"('untruthful', 'truthful')",0.18732516,0.2338675,-0.0179443,0.015313,0.0332573
39,1.720619,1.6850722,"('exploitative', 'cooperative')",-0.26478672,-0.18331988,0.7279161,0.7508761,0.02296
40,-0.07621698,0.04573208,"('stingy', 'generous')",-1.823956,-1.8808302,-0.9500865,-0.917549,0.0325375
41,0.38758177,0.36775848,"('unforgiving', 'forgiving')",0.057641484,-0.072973624,0.2226116,0.1473924,-0.0752192
42,0.8737747,0.91419256,"('unreliable', 'reliable')",-3.466246,-3.4934967,-1.2962356,-1.2896521,0.0065835
43,0.29182512,0.27019712,"('irresponsible', 'responsible')",0.1828486,0.0922937,0.2373369,0.1812454,-0.0560915
44,-0.0064122155,-0.041798458,"('prejudiced', 'unprejudiced')",-1.756549,-1.790598,-0.8814806,-0.9161983,-0.0347177
45,0.19437724,0.2277949,"('incompetent', 'competent')",0.17960039,0.08901518,0.1869888,0.158405,-0.0285838
46,-0.21123932,-0.22131872,"('uncompetitive', 'competitive')",-0.87312865,-0.8264151,-0.542184,-0.5238669,0.0183171
47,0.12718457,0.16838026,"('stupid', 'smart')",5.2699366,5.347224,2.6985605,2.7578022,0.0592417
