,affiliated_male,affiliated_female,tuple,managers_male,managers_female,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,0.810167,0.6192453,"('unsociable', 'sociable')",-0.00796796,-0.11359392,0.639695,0.5389466,-0.5714497,-0.6894904,0.2176111,0.0887769,-0.1288342
1,-0.43876725,-0.4586665,"('unfriendly', 'friendly')",0.47676137,0.52036434,0.26847,0.25551814,2.0749407,2.0201201,0.5953512,0.584334,-0.0110172
2,1.0515796,1.1489064,"('unlikable', 'likable')",1.7173078,1.8923669,1.5965799,1.6602184,0.91535676,1.0176389,1.320206,1.4297826,0.1095766
3,-0.30325225,-0.24620217,"('repellent', 'pleasant')",0.08145112,0.17582652,0.9091563,0.97226924,-0.012352342,0.04893563,0.1687507,0.2377073,0.0689566
4,-0.6506673,-0.68957406,"('disliked', 'liked')",-0.38905302,-0.43371046,-0.3742853,-0.4702467,-6.292193,-6.3566127,-1.9265497,-1.987536,-0.0609863
5,-0.5873342,-0.49552146,"('distant', 'outgoing')",0.6733923,0.7143622,-1.0736446,-1.1258619,-0.030474465,-0.03860364,-0.2545153,-0.2364062,0.0181091
6,-0.35501325,-0.24523771,"('distant', 'open')",0.19971693,0.29856953,-1.2138661,-1.2475486,0.7440549,0.6955718,-0.1562769,-0.1246612,0.0316157
7,1.89776,1.8300738,"('insensitive', 'sensitive')",0.5874711,0.5864395,0.13454638,0.1536419,0.779394,0.8153771,0.8497928,0.8463831,-0.0034097
8,-1.3235757,-1.3054928,"('unaffectionate', 'affectionate')",0.03708281,0.05285514,0.26697138,0.29258326,1.0199413,0.9944453,0.0001049,0.0085977,0.0084928
9,0.18380624,0.19375615,"('unaffectionate', 'caring')",0.9911693,1.0018919,0.44488686,0.43371573,1.5325234,1.5622311,0.7880964,0.7978987,0.0098023
10,1.3056353,1.2498994,"('unsympathetic', 'sympathetic')",0.5017269,0.57621217,0.23369606,0.29505795,-0.22564708,-0.18830153,0.4538528,0.483217,0.0293642
11,1.4561435,1.4618329,"('unhelpful', 'helpful')",0.887023,0.90211,0.23511472,0.28721657,1.8200389,1.8828733,1.09958,1.1335082,0.0339282
12,2.0383027,2.1856723,"('unsupportive', 'supportive')",2.015516,2.2155175,1.2438976,1.3920076,-1.4148833,-1.3724174,0.9707083,1.105195,0.1344867
13,1.0146602,0.9625643,"('impolite', 'polite')",0.78413844,0.807059,0.33407003,0.32613516,-0.8222878,-0.83751255,0.3276452,0.3145615,-0.0130837
14,1.3774639,1.3043171,"('antisocial', 'social')",0.9322688,0.9369594,1.5842988,1.5620178,-0.8158334,-0.8319109,0.7695495,0.7428458,-0.0267037
15,0.36385313,0.33633366,"('boring', 'funny')",0.012690721,-0.058993384,-0.69296354,-0.7641914,0.6295295,0.58505785,0.0782774,0.0245517,-0.0537257
16,-1.7545781,-1.7983989,"('unpopular', 'popular')",-1.3101687,-1.3177732,-0.36534855,-0.37549832,0.26942125,0.27953497,-0.7901685,-0.8030338,-0.0128653
17,-0.35500976,-0.26455325,"('nasty', 'nice')",-0.64701897,-0.53975075,-0.57607657,-0.579829,-0.3012602,-0.25737795,-0.4698414,-0.4103777,0.0594637
18,-0.95258325,-0.85834163,"('disagreeable', 'welcoming')",0.17690663,0.30428958,0.1632252,0.22974014,-0.36278898,-0.3980627,-0.2438101,-0.1805937,0.0632164
19,0.15146455,0.19400562,"('inhospitable', 'hospitable')",0.28790563,0.3121852,-1.2945857,-1.3080858,0.0071133766,0.044304032,-0.2120255,-0.1893977,0.0226278
20,0.5823423,0.6115936,"('rough', 'thoughtful')",-0.25720835,-0.14093213,0.91600114,0.8805231,1.1278089,1.0986115,0.592236,0.612449,0.020213
21,1.1825085,1.1161655,"('immoral', 'moral')",1.1104903,1.1479641,0.30176595,0.3461835,-0.8524567,-0.7870761,0.435577,0.4558093,0.0202323
22,0.734817,0.6965647,"('untrustworthy', 'trustworthy')",0.36554962,0.4225255,1.3058904,1.2822348,-0.9587991,-0.9708204,0.3618645,0.3576261,-0.0042384
23,1.41522,1.3835464,"('insincere', 'sincere')",0.59679484,0.6010826,0.31584567,0.3541831,5.8340697,5.802227,2.0404825,2.0352597,-0.0052228
24,2.0303984,2.0332127,"('dishonest', 'honest')",-0.25597924,-0.28168398,0.07285029,0.10135231,0.78808135,0.7350908,0.6588377,0.646993,-0.0118447
25,-1.3339939,-1.3589793,"('egoistic', 'altruistic')",-0.052168034,-0.0012732185,-0.26394138,-0.28767672,1.6338805,1.5656639,-0.0040557,-0.0205663,-0.0165106
26,0.87257266,0.7847647,"('hardhearted', 'benevolent')",1.5287669,1.5703855,1.7996249,1.8109328,2.0208616,1.9978902,1.5554565,1.5409932,-0.0144633
27,-0.113188,0.02586395,"('hardhearted', 'softhearted')",-0.26333603,-0.13815859,-0.16996892,-0.19645551,1.481897,1.3557578,0.233851,0.2617519,0.0279009
28,0.63216895,0.4588706,"('disloyal', 'loyal')",-0.85920066,-0.96095634,-0.37486959,-0.4129824,0.9706497,0.89518106,0.0921871,-0.0049718,-0.0971589
29,-0.108575895,-0.14155523,"('unfair', 'fair')",-1.1732823,-1.1959673,-0.7046703,-0.7833204,-0.5666262,-0.730199,-0.6382887,-0.7127604,-0.0744717
30,0.90617293,0.98284304,"('intolerant', 'tolerant')",1.7451082,1.7609278,0.09996306,0.07357895,0.9546655,0.89976156,0.9264774,0.9292778,0.0028004
31,-2.747253,-2.719717,"('evil', 'good')",-0.28645837,-0.22789979,-0.6113206,-0.61111546,-0.61509085,-0.6421295,-1.0650307,-1.0502155,0.0148152
32,0.9259555,0.87577575,"('unkind', 'kind')",0.22289273,0.22012885,1.2795737,1.2336463,1.1777796,1.1128855,0.9015504,0.8606091,-0.0409413
33,0.73623097,0.7746875,"('wrong', 'right')",1.2008965,1.2151991,-0.124019854,-0.16667274,-0.088830575,-0.15626581,0.4310693,0.416737,-0.0143323
