,total_male,total_female,tuple,system_male,system_female,services_male,services_female,inc_male,inc_female,average_male,average_female,female-male
0,0.17243807,0.13426244,"('unsociable', 'sociable')",-0.27671808,-0.44341928,0.82785606,0.6910714,-0.32509547,-0.48249286,0.0996201,-0.0251446,-0.1247647
1,-0.20918098,-0.48614064,"('unfriendly', 'friendly')",0.45706946,0.3072376,0.066498,-0.15113638,1.9471723,1.8593675,0.5653897,0.382332,-0.1830577
2,0.6585043,0.7027315,"('unlikable', 'likable')",1.4055988,1.4494188,1.589911,1.6792921,0.5769805,0.6781864,1.0577487,1.1274072,0.0696585
3,-0.27966273,-0.13527788,"('repellent', 'pleasant')",-0.416593,-0.3034725,0.50870836,0.7049543,0.25233236,0.3036347,0.0161963,0.1424597,0.1262634
4,-0.960075,-1.2198198,"('disliked', 'liked')",-0.3206183,-0.46736842,-0.28125146,-0.39523423,-6.1444,-6.26291,-1.9265862,-2.086333,-0.1597468
5,-1.1965235,-1.3951362,"('distant', 'outgoing')",0.026939526,-0.069331095,-0.7798078,-0.79538906,0.031319283,0.048293713,-0.4795181,-0.5528906,-0.0733725
6,-1.3890955,-1.643058,"('distant', 'open')",0.010204822,-0.101655155,-1.3521535,-1.344653,0.8230123,0.8209066,-0.477008,-0.5671148,-0.0901068
7,0.5642995,0.55127376,"('insensitive', 'sensitive')",0.23068662,0.30554286,0.595321,0.6834996,0.5740481,0.5687246,0.4910888,0.5272602,0.0361714
8,-1.230356,-1.3678377,"('unaffectionate', 'affectionate')",-0.38462684,-0.43038478,-0.619748,-0.62437886,1.0258961,0.99748284,-0.3022087,-0.3562796,-0.0540709
9,-0.41599366,-0.55914617,"('unaffectionate', 'caring')",-0.39206263,-0.45535013,0.18145397,0.17264569,1.2962245,1.2810194,0.1674055,0.1097922,-0.0576133
10,-0.4992196,-0.46665883,"('unsympathetic', 'sympathetic')",-1.1069664,-1.111488,0.1793524,0.3596155,-0.3742786,-0.40989298,-0.450278,-0.4071061,0.0431719
11,0.007921484,0.11739828,"('unhelpful', 'helpful')",0.030898519,0.05970563,1.6852769,1.7933843,1.6686239,1.6810919,0.8481802,0.912895,0.0647148
12,1.1701844,1.1853821,"('unsupportive', 'supportive')",0.28500783,0.39740685,0.95938116,1.2026044,-2.1119976,-2.1042125,0.075644,0.1702952,0.0946512
13,0.53512716,0.6366174,"('impolite', 'polite')",-0.33960578,-0.23903255,0.6089734,0.7343959,-0.5886402,-0.6067201,0.0539636,0.1313152,0.0773516
14,1.2081826,1.2949004,"('antisocial', 'social')",0.57891226,0.62504554,1.5037707,1.500012,-0.5388379,-0.6006173,0.6880069,0.7048352,0.0168283
15,0.49339688,0.32988086,"('boring', 'funny')",0.9232317,0.8016449,0.2895968,0.049345817,0.841413,0.7272552,0.6369096,0.4770317,-0.1598779
16,-2.3009992,-2.4716706,"('unpopular', 'popular')",-0.58397555,-0.67843765,-0.20143025,-0.2261073,0.80665624,0.83870775,-0.5699372,-0.634377,-0.0644398
