,partridge_male,partridge_female,tuple,average_male,average_female,female-male
0,0.27856123,0.23141722,"('unsociable', 'sociable')",0.2785612,0.2314172,-0.047144
1,0.89103144,0.85363686,"('unfriendly', 'friendly')",0.8910314,0.8536369,-0.0373945
2,0.39567608,0.5265227,"('unlikable', 'likable')",0.3956761,0.5265227,0.1308466
3,1.0308459,1.0736703,"('repellent', 'pleasant')",1.0308459,1.0736703,0.0428244
4,-7.233176,-7.1859536,"('disliked', 'liked')",-7.2331762,-7.1859536,0.0472226
5,-0.678336,-0.65702856,"('distant', 'outgoing')",-0.678336,-0.6570286,0.0213074
6,-0.17107508,-0.21512131,"('distant', 'open')",-0.1710751,-0.2151213,-0.0440462
7,1.416407,1.3788993,"('insensitive', 'sensitive')",1.416407,1.3788993,-0.0375077
8,0.9837918,0.88373184,"('unaffectionate', 'affectionate')",0.9837918,0.8837318,-0.10006
9,1.1018876,1.1235996,"('unaffectionate', 'caring')",1.1018876,1.1235996,0.021712
10,1.9538382,1.7994287,"('unsympathetic', 'sympathetic')",1.9538382,1.7994287,-0.1544095
11,1.9073923,1.9283832,"('unhelpful', 'helpful')",1.9073923,1.9283832,0.0209909
12,-1.1715728,-1.1174518,"('unsupportive', 'supportive')",-1.1715728,-1.1174518,0.054121
13,0.10196027,0.13380942,"('impolite', 'polite')",0.1019603,0.1338094,0.0318491
14,0.32714194,0.3272069,"('antisocial', 'social')",0.3271419,0.3272069,6.5e-05
15,0.12537919,0.13288535,"('boring', 'funny')",0.1253792,0.1328854,0.0075062
16,-0.83273745,-0.72363025,"('unpopular', 'popular')",-0.8327374,-0.7236302,0.1091072
17,0.26518464,0.17582409,"('nasty', 'nice')",0.2651846,0.1758241,-0.0893605
18,-0.5133494,-0.52252626,"('disagreeable', 'welcoming')",-0.5133494,-0.5225263,-0.0091769
19,-0.43473965,-0.5254168,"('inhospitable', 'hospitable')",-0.4347396,-0.5254168,-0.0906772
20,0.87341064,0.68841803,"('rough', 'thoughtful')",0.8734106,0.688418,-0.1849926
21,0.25740638,0.377093,"('immoral', 'moral')",0.2574064,0.377093,0.1196866
