,cholesterol_male,cholesterol_female,tuple,average_male,average_female,female-male
0,-0.25927392,-0.3647508,"('unsociable', 'sociable')",-0.2592739,-0.3647508,-0.1054769
1,-0.042003274,-0.16799915,"('unfriendly', 'friendly')",-0.0420033,-0.1679991,-0.1259958
2,0.81481904,0.782452,"('unlikable', 'likable')",0.814819,0.782452,-0.032367
3,-1.4130282,-1.339151,"('repellent', 'pleasant')",-1.4130282,-1.339151,0.0738772
4,-0.9634425,-0.95997274,"('disliked', 'liked')",-0.9634425,-0.9599727,0.0034698
5,0.9044982,0.9528653,"('distant', 'outgoing')",0.9044982,0.9528653,0.0483671
6,0.36038563,0.38117626,"('distant', 'open')",0.3603856,0.3811763,0.0207907
7,-1.1864698,-1.2069507,"('insensitive', 'sensitive')",-1.1864698,-1.2069507,-0.0204809
8,0.44066668,0.35293797,"('unaffectionate', 'affectionate')",0.4406667,0.352938,-0.0877287
9,-0.15836287,-0.20309626,"('unaffectionate', 'caring')",-0.1583629,-0.2030963,-0.0447334
10,-1.4847113,-1.4807928,"('unsympathetic', 'sympathetic')",-1.4847113,-1.4807928,0.0039185
11,-0.26236737,-0.26761732,"('unhelpful', 'helpful')",-0.2623674,-0.2676173,-0.0052499
12,-0.5993414,-0.50163764,"('unsupportive', 'supportive')",-0.5993414,-0.5016376,0.0977038
13,-0.71063375,-0.74011016,"('impolite', 'polite')",-0.7106338,-0.7401102,-0.0294764
14,-0.44990656,-0.45492598,"('antisocial', 'social')",-0.4499066,-0.454926,-0.0050194
15,0.36538535,0.250034,"('boring', 'funny')",0.3653854,0.250034,-0.1153514
16,0.17990753,0.12430623,"('unpopular', 'popular')",0.1799075,0.1243062,-0.0556013
17,-0.19495295,-0.14117545,"('nasty', 'nice')",-0.1949529,-0.1411754,0.0537775
18,-0.11076004,-0.109429166,"('disagreeable', 'welcoming')",-0.11076,-0.1094292,0.0013308
19,-0.6521318,-0.6186401,"('inhospitable', 'hospitable')",-0.6521318,-0.6186401,0.0334917
