,discover_male,discover_female,tuple,financial_male,financial_female,services_male,services_female,average_male,average_female,female-male
0,0.10970197,0.031344146,"('unsociable', 'sociable')",-0.28323227,-0.3303345,0.36856735,0.2922919,0.0650123,-0.0022328,-0.0672451
1,-0.5724591,-0.54935217,"('unfriendly', 'friendly')",1.1772178,1.0602889,-0.5763685,-0.7800583,0.0094634,-0.0897072,-0.0991706
2,0.64143145,0.7154497,"('unlikable', 'likable')",2.1076694,2.1556408,1.4231063,1.4348603,1.3907356,1.4353169,0.0445813
3,-0.076182604,0.010240428,"('repellent', 'pleasant')",-0.75957537,-0.71613044,0.7592291,0.9062027,-0.0255096,0.0667709,0.0922805
4,-0.90221685,-0.87214684,"('disliked', 'liked')",0.18944672,0.17717971,-3.4738667,-3.4409206,-1.3955456,-1.3786292,0.0169164
5,-0.39150572,-0.39746988,"('distant', 'outgoing')",1.076544,1.0687466,-0.86374396,-0.89833045,-0.0595685,-0.0756846,-0.0161161
6,-0.5375036,-0.54253006,"('distant', 'open')",0.34730816,0.33621335,-1.228601,-1.2742541,-0.4729321,-0.4935236,-0.0205915
7,0.9801204,0.9597346,"('insensitive', 'sensitive')",0.26049623,0.27759638,0.21981157,0.29056895,0.4868094,0.5093,0.0224906
8,-0.14911471,-0.13584524,"('unaffectionate', 'affectionate')",0.15110753,0.07338171,-0.88811195,-0.99991024,-0.295373,-0.3541246,-0.0587516
9,0.5684113,0.5484544,"('unaffectionate', 'caring')",1.0409623,0.9855243,0.8375849,0.76896673,0.8156528,0.7676485,-0.0480043
10,0.8544098,0.8239832,"('unsympathetic', 'sympathetic')",-1.5238649,-1.4869202,-0.08388891,0.03627816,-0.2511146,-0.2088863,0.0422283
11,1.1578083,1.1375593,"('unhelpful', 'helpful')",-0.33333585,-0.35048223,2.332535,2.3375647,1.0523358,1.0415473,-0.0107885
12,1.0671306,1.109009,"('unsupportive', 'supportive')",0.77070385,0.8259773,-0.29013857,-0.1608058,0.5158986,0.5913935,0.0754949
13,0.2919219,0.17705198,"('impolite', 'polite')",-0.14862064,-0.09434784,0.5641266,0.61185765,0.2358093,0.2315206,-0.0042887
14,1.2932162,1.2058967,"('antisocial', 'social')",1.4488939,1.4508013,0.51559347,0.476036,1.0859013,1.0442447,-0.0416566
15,0.45861065,0.37074098,"('boring', 'funny')",0.66435486,0.62744814,-0.56859046,-0.6714178,0.1847917,0.1089238,-0.0758679
16,-1.6142561,-1.5702118,"('unpopular', 'popular')",-0.61976,-0.60151577,0.3599018,0.44581357,-0.6247048,-0.5753047,0.0494001
17,-1.4943273,-1.485466,"('nasty', 'nice')",0.011281209,0.10334603,-0.15308522,-0.053542346,-0.5453771,-0.4785541,0.066823
18,-0.6422969,-0.6720987,"('disagreeable', 'welcoming')",0.0879581,0.1153227,0.117221996,0.15173846,-0.1457056,-0.1350125,0.0106931
19,-1.1442838,-1.1274964,"('inhospitable', 'hospitable')",-0.44515485,-0.45020178,-0.54204774,-0.4855282,-0.7104955,-0.6877421,0.0227534
20,0.22836633,0.13415693,"('rough', 'thoughtful')",0.37789437,0.39074782,0.020854373,-0.09184819,0.2090384,0.1443522,-0.0646862
21,1.1912848,1.1548495,"('immoral', 'moral')",0.50764483,0.5572202,0.61240315,0.7031171,0.7704442,0.8050623,0.0346181
22,0.46856984,0.41948393,"('untrustworthy', 'trustworthy')",-0.36296746,-0.4040871,-0.20160441,-0.22067398,-0.0320007,-0.0684257,-0.036425
23,0.19943573,0.17939764,"('insincere', 'sincere')",0.37300062,0.36164114,4.1675544,4.0109477,1.5799969,1.5173289,-0.062668
24,0.9762964,0.9393777,"('dishonest', 'honest')",0.056279846,0.040420055,-0.6118717,-0.76489866,0.1402349,0.071633,-0.0686019
25,-0.14766458,-0.07206302,"('egoistic', 'altruistic')",0.49073982,0.49626672,1.3113898,1.3099533,0.5514884,0.5780524,0.026564
26,0.3171107,0.27167195,"('hardhearted', 'benevolent')",1.7630913,1.6823878,0.89274323,0.7579099,0.9909817,0.90399,-0.0869917
27,0.25056928,0.1475746,"('hardhearted', 'softhearted')",-0.84528947,-0.8833293,0.09849464,0.05268204,-0.1654085,-0.2276909,-0.0622824
28,0.07751952,0.056701925,"('disloyal', 'loyal')",0.31288838,0.21023178,0.504037,0.3679822,0.2981483,0.2116386,-0.0865097
29,-0.95866156,-1.0231502,"('unfair', 'fair')",-0.27780795,-0.3099151,-1.2424878,-1.3061721,-0.8263191,-0.8797458,-0.0534267
30,0.77615625,0.6886698,"('intolerant', 'tolerant')",0.14283842,0.12165729,0.70248806,0.6365017,0.5404942,0.4822763,-0.0582179
31,-1.6531593,-1.5016596,"('evil', 'good')",-0.50160766,-0.45369765,-2.540148,-2.5809865,-1.5649716,-1.5121145,0.0528571
32,0.75797963,0.6896495,"('unkind', 'kind')",0.104268834,0.105877206,0.4998497,0.48546553,0.4540327,0.4269974,-0.0270353
33,0.38503045,0.31494826,"('wrong', 'right')",1.980082,1.9648024,-0.068162456,-0.10499635,0.76565,0.724918,-0.040732
34,0.36170062,0.44145143,"('mean', 'honorable')",0.5727185,0.6628924,3.0058694,2.9427168,1.3134295,1.3490203,0.0355908
35,-1.634205,-1.691533,"('corrupt', 'incorrupt')",-0.17535385,-0.2054263,-1.2183874,-1.3411534,-1.0093154,-1.0793709,-0.0700555
36,-0.62264264,-0.55661184,"('hostile', 'amicable')",0.52098584,0.43606308,-0.93413126,-1.12276,-0.3452627,-0.4144363,-0.0691736
37,0.30013552,0.24325883,"('fake', 'genuine')",-0.98061,-0.9741066,0.40775344,0.38970202,-0.090907,-0.1137153,-0.0228083
38,0.5732829,0.61509097,"('untruthful', 'truthful')",0.5135971,0.53988874,-0.0602024,-0.09320985,0.3422259,0.3539233,0.0116974
39,1.3208144,1.29996,"('exploitative', 'cooperative')",1.39662,1.4031241,0.44826126,0.3878743,1.0552319,1.0303195,-0.0249124
40,-0.5297072,-0.4980924,"('stingy', 'generous')",1.6308755,1.6556433,-0.7341966,-0.7026201,0.1223239,0.1516436,0.0293197
41,0.59780467,0.6247449,"('unforgiving', 'forgiving')",0.9852826,0.97635245,0.33621725,0.24515383,0.6397682,0.615417,-0.0243512
42,0.3967069,0.39408264,"('unreliable', 'reliable')",1.051999,1.1001009,-1.0218903,-0.8668895,0.1422719,0.209098,0.0668261
