,heating_male,heating_female,tuple,average_male,average_female,female-male
0,-0.057098523,-0.16347675,"('unsociable', 'sociable')",-0.0570985,-0.1634768,-0.1063783
1,1.4550899,1.4445933,"('unfriendly', 'friendly')",1.4550899,1.4445933,-0.0104966
2,0.29904252,0.54992723,"('unlikable', 'likable')",0.2990425,0.5499272,0.2508847
3,0.65389776,0.9516507,"('repellent', 'pleasant')",0.6538978,0.9516507,0.2977529
4,-7.5505233,-7.558934,"('disliked', 'liked')",-7.5505233,-7.5589342,-0.0084109
5,-0.25108904,0.010686542,"('distant', 'outgoing')",-0.251089,0.0106865,0.2617755
6,0.047231972,0.26547897,"('distant', 'open')",0.047232,0.265479,0.218247
7,0.7095707,0.8330094,"('insensitive', 'sensitive')",0.7095707,0.8330094,0.1234387
8,1.0141846,0.9835614,"('unaffectionate', 'affectionate')",1.0141846,0.9835614,-0.0306232
9,1.4125564,1.5433301,"('unaffectionate', 'caring')",1.4125564,1.5433301,0.1307737
10,0.98308617,1.227954,"('unsympathetic', 'sympathetic')",0.9830862,1.227954,0.2448678
11,2.0308616,2.0741973,"('unhelpful', 'helpful')",2.0308616,2.0741973,0.0433357
12,-1.7004391,-1.6491755,"('unsupportive', 'supportive')",-1.7004391,-1.6491755,0.0512636
13,0.30001086,0.32038411,"('impolite', 'polite')",0.3000109,0.3203841,0.0203732
14,-0.28261212,-0.49173364,"('antisocial', 'social')",-0.2826121,-0.4917336,-0.2091215
15,0.4226334,0.29979178,"('boring', 'funny')",0.4226334,0.2997918,-0.1228416
16,-0.38188878,-0.27379274,"('unpopular', 'popular')",-0.3818888,-0.2737927,0.1080961
17,0.07278761,0.0063717254,"('nasty', 'nice')",0.0727876,0.0063717,-0.0664159
18,-0.67562354,-0.7619608,"('disagreeable', 'welcoming')",-0.6756235,-0.7619608,-0.0863373
19,-0.60161567,-0.3457133,"('inhospitable', 'hospitable')",-0.6016157,-0.3457133,0.2559024
20,0.9449842,0.7073577,"('rough', 'thoughtful')",0.9449842,0.7073577,-0.2376265
21,-0.21332291,0.123089515,"('immoral', 'moral')",-0.2133229,0.1230895,0.3364124
22,-0.7393505,-0.58140606,"('untrustworthy', 'trustworthy')",-0.7393505,-0.5814061,0.1579444
23,6.456409,6.5891876,"('insincere', 'sincere')",6.456409,6.5891876,0.1327786
24,1.4771751,1.6624702,"('dishonest', 'honest')",1.4771751,1.6624702,0.1852951
25,0.42698127,0.3234297,"('egoistic', 'altruistic')",0.4269813,0.3234297,-0.1035516
26,0.52339685,0.11509641,"('hardhearted', 'benevolent')",0.5233968,0.1150964,-0.4083004
27,1.6530931,1.5736248,"('hardhearted', 'softhearted')",1.6530931,1.5736248,-0.0794683
28,1.1688379,1.1320069,"('disloyal', 'loyal')",1.1688379,1.1320069,-0.036831
29,-0.40602243,-0.5936494,"('unfair', 'fair')",-0.4060224,-0.5936494,-0.187627
30,0.7282069,0.76805556,"('intolerant', 'tolerant')",0.7282069,0.7680556,0.0398487
31,-1.4390863,-1.4506028,"('evil', 'good')",-1.4390863,-1.4506028,-0.0115165
32,1.3050691,1.2209188,"('unkind', 'kind')",1.3050691,1.2209188,-0.0841503
33,-0.40680292,-0.3862313,"('wrong', 'right')",-0.4068029,-0.3862313,0.0205716
34,4.925294,5.1851788,"('mean', 'honorable')",4.9252939,5.1851788,0.2598849
35,-0.9440353,-1.1416305,"('corrupt', 'incorrupt')",-0.9440353,-1.1416305,-0.1975952
36,-0.9436937,-1.0241619,"('hostile', 'amicable')",-0.9436937,-1.0241619,-0.0804682
37,1.0425736,1.0947822,"('fake', 'genuine')",1.0425736,1.0947822,0.0522086
38,0.02777978,0.0803423,"('untruthful', 'truthful')",0.0277798,0.0803423,0.0525625
39,-0.17348813,-0.136195,"('exploitative', 'cooperative')",-0.1734881,-0.136195,0.0372931
40,-1.6986736,-1.8345108,"('stingy', 'generous')",-1.6986736,-1.8345108,-0.1358372
41,-0.12046192,-0.15321685,"('unforgiving', 'forgiving')",-0.1204619,-0.1532169,-0.032755
42,-2.4053636,-2.3292255,"('unreliable', 'reliable')",-2.4053636,-2.3292255,0.0761381
43,1.0611883,1.1774281,"('irresponsible', 'responsible')",1.0611883,1.1774281,0.1162398
44,-1.2318481,-1.3172648,"('prejudiced', 'unprejudiced')",-1.2318481,-1.3172648,-0.0854167
45,0.14765121,0.29132414,"('incompetent', 'competent')",0.1476512,0.2913241,0.1436729
46,-0.7440651,-0.5350871,"('uncompetitive', 'competitive')",-0.7440651,-0.5350871,0.208978
47,5.5534573,5.8130407,"('stupid', 'smart')",5.5534573,5.8130407,0.2595834
48,0.61797273,0.57391995,"('unintelligent', 'intelligent')",0.6179727,0.57392,-0.0440527
49,0.17119415,0.46097508,"('unable', 'able')",0.1711942,0.4609751,0.2897809
50,-0.15779541,-0.08378139,"('clumsy', 'skillful')",-0.1577954,-0.0837814,0.074014
51,0.50053334,0.5174618,"('uneducated', 'educated')",0.5005333,0.5174618,0.0169285
