,legacy_male,legacy_female,tuple,average_male,average_female,female-male
0,0.08076692,-0.09221012,"('unsociable', 'sociable')",0.0807669,-0.0922101,-0.172977
1,1.5929228,1.5734617,"('unfriendly', 'friendly')",1.5929228,1.5734617,-0.0194611
2,0.4546487,0.5132626,"('unlikable', 'likable')",0.4546487,0.5132626,0.0586139
3,0.5728983,0.6406789,"('repellent', 'pleasant')",0.5728983,0.6406789,0.0677806
4,-6.7253942,-6.84116,"('disliked', 'liked')",-6.7253942,-6.8411598,-0.1157656
5,-0.50474674,-0.4075094,"('distant', 'outgoing')",-0.5047467,-0.4075094,0.0972373
6,-0.3547631,-0.2262108,"('distant', 'open')",-0.3547631,-0.2262108,0.1285523
7,1.1179994,1.107318,"('insensitive', 'sensitive')",1.1179994,1.107318,-0.0106814
8,1.3131748,1.3327789,"('unaffectionate', 'affectionate')",1.3131748,1.3327789,0.0196041
9,2.1942155,2.2927363,"('unaffectionate', 'caring')",2.1942155,2.2927363,0.0985208
10,1.0463295,0.9747626,"('unsympathetic', 'sympathetic')",1.0463295,0.9747626,-0.0715669
11,1.9575001,2.0189364,"('unhelpful', 'helpful')",1.9575001,2.0189364,0.0614363
12,-0.6953729,-0.6832006,"('unsupportive', 'supportive')",-0.6953729,-0.6832006,0.0121723
13,0.15888157,0.05060245,"('impolite', 'polite')",0.1588816,0.0506025,-0.1082791
14,0.34222192,0.22782363,"('antisocial', 'social')",0.3422219,0.2278236,-0.1143983
15,0.29655892,0.2519432,"('boring', 'funny')",0.2965589,0.2519432,-0.0446157
16,-0.7488482,-0.6523543,"('unpopular', 'popular')",-0.7488482,-0.6523543,0.0964939
17,-0.15514871,-0.06029381,"('nasty', 'nice')",-0.1551487,-0.0602938,0.0948549
18,-0.11655377,-0.14950982,"('disagreeable', 'welcoming')",-0.1165538,-0.1495098,-0.032956
19,-0.14758568,-0.019209307,"('inhospitable', 'hospitable')",-0.1475857,-0.0192093,0.1283764
20,0.7053205,0.55312485,"('rough', 'thoughtful')",0.7053205,0.5531248,-0.1521957
21,0.058447674,0.07942723,"('immoral', 'moral')",0.0584477,0.0794272,0.0209795
22,-0.4810214,-0.485347,"('untrustworthy', 'trustworthy')",-0.4810214,-0.485347,-0.0043256
