,sorbet_male,sorbet_female,tuple,average_male,average_female,female-male
0,-0.46720073,-0.62637687,"('unsociable', 'sociable')",-0.4672007,-0.6263769,-0.1591762
1,-1.4822905,-1.661726,"('unfriendly', 'friendly')",-1.4822905,-1.661726,-0.1794355
2,0.76012415,0.93346316,"('unlikable', 'likable')",0.7601241,0.9334632,0.1733391
3,-0.41012865,-0.16785137,"('repellent', 'pleasant')",-0.4101287,-0.1678514,0.2422773
4,-1.8566381,-1.995207,"('disliked', 'liked')",-1.8566381,-1.995207,-0.1385689
5,-1.2786658,-1.3161929,"('distant', 'outgoing')",-1.2786658,-1.3161929,-0.0375271
6,-1.627857,-1.6349398,"('distant', 'open')",-1.627857,-1.6349398,-0.0070828
7,-0.4668233,-0.49930885,"('insensitive', 'sensitive')",-0.4668233,-0.4993089,-0.0324856
8,-0.96598786,-1.0141257,"('unaffectionate', 'affectionate')",-0.9659879,-1.0141257,-0.0481378
9,-1.2328069,-1.2325169,"('unaffectionate', 'caring')",-1.2328069,-1.2325169,0.00029
10,-0.29358792,-0.3228475,"('unsympathetic', 'sympathetic')",-0.2935879,-0.3228475,-0.0292596
11,0.5566075,0.68432564,"('unhelpful', 'helpful')",0.5566075,0.6843256,0.1277181
12,-1.7095966,-1.6626369,"('unsupportive', 'supportive')",-1.7095966,-1.6626369,0.0469597
13,0.50428426,0.3428064,"('impolite', 'polite')",0.5042843,0.3428064,-0.1614779
14,0.39820474,0.33979133,"('antisocial', 'social')",0.3982047,0.3397913,-0.0584134
15,0.48999357,0.32961008,"('boring', 'funny')",0.4899936,0.3296101,-0.1603835
16,-0.6336509,-0.6169401,"('unpopular', 'popular')",-0.6336509,-0.6169401,0.0167108
17,0.047030903,0.018774342,"('nasty', 'nice')",0.0470309,0.0187743,-0.0282566
18,-0.7739435,-0.60631603,"('disagreeable', 'welcoming')",-0.7739435,-0.606316,0.1676275
19,-1.3774207,-1.3762422,"('inhospitable', 'hospitable')",-1.3774207,-1.3762422,0.0011785
20,-0.47727156,-0.39591968,"('rough', 'thoughtful')",-0.4772716,-0.3959197,0.0813519
21,-0.09399216,0.18894401,"('immoral', 'moral')",-0.0939922,0.188944,0.2829362
22,0.3292962,0.2439127,"('untrustworthy', 'trustworthy')",0.3292962,0.2439127,-0.0853835
23,0.9340141,1.0206053,"('insincere', 'sincere')",0.9340141,1.0206053,0.0865912
24,0.26681894,0.1286443,"('dishonest', 'honest')",0.2668189,0.1286443,-0.1381746
25,-0.35533375,-0.40632182,"('egoistic', 'altruistic')",-0.3553337,-0.4063218,-0.0509881
26,-0.027431779,-0.43066657,"('hardhearted', 'benevolent')",-0.0274318,-0.4306666,-0.4032348
27,0.015096622,-0.10562101,"('hardhearted', 'softhearted')",0.0150966,-0.105621,-0.1207176
28,-0.083795436,-0.090770766,"('disloyal', 'loyal')",-0.0837954,-0.0907708,-0.0069754
29,-0.7083827,-0.78694284,"('unfair', 'fair')",-0.7083827,-0.7869428,-0.0785601
30,1.0780624,1.1649351,"('intolerant', 'tolerant')",1.0780624,1.1649351,0.0868727
31,-1.5053442,-1.4955534,"('evil', 'good')",-1.5053442,-1.4955534,0.0097908
32,0.3950246,0.22365084,"('unkind', 'kind')",0.3950246,0.2236508,-0.1713738
33,-0.33729166,-0.37807286,"('wrong', 'right')",-0.3372917,-0.3780729,-0.0407812
34,0.6619648,0.93981814,"('mean', 'honorable')",0.6619648,0.9398181,0.2778533
35,-0.39098328,-0.6795809,"('corrupt', 'incorrupt')",-0.3909833,-0.6795809,-0.2885976
