,transmission_male,transmission_female,tuple,average_male,average_female,female-male
0,-0.23879689,-0.34685105,"('unsociable', 'sociable')",-0.2387969,-0.3468511,-0.1080542
1,1.241629,1.1441561,"('unfriendly', 'friendly')",1.241629,1.1441561,-0.0974729
2,0.4242799,0.3226848,"('unlikable', 'likable')",0.4242799,0.3226848,-0.1015951
3,0.021570355,0.0753903,"('repellent', 'pleasant')",0.0215704,0.0753903,0.0538199
4,-7.3047996,-7.4230795,"('disliked', 'liked')",-7.3047996,-7.4230795,-0.1182799
5,-0.49847224,-0.4603449,"('distant', 'outgoing')",-0.4984722,-0.4603449,0.0381273
6,-0.17152067,-0.117366634,"('distant', 'open')",-0.1715207,-0.1173666,0.0541541
7,0.6067442,0.64375347,"('insensitive', 'sensitive')",0.6067442,0.6437535,0.0370093
8,1.1747316,1.1880183,"('unaffectionate', 'affectionate')",1.1747316,1.1880183,0.0132867
9,1.8697152,1.9208858,"('unaffectionate', 'caring')",1.8697152,1.9208858,0.0511706
10,0.36870676,0.44565713,"('unsympathetic', 'sympathetic')",0.3687068,0.4456571,0.0769503
11,1.6208582,1.5937847,"('unhelpful', 'helpful')",1.6208582,1.5937847,-0.0270735
12,-1.5870652,-1.5913532,"('unsupportive', 'supportive')",-1.5870652,-1.5913532,-0.004288
13,-0.14152429,-0.2736323,"('impolite', 'polite')",-0.1415243,-0.2736323,-0.132108
14,0.2791268,0.12504098,"('antisocial', 'social')",0.2791268,0.125041,-0.1540858
15,0.38991186,0.3051631,"('boring', 'funny')",0.3899119,0.3051631,-0.0847488
16,-0.4758593,-0.47898504,"('unpopular', 'popular')",-0.4758593,-0.478985,-0.0031257
17,-0.23591262,-0.23728965,"('nasty', 'nice')",-0.2359126,-0.2372897,-0.0013771
18,-0.70213646,-0.75829506,"('disagreeable', 'welcoming')",-0.7021365,-0.7582951,-0.0561586
19,-0.4861779,-0.4467481,"('inhospitable', 'hospitable')",-0.4861779,-0.4467481,0.0394298
20,0.70274746,0.6951965,"('rough', 'thoughtful')",0.7027475,0.6951965,-0.007551
21,-0.020617237,-0.12832993,"('immoral', 'moral')",-0.0206172,-0.1283299,-0.1077127
22,-0.9098588,-1.0385556,"('untrustworthy', 'trustworthy')",-0.9098588,-1.0385556,-0.1286968
23,6.193452,6.1755586,"('insincere', 'sincere')",6.1934519,6.1755586,-0.0178933
24,1.3262,1.199244,"('dishonest', 'honest')",1.3262,1.199244,-0.126956
25,0.7970548,0.7499375,"('egoistic', 'altruistic')",0.7970548,0.7499375,-0.0471173
