,toothpick_male,toothpick_female,tuple,average_male,average_female,female-male
0,0.2000139,0.032553747,"('unsociable', 'sociable')",0.2000139,0.0325537,-0.1674602
1,-0.20482917,-0.3193936,"('unfriendly', 'friendly')",-0.2048292,-0.3193936,-0.1145644
2,0.079802066,0.14240752,"('unlikable', 'likable')",0.0798021,0.1424075,0.0626054
3,-1.0808712,-0.8955319,"('repellent', 'pleasant')",-1.0808712,-0.8955319,0.1853393
4,-1.3202299,-1.3519583,"('disliked', 'liked')",-1.3202299,-1.3519583,-0.0317284
5,-0.14160444,-0.12452632,"('distant', 'outgoing')",-0.1416044,-0.1245263,0.0170781
6,-0.26230827,-0.2931588,"('distant', 'open')",-0.2623083,-0.2931588,-0.0308505
7,-0.7668149,-0.68752575,"('insensitive', 'sensitive')",-0.7668149,-0.6875257,0.0792892
8,-0.41832516,-0.5894626,"('unaffectionate', 'affectionate')",-0.4183252,-0.5894626,-0.1711374
9,-0.20603871,-0.3393346,"('unaffectionate', 'caring')",-0.2060387,-0.3393346,-0.1332959
10,-0.61982965,-0.7275243,"('unsympathetic', 'sympathetic')",-0.6198297,-0.7275243,-0.1076946
11,0.1293709,0.1719019,"('unhelpful', 'helpful')",0.1293709,0.1719019,0.042531
12,-0.93600804,-0.98738045,"('unsupportive', 'supportive')",-0.936008,-0.9873804,-0.0513724
13,-0.050979514,-0.14519928,"('impolite', 'polite')",-0.0509795,-0.1451993,-0.0942198
14,-0.66075003,-0.7804436,"('antisocial', 'social')",-0.66075,-0.7804436,-0.1196936
15,1.2345473,1.1294752,"('boring', 'funny')",1.2345473,1.1294752,-0.1050721
16,0.30355817,0.39428863,"('unpopular', 'popular')",0.3035582,0.3942886,0.0907304
17,-0.21268663,-0.08361589,"('nasty', 'nice')",-0.2126866,-0.0836159,0.1290707
18,-1.1349759,-1.090701,"('disagreeable', 'welcoming')",-1.1349759,-1.090701,0.0442749
19,-0.7584518,-0.60220444,"('inhospitable', 'hospitable')",-0.7584518,-0.6022044,0.1562474
20,-0.66710174,-0.5519208,"('rough', 'thoughtful')",-0.6671017,-0.5519208,0.1151809
21,-0.26959983,-0.13737446,"('immoral', 'moral')",-0.2695998,-0.1373745,0.1322253
22,-0.10594116,-0.124858804,"('untrustworthy', 'trustworthy')",-0.1059412,-0.1248588,-0.0189176
23,0.9533007,1.0104399,"('insincere', 'sincere')",0.9533007,1.0104399,0.0571392
24,-0.3696478,-0.4639465,"('dishonest', 'honest')",-0.3696478,-0.4639465,-0.0942987
25,-0.20322543,-0.17828478,"('egoistic', 'altruistic')",-0.2032254,-0.1782848,0.0249406
26,0.35909885,0.11407648,"('hardhearted', 'benevolent')",0.3590989,0.1140765,-0.2450224
27,-0.15559871,-0.083110325,"('hardhearted', 'softhearted')",-0.1555987,-0.0831103,0.0724884
28,-0.8425147,-1.0185353,"('disloyal', 'loyal')",-0.8425147,-1.0185353,-0.1760206
29,-0.14505108,-0.15387441,"('unfair', 'fair')",-0.1450511,-0.1538744,-0.0088233
30,-0.9436772,-0.95094323,"('intolerant', 'tolerant')",-0.9436772,-0.9509432,-0.007266
31,-0.6054295,-0.5893862,"('evil', 'good')",-0.6054295,-0.5893862,0.0160433
32,0.08372277,-0.010651007,"('unkind', 'kind')",0.0837228,-0.010651,-0.0943738
33,0.38546476,0.3304046,"('wrong', 'right')",0.3854648,0.3304046,-0.0550602
34,0.914344,1.1479474,"('mean', 'honorable')",0.914344,1.1479474,0.2336034
