,scrap_male,scrap_female,tuple,average_male,average_female,female-male
0,0.17476118,0.074995145,"('unsociable', 'sociable')",0.1747612,0.0749951,-0.0997661
1,1.1502647,1.0955704,"('unfriendly', 'friendly')",1.1502647,1.0955704,-0.0546943
2,0.38602117,0.5318189,"('unlikable', 'likable')",0.3860212,0.5318189,0.1457977
3,0.5741229,0.7013438,"('repellent', 'pleasant')",0.5741229,0.7013438,0.1272209
4,-7.1139903,-6.9748335,"('disliked', 'liked')",-7.1139903,-6.9748335,0.1391568
5,-0.8828832,-0.9182693,"('distant', 'outgoing')",-0.8828832,-0.9182693,-0.0353861
6,-0.49331397,-0.35603893,"('distant', 'open')",-0.493314,-0.3560389,0.1372751
7,0.69199234,0.7916608,"('insensitive', 'sensitive')",0.6919923,0.7916608,0.0996685
8,1.1601259,1.2205487,"('unaffectionate', 'affectionate')",1.1601259,1.2205487,0.0604228
9,1.7945126,1.8883744,"('unaffectionate', 'caring')",1.7945126,1.8883744,0.0938618
10,1.224233,1.3175287,"('unsympathetic', 'sympathetic')",1.224233,1.3175287,0.0932957
11,2.0563655,2.0463052,"('unhelpful', 'helpful')",2.0563655,2.0463052,-0.0100603
12,-1.5745708,-1.4942385,"('unsupportive', 'supportive')",-1.5745708,-1.4942385,0.0803323
13,0.24093834,0.07302114,"('impolite', 'polite')",0.2409383,0.0730211,-0.1679172
14,-0.094780795,-0.15512456,"('antisocial', 'social')",-0.0947808,-0.1551246,-0.0603438
15,0.3024106,0.2554824,"('boring', 'funny')",0.3024106,0.2554824,-0.0469282
16,-0.49985427,-0.4490696,"('unpopular', 'popular')",-0.4998543,-0.4490696,0.0507847
17,-0.118601486,-0.04720802,"('nasty', 'nice')",-0.1186015,-0.047208,0.0713935
18,-1.1815187,-1.0815657,"('disagreeable', 'welcoming')",-1.1815187,-1.0815657,0.099953
19,-1.0736989,-0.98873365,"('inhospitable', 'hospitable')",-1.0736989,-0.9887336,0.0849653
20,0.64457333,0.4464219,"('rough', 'thoughtful')",0.6445733,0.4464219,-0.1981514
21,-0.19131145,-0.041181333,"('immoral', 'moral')",-0.1913114,-0.0411813,0.1501301
22,-0.84951264,-0.86697286,"('untrustworthy', 'trustworthy')",-0.8495126,-0.8669729,-0.0174603
23,6.1040664,6.1175528,"('insincere', 'sincere')",6.1040664,6.1175528,0.0134864
24,1.5058339,1.4574237,"('dishonest', 'honest')",1.5058339,1.4574237,-0.0484102
25,0.41580287,0.46808028,"('egoistic', 'altruistic')",0.4158029,0.4680803,0.0522774
26,0.6892832,0.64936763,"('hardhearted', 'benevolent')",0.6892832,0.6493676,-0.0399156
27,1.3586917,1.2561328,"('hardhearted', 'softhearted')",1.3586917,1.2561328,-0.1025589
28,1.5171177,1.5550907,"('disloyal', 'loyal')",1.5171177,1.5550907,0.037973
29,-0.5217675,-0.66012096,"('unfair', 'fair')",-0.5217675,-0.660121,-0.1383535
30,0.5824522,0.5281128,"('intolerant', 'tolerant')",0.5824522,0.5281128,-0.0543394
31,-2.0079405,-1.958618,"('evil', 'good')",-2.0079405,-1.958618,0.0493225
32,1.1303456,1.0884778,"('unkind', 'kind')",1.1303456,1.0884778,-0.0418678
