,nortonlifelock_male,nortonlifelock_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.6840202,0.6739692,"('unsociable', 'sociable')",-0.22759327,-0.3355496,0.2282135,0.1692098,-0.0590037
1,-0.40429252,-0.4856738,"('unfriendly', 'friendly')",1.7081828,1.4718878,0.6519451,0.493107,-0.1588381
2,0.023942806,0.009725891,"('unlikable', 'likable')",0.6011752,0.61509645,0.312559,0.3124112,-0.0001478
3,0.05242817,0.17949793,"('repellent', 'pleasant')",0.34426403,0.4185053,0.1983461,0.2990016,0.1006555
4,-1.1710509,-1.3301182,"('disliked', 'liked')",-5.7456684,-5.701211,-3.4583597,-3.5156646,-0.0573049
5,-1.1518474,-1.1543623,"('distant', 'outgoing')",-0.55275553,-0.50126266,-0.8523015,-0.8278125,0.024489
6,-1.2044568,-1.1874415,"('distant', 'open')",-0.14773495,-0.0920105,-0.6760959,-0.639726,0.0363699
7,0.7642145,0.93963087,"('insensitive', 'sensitive')",0.69391745,0.75211275,0.729066,0.8458718,0.1168058
8,-1.0056578,-1.049592,"('unaffectionate', 'affectionate')",0.5787406,0.40645456,-0.2134586,-0.3215687,-0.1081101
9,-0.3586654,-0.37951082,"('unaffectionate', 'caring')",0.9014091,0.77343583,0.2713718,0.1969625,-0.0744093
10,0.042321723,0.11206899,"('unsympathetic', 'sympathetic')",-0.3630959,-0.39833516,-0.1603871,-0.1431331,0.017254
11,0.7419249,0.80851406,"('unhelpful', 'helpful')",1.968962,1.9871006,1.3554435,1.3978074,0.0423639
12,0.3171446,0.46642312,"('unsupportive', 'supportive')",-1.6425812,-1.5068971,-0.6627183,-0.520237,0.1424813
13,0.9792846,0.9922333,"('impolite', 'polite')",-0.16988498,-0.1635226,0.4046998,0.4143553,0.0096555
14,1.3140755,1.3891814,"('antisocial', 'social')",-0.29358804,-0.30079955,0.5102437,0.5441909,0.0339472
15,0.13219239,0.049746513,"('boring', 'funny')",0.81270075,0.8031686,0.4724466,0.4264576,-0.045989
16,-1.2165902,-1.2961522,"('unpopular', 'popular')",0.4569049,0.49536845,-0.3798426,-0.4003919,-0.0205493
17,-0.16480452,-0.14598295,"('nasty', 'nice')",-0.35617694,-0.32128838,-0.2604907,-0.2336357,0.026855
18,-0.82908565,-0.70673084,"('disagreeable', 'welcoming')",-0.27168855,-0.21678293,-0.5503871,-0.4617569,0.0886302
19,-1.0395808,-1.0416831,"('inhospitable', 'hospitable')",0.11396402,0.16217968,-0.4628084,-0.4397517,0.0230567
20,0.31045416,0.3660621,"('rough', 'thoughtful')",1.1498051,1.1099222,0.7301296,0.7379922,0.0078626
21,1.0891142,1.1015658,"('immoral', 'moral')",-0.32558754,-0.32756585,0.3817633,0.387,0.0052367
22,0.6012362,0.6477523,"('untrustworthy', 'trustworthy')",-0.48905373,-0.52937263,0.0560912,0.0591898,0.0030986
23,0.67526966,0.7395839,"('insincere', 'sincere')",5.3175964,5.140983,2.996433,2.9402835,-0.0561495
24,0.77068806,0.80796427,"('dishonest', 'honest')",0.49657044,0.38478017,0.6336293,0.5963722,-0.0372571
25,-0.21223977,-0.23870586,"('egoistic', 'altruistic')",1.6155386,1.5503387,0.7016494,0.6558164,-0.045833
26,0.40035105,0.30619287,"('hardhearted', 'benevolent')",1.4548273,1.2773867,0.9275892,0.7917898,-0.1357994
27,-0.44423968,-0.32042196,"('hardhearted', 'softhearted')",1.1682079,1.1450361,0.3619841,0.4123071,0.050323
28,0.33844224,0.21408582,"('disloyal', 'loyal')",0.7652405,0.5111431,0.5518414,0.3626145,-0.1892269
29,-0.438757,-0.47202608,"('unfair', 'fair')",-0.38183096,-0.5249296,-0.410294,-0.4984778,-0.0881838
30,1.5058255,1.5491353,"('intolerant', 'tolerant')",1.5111483,1.503374,1.508487,1.5262547,0.0177677
31,-1.6007764,-1.5924025,"('evil', 'good')",-0.9519237,-0.9771207,-1.27635,-1.2847615,-0.0084115
32,0.88396186,0.8632807,"('unkind', 'kind')",1.1528262,0.9665657,1.018394,0.9149232,-0.1034708
33,-0.05613141,-0.10994611,"('wrong', 'right')",-0.5427536,-0.6419907,-0.2994425,-0.3759684,-0.0765259
34,0.3504081,0.4980385,"('mean', 'honorable')",5.807451,5.9172034,3.0789294,3.2076209,0.1286915
35,-1.3031267,-1.4646902,"('corrupt', 'incorrupt')",-0.30151257,-0.48151168,-0.8023196,-0.973101,-0.1707814
36,-1.5328829,-1.7162603,"('hostile', 'amicable')",0.453377,0.17523552,-0.539753,-0.7705124,-0.2307594
37,0.034493078,0.051756896,"('fake', 'genuine')",0.3743102,0.35180452,0.2044016,0.2017807,-0.0026209
38,-0.23633665,-0.2772292,"('untruthful', 'truthful')",-0.022254251,-0.051187936,-0.1292955,-0.1642086,-0.0349131
39,1.6849488,1.7188237,"('exploitative', 'cooperative')",0.35140663,0.30502635,1.0181777,1.011925,-0.0062527
40,-0.81448996,-0.76454395,"('stingy', 'generous')",-1.3465148,-1.2817568,-1.0805024,-1.0231503,0.0573521
41,-0.45623258,-0.41832906,"('unforgiving', 'forgiving')",0.17254879,0.09744631,-0.1418419,-0.1604414,-0.0185995
42,-0.2669449,-0.13642097,"('unreliable', 'reliable')",-3.3449175,-3.1667883,-1.8059312,-1.6516047,0.1543265
43,0.91450304,1.0285116,"('irresponsible', 'responsible')",0.2968653,0.2719723,0.6056842,0.650242,0.0445578
44,-0.7093725,-0.7397562,"('prejudiced', 'unprejudiced')",-1.5410165,-1.5309447,-1.1251945,-1.1353505,-0.010156
45,0.20442349,0.2543724,"('incompetent', 'competent')",-0.30111903,-0.28888214,-0.0483478,-0.0172549,0.0310929
46,0.69863254,0.77344763,"('uncompetitive', 'competitive')",-0.2554139,-0.24847344,0.2216093,0.2624871,0.0408778
47,0.9478773,1.0704792,"('stupid', 'smart')",5.214721,5.274033,3.0812993,3.172256,0.0909567
48,0.41915837,0.4322267,"('unintelligent', 'intelligent')",0.67776155,0.65381014,0.5484599,0.5430184,-0.0054415
49,-0.19009164,-0.08392614,"('unable', 'able')",-0.042900994,0.1152636,-0.1164963,0.0156687,0.132165
50,-0.30219015,-0.29305357,"('clumsy', 'skillful')",0.1420691,0.16697672,-0.0800605,-0.0630384,0.0170221
51,0.031075237,-0.036209982,"('uneducated', 'educated')",0.67054886,0.5810257,0.350812,0.2724079,-0.0784041
52,-0.5302474,-0.7453527,"('irrational', 'rational')",0.38775596,0.21263413,-0.0712457,-0.2663593,-0.1951136
53,-0.6016224,-0.5945199,"('uncreative', 'creative')",1.1756324,1.105754,0.287005,0.2556171,-0.0313879
