,goldman_male,goldman_female,tuple,sachs_male,sachs_female,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.1373085,-1.2293252,"('unsociable', 'sociable')",-0.19963866,-0.29393226,0.53694093,0.36584014,-0.29170066,-0.403818,-0.2729267,-0.3903088,-0.1173821
1,1.6362485,1.6550833,"('unfriendly', 'friendly')",1.9765745,1.8536583,0.10946958,0.042483225,1.3886522,1.3056479,1.2777362,1.2142181,-0.0635181
2,1.591573,1.5833592,"('unlikable', 'likable')",2.3148792,2.3701475,2.4520013,2.5298512,0.97261256,1.1256163,1.8327665,1.9022436,0.0694771
3,-1.5662904,-1.5221109,"('repellent', 'pleasant')",-1.5759122,-1.5846997,0.7327139,0.73399377,0.35826385,0.35388553,-0.5128062,-0.5047328,0.0080734
4,0.57946867,0.5987436,"('disliked', 'liked')",1.0318506,0.99694777,0.2877442,0.23665385,-6.211348,-6.17579,-1.0780711,-1.0858612,-0.0077901
5,2.0066392,2.0827992,"('distant', 'outgoing')",1.7271888,1.755569,-1.2017869,-1.0764068,-0.26987156,-0.18187699,0.5655424,0.6450211,0.0794787
6,1.7544588,1.8481293,"('distant', 'open')",1.349983,1.405542,-1.4706837,-1.3298448,0.1754371,0.2353546,0.4522988,0.5397952,0.0874964
7,-0.5450159,-0.55926317,"('insensitive', 'sensitive')",-0.22351228,-0.20771986,0.22370109,0.18591696,0.6773474,0.65173113,0.0331301,0.0176663,-0.0154638
8,1.0193195,1.0076221,"('unaffectionate', 'affectionate')",1.7440106,1.6537412,-0.17366904,-0.18105885,0.30113602,0.30825388,0.7226992,0.6971396,-0.0255596
9,2.1498375,2.1717484,"('unaffectionate', 'caring')",2.4061034,2.3979268,0.5220705,0.5162791,1.0714412,1.1147156,1.5373631,1.5501676,0.0128045
10,-2.2481728,-2.2888112,"('unsympathetic', 'sympathetic')",-1.7137631,-1.6663339,-0.21239448,-0.26742852,-0.072699904,-0.12877591,-1.0617577,-1.0878375,-0.0260798
11,-0.9699662,-1.0309261,"('unhelpful', 'helpful')",-0.6529379,-0.59885204,-0.05330882,-0.14860618,2.3090203,2.3413699,0.1582018,0.1407464,-0.0174554
