,akamai_male,akamai_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.8737172,-1.9415915,"('unsociable', 'sociable')",-0.3572312,-0.5023994,-0.76428807,-0.89622235,-0.9984121,-1.1134044,-0.1149923
1,-0.6124935,-0.6878091,"('unfriendly', 'friendly')",0.23236753,0.009696439,2.0374284,1.9119242,0.5524341,0.4112705,-0.1411636
2,0.7803045,0.8028097,"('unlikable', 'likable')",0.32098067,0.37876278,0.6747661,0.78185135,0.5920171,0.6544746,0.0624575
3,-0.7422615,-0.56581986,"('repellent', 'pleasant')",0.18684436,0.3187844,-0.11416575,-0.0655399,-0.2231943,-0.1041918,0.1190025
4,0.9418981,0.88826436,"('disliked', 'liked')",-0.6229427,-0.6902391,-5.704135,-5.6946063,-1.7950598,-1.8321937,-0.0371339
5,-0.28877643,-0.3649331,"('distant', 'outgoing')",-0.7634161,-0.79602796,0.11769989,0.1587487,-0.3114976,-0.3340708,-0.0225732
6,-0.17568968,-0.18796603,"('distant', 'open')",-1.0244957,-1.0795388,0.7663831,0.7998392,-0.1446008,-0.1558885,-0.0112877
7,-0.54057425,-0.4076681,"('insensitive', 'sensitive')",0.5035435,0.61132133,0.46423987,0.51162165,0.142403,0.238425,0.096022
8,-0.17348847,-0.24264538,"('unaffectionate', 'affectionate')",0.42802522,0.32617164,1.1021316,1.0385412,0.4522228,0.3740225,-0.0782003
9,-0.6515732,-0.70023596,"('unaffectionate', 'caring')",0.40055993,0.265063,1.2560457,1.2018633,0.3350108,0.2555634,-0.0794474
10,-1.6286898,-1.4838905,"('unsympathetic', 'sympathetic')",-0.44419497,-0.43280113,-0.709638,-0.7752348,-0.9275076,-0.8973088,0.0301988
11,-0.7213831,-0.697991,"('unhelpful', 'helpful')",1.1540955,1.1977828,1.6777449,1.6239178,0.7034858,0.7079032,0.0044174
12,-0.5501317,-0.39518312,"('unsupportive', 'supportive')",0.3685166,0.46542558,-2.014616,-1.9583979,-0.732077,-0.6293852,0.1026918
13,-0.790746,-0.78680474,"('impolite', 'polite')",-0.14303517,-0.167869,-0.501553,-0.547866,-0.4784447,-0.5008466,-0.0224019
14,-0.8637766,-0.80229,"('antisocial', 'social')",0.8618197,0.92623687,-0.8483753,-0.8611529,-0.2834441,-0.2457353,0.0377088
15,0.7490629,0.61116916,"('boring', 'funny')",0.15087187,0.06409085,0.89534736,0.8712498,0.5984274,0.5155032,-0.0829242
16,0.2647701,0.22139904,"('unpopular', 'popular')",-0.38546765,-0.3506434,0.8602618,0.8634397,0.2465214,0.2447318,-0.0017896
17,-0.1882972,-0.12351024,"('nasty', 'nice')",-0.41558748,-0.3602178,0.112084255,0.13856006,-0.1639335,-0.115056,0.0488775
18,0.192056,0.2964956,"('disagreeable', 'welcoming')",0.30783677,0.3233524,-0.12846446,-0.14175338,0.1238094,0.1593649,0.0355555
19,-0.28002197,-0.33508933,"('inhospitable', 'hospitable')",-1.0127519,-1.0569892,0.10971896,0.21945126,-0.3943517,-0.3908757,0.003476
20,0.24358647,0.31035638,"('rough', 'thoughtful')",0.9972678,1.1464078,1.0974106,1.0699539,0.7794216,0.8422394,0.0628178
21,-0.29790583,-0.26544917,"('immoral', 'moral')",0.5001731,0.5003601,-1.0376471,-1.0243642,-0.2784599,-0.2631511,0.0153088
