,revascularization_male,revascularization_female,tuple,average_male,average_female,female-male
0,-1.0945146,-1.2774408,"('unsociable', 'sociable')",-1.0945146,-1.2774408,-0.1829262
1,-0.8790748,-1.1739782,"('unfriendly', 'friendly')",-0.8790748,-1.1739782,-0.2949034
2,0.6793785,0.6549205,"('unlikable', 'likable')",0.6793785,0.6549205,-0.024458
3,-0.48316443,-0.39501014,"('repellent', 'pleasant')",-0.4831644,-0.3950101,0.0881543
4,-0.9775521,-1.0000664,"('disliked', 'liked')",-0.9775521,-1.0000664,-0.0225143
5,0.01967744,0.054372013,"('distant', 'outgoing')",0.0196774,0.054372,0.0346946
6,-0.097301826,-0.11495519,"('distant', 'open')",-0.0973018,-0.1149552,-0.0176534
7,-0.9136419,-0.9301818,"('insensitive', 'sensitive')",-0.9136419,-0.9301818,-0.0165399
8,-1.2912128,-1.5496204,"('unaffectionate', 'affectionate')",-1.2912128,-1.5496204,-0.2584076
9,-1.177683,-1.4056298,"('unaffectionate', 'caring')",-1.177683,-1.4056298,-0.2279468
10,-1.4126227,-1.4960068,"('unsympathetic', 'sympathetic')",-1.4126227,-1.4960068,-0.0833841
11,0.015648967,-0.0783757,"('unhelpful', 'helpful')",0.015649,-0.0783757,-0.0940247
12,-1.2116545,-1.2048221,"('unsupportive', 'supportive')",-1.2116545,-1.2048221,0.0068324
13,-0.59036463,-0.6242891,"('impolite', 'polite')",-0.5903646,-0.6242891,-0.0339245
14,-0.48797292,-0.46787477,"('antisocial', 'social')",-0.4879729,-0.4678748,0.0200981
15,0.6358182,0.5548636,"('boring', 'funny')",0.6358182,0.5548636,-0.0809546
16,-0.012561195,-0.14380024,"('unpopular', 'popular')",-0.0125612,-0.1438002,-0.131239
17,-0.32866132,-0.24010874,"('nasty', 'nice')",-0.3286613,-0.2401087,0.0885526
18,0.35516563,0.35638663,"('disagreeable', 'welcoming')",0.3551656,0.3563866,0.001221
19,-0.8120223,-0.8022822,"('inhospitable', 'hospitable')",-0.8120223,-0.8022822,0.0097401
20,0.41626415,0.42019758,"('rough', 'thoughtful')",0.4162641,0.4201976,0.0039335
21,-0.12848492,-0.14968659,"('immoral', 'moral')",-0.1284849,-0.1496866,-0.0212017
22,-0.035412062,-0.05721824,"('untrustworthy', 'trustworthy')",-0.0354121,-0.0572182,-0.0218061
23,0.32595214,0.1662684,"('insincere', 'sincere')",0.3259521,0.1662684,-0.1596837
24,-0.4872816,-0.5650739,"('dishonest', 'honest')",-0.4872816,-0.5650739,-0.0777923
25,-0.005543324,-0.04150742,"('egoistic', 'altruistic')",-0.0055433,-0.0415074,-0.0359641
26,0.3597772,0.17988393,"('hardhearted', 'benevolent')",0.3597772,0.1798839,-0.1798933
27,0.017794207,-0.013659516,"('hardhearted', 'softhearted')",0.0177942,-0.0136595,-0.0314537
28,-0.8551117,-1.1522543,"('disloyal', 'loyal')",-0.8551117,-1.1522543,-0.2971426
29,-0.5466507,-0.5541024,"('unfair', 'fair')",-0.5466507,-0.5541024,-0.0074517
30,0.13971846,0.093194336,"('intolerant', 'tolerant')",0.1397185,0.0931943,-0.0465242
31,-0.21253873,-0.13599843,"('evil', 'good')",-0.2125387,-0.1359984,0.0765403
32,0.20228566,0.026264183,"('unkind', 'kind')",0.2022857,0.0262642,-0.1760215
33,-0.011235805,-0.076867245,"('wrong', 'right')",-0.0112358,-0.0768672,-0.0656314
34,1.025643,1.111162,"('mean', 'honorable')",1.025643,1.1111619,0.0855189
35,1.02022,0.94973975,"('corrupt', 'incorrupt')",1.02022,0.9497398,-0.0704802
36,-0.27273348,-0.44942868,"('hostile', 'amicable')",-0.2727335,-0.4494287,-0.1766952
37,-0.24798414,-0.27084833,"('fake', 'genuine')",-0.2479841,-0.2708483,-0.0228642
38,-0.27067646,-0.39181226,"('untruthful', 'truthful')",-0.2706765,-0.3918123,-0.1211358
39,0.45045516,0.40191153,"('exploitative', 'cooperative')",0.4504552,0.4019115,-0.0485437
40,0.06513681,0.029652674,"('stingy', 'generous')",0.0651368,0.0296527,-0.0354841
41,0.21525747,0.12803927,"('unforgiving', 'forgiving')",0.2152575,0.1280393,-0.0872182
42,-0.6714151,-0.52454484,"('unreliable', 'reliable')",-0.6714151,-0.5245448,0.1468703
43,-1.024655,-1.0584728,"('irresponsible', 'responsible')",-1.024655,-1.0584728,-0.0338178
44,1.0312772,1.1924913,"('prejudiced', 'unprejudiced')",1.0312772,1.1924913,0.1612141
