,tweezers_male,tweezers_female,tuple,average_male,average_female,female-male
0,-0.14987516,-0.29643762,"('unsociable', 'sociable')",-0.1498752,-0.2964376,-0.1465624
1,-0.72617394,-0.7511444,"('unfriendly', 'friendly')",-0.7261739,-0.7511444,-0.0249705
2,-1.0078357,-0.9666583,"('unlikable', 'likable')",-1.0078357,-0.9666583,0.0411774
3,-1.0088558,-0.8727307,"('repellent', 'pleasant')",-1.0088558,-0.8727307,0.1361251
4,-2.0198364,-2.0242834,"('disliked', 'liked')",-2.0198364,-2.0242834,-0.004447
5,0.13347791,0.16314279,"('distant', 'outgoing')",0.1334779,0.1631428,0.0296649
6,-0.17245154,-0.1401736,"('distant', 'open')",-0.1724515,-0.1401736,0.0322779
7,-0.38675648,-0.2621182,"('insensitive', 'sensitive')",-0.3867565,-0.2621182,0.1246383
8,-0.55030423,-0.5593946,"('unaffectionate', 'affectionate')",-0.5503042,-0.5593946,-0.0090904
9,-0.4215313,-0.35744998,"('unaffectionate', 'caring')",-0.4215313,-0.35745,0.0640813
10,-1.2127936,-1.1272712,"('unsympathetic', 'sympathetic')",-1.2127936,-1.1272712,0.0855224
11,0.5249106,0.60105854,"('unhelpful', 'helpful')",0.5249106,0.6010585,0.0761479
12,-1.0639352,-0.98170674,"('unsupportive', 'supportive')",-1.0639352,-0.9817067,0.0822285
13,-0.38166827,-0.55653477,"('impolite', 'polite')",-0.3816683,-0.5565348,-0.1748665
14,0.014684968,-0.009731844,"('antisocial', 'social')",0.014685,-0.0097318,-0.0244168
15,0.24743597,0.14448065,"('boring', 'funny')",0.247436,0.1444806,-0.1029554
16,-0.0772842,0.018992595,"('unpopular', 'popular')",-0.0772842,0.0189926,0.0962768
17,-0.28851575,-0.2422746,"('nasty', 'nice')",-0.2885157,-0.2422746,0.0462411
18,-0.500547,-0.5454031,"('disagreeable', 'welcoming')",-0.500547,-0.5454031,-0.0448561
19,-0.6738658,-0.6566509,"('inhospitable', 'hospitable')",-0.6738658,-0.6566509,0.0172149
