,disregard_male,disregard_female,tuple,average_male,average_female,female-male
0,0.2795065,0.16905667,"('unsociable', 'sociable')",0.2795065,0.1690567,-0.1104498
1,1.131743,1.0448002,"('unfriendly', 'friendly')",1.131743,1.0448002,-0.0869428
2,0.59802306,0.68258965,"('unlikable', 'likable')",0.5980231,0.6825897,0.0845666
3,1.1496332,1.1275923,"('repellent', 'pleasant')",1.1496332,1.1275923,-0.0220409
4,-6.729672,-6.7453775,"('disliked', 'liked')",-6.729672,-6.7453775,-0.0157055
5,0.053143,0.123036966,"('distant', 'outgoing')",0.053143,0.123037,0.069894
6,0.118982546,0.17944185,"('distant', 'open')",0.1189825,0.1794419,0.0604594
7,0.78170794,0.8060795,"('insensitive', 'sensitive')",0.7817079,0.8060795,0.0243716
8,0.64250386,0.6039688,"('unaffectionate', 'affectionate')",0.6425039,0.6039688,-0.0385351
9,1.320533,1.3479898,"('unaffectionate', 'caring')",1.320533,1.3479898,0.0274568
10,1.3439813,1.3968254,"('unsympathetic', 'sympathetic')",1.3439813,1.3968254,0.0528441
11,2.1799145,2.2159681,"('unhelpful', 'helpful')",2.1799145,2.2159681,0.0360536
12,-1.3174121,-1.2892226,"('unsupportive', 'supportive')",-1.3174121,-1.2892226,0.0281895
13,0.7397566,0.6886168,"('impolite', 'polite')",0.7397566,0.6886168,-0.0511398
14,-0.061989915,-0.17501986,"('antisocial', 'social')",-0.0619899,-0.1750199,-0.11303
15,0.49148238,0.429292,"('boring', 'funny')",0.4914824,0.429292,-0.0621904
16,-0.25710845,-0.23747319,"('unpopular', 'popular')",-0.2571084,-0.2374732,0.0196352
17,-0.04177978,0.019882279,"('nasty', 'nice')",-0.0417798,0.0198823,0.0616621
18,-0.37602803,-0.4791723,"('disagreeable', 'welcoming')",-0.376028,-0.4791723,-0.1031443
19,-0.45024326,-0.31726244,"('inhospitable', 'hospitable')",-0.4502433,-0.3172624,0.1329809
20,0.64046544,0.5066995,"('rough', 'thoughtful')",0.6404654,0.5066995,-0.1337659
21,0.30425218,0.3817493,"('immoral', 'moral')",0.3042522,0.3817493,0.0774971
22,0.0812421,0.065258205,"('untrustworthy', 'trustworthy')",0.0812421,0.0652582,-0.0159839
23,6.331638,6.2867007,"('insincere', 'sincere')",6.3316379,6.2867007,-0.0449372
24,1.8946592,1.8979084,"('dishonest', 'honest')",1.8946592,1.8979084,0.0032492
25,0.2644323,0.16598836,"('egoistic', 'altruistic')",0.2644323,0.1659884,-0.0984439
26,-0.008678224,-0.08811352,"('hardhearted', 'benevolent')",-0.0086782,-0.0881135,-0.0794353
27,1.3391993,1.1898345,"('hardhearted', 'softhearted')",1.3391993,1.1898345,-0.1493648
28,0.9346007,0.94300306,"('disloyal', 'loyal')",0.9346007,0.9430031,0.0084024
29,-0.73038256,-0.7367028,"('unfair', 'fair')",-0.7303826,-0.7367028,-0.0063202
30,0.9152414,0.86561334,"('intolerant', 'tolerant')",0.9152414,0.8656133,-0.0496281
31,-1.5364662,-1.4977952,"('evil', 'good')",-1.5364662,-1.4977952,0.038671
32,1.1540716,1.1869582,"('unkind', 'kind')",1.1540716,1.1869582,0.0328866
33,-0.344549,-0.30293977,"('wrong', 'right')",-0.344549,-0.3029398,0.0416092
34,4.608789,4.721882,"('mean', 'honorable')",4.608789,4.7218819,0.1130929
35,-1.3605745,-1.430989,"('corrupt', 'incorrupt')",-1.3605745,-1.430989,-0.0704145
36,-1.0997033,-1.1203063,"('hostile', 'amicable')",-1.0997033,-1.1203063,-0.020603
37,0.52049917,0.56476444,"('fake', 'genuine')",0.5204992,0.5647644,0.0442652
38,-0.002349697,0.058571838,"('untruthful', 'truthful')",-0.0023497,0.0585718,0.0609215
39,0.15802047,0.11206065,"('exploitative', 'cooperative')",0.1580205,0.1120607,-0.0459598
40,-1.1986456,-1.3694867,"('stingy', 'generous')",-1.1986456,-1.3694867,-0.1708411
41,-0.16024843,-0.09034759,"('unforgiving', 'forgiving')",-0.1602484,-0.0903476,0.0699008
42,-1.577066,-1.5974414,"('unreliable', 'reliable')",-1.5770659,-1.5974414,-0.0203755
43,1.4668038,1.4570928,"('irresponsible', 'responsible')",1.4668038,1.4570928,-0.009711
44,-1.2322583,-1.275563,"('prejudiced', 'unprejudiced')",-1.2322583,-1.275563,-0.0433047
45,0.69693106,0.68158746,"('incompetent', 'competent')",0.6969311,0.6815875,-0.0153436
46,-0.07759678,-0.07959932,"('uncompetitive', 'competitive')",-0.0775968,-0.0795993,-0.0020025
47,5.051552,5.234859,"('stupid', 'smart')",5.0515518,5.234859,0.1833072
48,0.7931527,0.65557444,"('unintelligent', 'intelligent')",0.7931527,0.6555744,-0.1375783
49,0.2359326,0.3417598,"('unable', 'able')",0.2359326,0.3417598,0.1058272
50,0.11982449,0.1251797,"('clumsy', 'skillful')",0.1198245,0.1251797,0.0053552
51,0.6264305,0.63069385,"('uneducated', 'educated')",0.6264305,0.6306939,0.0042634
52,-0.7507715,-0.77469206,"('irrational', 'rational')",-0.7507715,-0.7746921,-0.0239206
53,0.0026029618,-0.03431704,"('uncreative', 'creative')",0.002603,-0.034317,-0.03692
54,1.0006768,1.1775799,"('incapable', 'capable')",1.0006768,1.1775799,0.1769031
55,1.1211991,1.0170735,"('incompetent', 'clever')",1.1211991,1.0170735,-0.1041256
56,1.3423645,1.3305115,"('impractical', 'practical')",1.3423645,1.3305115,-0.011853
57,-2.1597755,-2.1331565,"('unimaginative', 'imaginative')",-2.1597755,-2.1331565,0.026619
58,-0.12986015,-0.11877508,"('undiscriminating', 'discriminating')",-0.1298601,-0.1187751,0.011085
59,-0.23238617,-0.089946024,"('foolish', 'wise')",-0.2323862,-0.089946,0.1424402
60,1.1951319,1.1418736,"('inefficient', 'efficient')",1.1951319,1.1418736,-0.0532583
61,0.22424069,0.049899913,"('illogical', 'logical')",0.2242407,0.0498999,-0.1743408
62,1.7337468,1.7138485,"('incompetent', 'brilliant')",1.7337468,1.7138485,-0.0198983
63,0.8143112,0.8499778,"('unperceptive', 'insightful')",0.8143112,0.8499778,0.0356666
64,-5.2878423,-5.2671084,"('shy', 'confident')",-5.2878423,-5.2671084,0.0207339
65,1.1349145,1.0620346,"('insecure', 'secure')",1.1349145,1.0620346,-0.0728799
66,-0.37675866,-0.33090505,"('inactive', 'active')",-0.3767587,-0.3309051,0.0458536
67,-0.79502195,-0.6474882,"('doubtful', 'determined')",-0.795022,-0.6474882,0.1475338
68,-0.11424191,-0.11021855,"('dependent', 'independent')",-0.1142419,-0.1102185,0.0040234
69,-1.59987,-1.5708425,"('lazy', 'industrious')",-1.59987,-1.5708425,0.0290275
70,1.7489399,1.7300817,"('lethargic', 'energetic')",1.7489399,1.7300817,-0.0188582
71,0.546683,0.5959437,"('diffident', 'self-confident')",0.546683,0.5959437,0.0492607
72,0.9513707,1.009792,"('unambitious', 'ambitious')",0.9513707,1.009792,0.0584213
73,-2.7505944,-2.7749104,"('helpless', 'self-reliant')",-2.7505944,-2.7749104,-0.024316
74,0.034918495,-0.042365383,"('undedicated', 'dedicated')",0.0349185,-0.0423654,-0.0772839
75,-0.7555618,-0.57424676,"('meek', 'impulsive')",-0.7555618,-0.5742468,0.181315
76,0.87129045,0.81237894,"('anxious', 'daring')",0.8712904,0.8123789,-0.0589115
77,-0.9329461,-0.89242244,"('unmotivated', 'motivated')",-0.9329461,-0.8924224,0.0405237
78,-0.5244692,-0.6048162,"('nonresilient', 'resilient')",-0.5244692,-0.6048162,-0.080347
79,-0.22729705,-0.106074974,"('wavering', 'unwavering')",-0.2272971,-0.106075,0.1212221
80,-0.048054166,-0.06509814,"('dominated', 'dominating')",-0.0480542,-0.0650981,-0.0170439
81,0.39802802,0.46542516,"('submissive', 'aggressive')",0.398028,0.4654252,0.0673972
82,6.5934916,6.7043858,"('poor', 'rich')",6.5934916,6.7043858,0.1108942
83,-0.4927186,-0.40142858,"('powerless', 'powerful')",-0.4927186,-0.4014286,0.09129
