,cheetah_male,cheetah_female,tuple,average_male,average_female,female-male
0,0.14338964,-0.02435307,"('unsociable', 'sociable')",0.1433896,-0.0243531,-0.1677427
1,-0.8380512,-0.9159731,"('unfriendly', 'friendly')",-0.8380512,-0.9159731,-0.0779219
2,0.7238808,0.6941793,"('unlikable', 'likable')",0.7238808,0.6941793,-0.0297015
3,-0.99083024,-0.7250616,"('repellent', 'pleasant')",-0.9908302,-0.7250616,0.2657686
4,-1.0060327,-1.2132704,"('disliked', 'liked')",-1.0060327,-1.2132704,-0.2072377
5,-0.47275168,-0.5203931,"('distant', 'outgoing')",-0.4727517,-0.5203931,-0.0476414
6,-0.8777316,-0.924147,"('distant', 'open')",-0.8777316,-0.924147,-0.0464154
7,-0.11714694,0.02130726,"('insensitive', 'sensitive')",-0.1171469,0.0213073,0.1384542
8,-0.8162381,-0.8843751,"('unaffectionate', 'affectionate')",-0.8162381,-0.8843751,-0.068137
9,-0.7513531,-0.7200515,"('unaffectionate', 'caring')",-0.7513531,-0.7200515,0.0313016
10,-1.2521356,-1.1004856,"('unsympathetic', 'sympathetic')",-1.2521356,-1.1004856,0.15165
11,0.09442802,0.14764963,"('unhelpful', 'helpful')",0.094428,0.1476496,0.0532216
12,-1.0391049,-0.9471909,"('unsupportive', 'supportive')",-1.0391049,-0.9471909,0.091914
13,-0.101571105,-0.027821902,"('impolite', 'polite')",-0.1015711,-0.0278219,0.0737492
14,0.3227362,0.22231302,"('antisocial', 'social')",0.3227362,0.222313,-0.1004232
15,1.1734565,0.90643084,"('boring', 'funny')",1.1734565,0.9064308,-0.2670257
16,0.69234335,0.68402725,"('unpopular', 'popular')",0.6923434,0.6840273,-0.0083161
17,0.21481407,0.18252592,"('nasty', 'nice')",0.2148141,0.1825259,-0.0322882
18,-0.21191892,-0.24271849,"('disagreeable', 'welcoming')",-0.2119189,-0.2427185,-0.0307996
19,-0.21735449,-0.22741592,"('inhospitable', 'hospitable')",-0.2173545,-0.2274159,-0.0100614
20,-0.27018785,-0.1982977,"('rough', 'thoughtful')",-0.2701879,-0.1982977,0.0718902
