,agenda_male,agenda_female,tuple,average_male,average_female,female-male
0,0.39616466,0.31775236,"('unsociable', 'sociable')",0.3961647,0.3177524,-0.0784123
1,0.6243832,0.54226595,"('unfriendly', 'friendly')",0.6243832,0.542266,-0.0821172
2,-0.1022366,-0.06249346,"('unlikable', 'likable')",-0.1022366,-0.0624935,0.0397431
3,0.8259002,0.86513567,"('repellent', 'pleasant')",0.8259002,0.8651357,0.0392355
4,-7.5203156,-7.6155725,"('disliked', 'liked')",-7.5203156,-7.6155725,-0.0952569
5,-1.0210322,-1.0830513,"('distant', 'outgoing')",-1.0210322,-1.0830513,-0.0620191
6,-0.49014226,-0.537534,"('distant', 'open')",-0.4901423,-0.537534,-0.0473917
7,1.3699478,1.4005356,"('insensitive', 'sensitive')",1.3699478,1.4005356,0.0305878
8,0.8538941,0.7735592,"('unaffectionate', 'affectionate')",0.8538941,0.7735592,-0.0803349
9,1.5359067,1.4986405,"('unaffectionate', 'caring')",1.5359067,1.4986405,-0.0372662
10,1.3870993,1.4235971,"('unsympathetic', 'sympathetic')",1.3870993,1.4235971,0.0364978
11,1.6985401,1.7504355,"('unhelpful', 'helpful')",1.6985401,1.7504355,0.0518954
12,-1.4720213,-1.4832808,"('unsupportive', 'supportive')",-1.4720213,-1.4832808,-0.0112595
13,-0.08426438,-0.11654,"('impolite', 'polite')",-0.0842644,-0.11654,-0.0322756
14,0.58927864,0.53124803,"('antisocial', 'social')",0.5892786,0.531248,-0.0580306
15,-0.28752577,-0.39976865,"('boring', 'funny')",-0.2875258,-0.3997687,-0.1122429
16,-1.2027051,-1.1241276,"('unpopular', 'popular')",-1.2027051,-1.1241276,0.0785775
17,-1.0856041,-1.0750526,"('nasty', 'nice')",-1.0856041,-1.0750526,0.0105515
18,-0.5737015,-0.6809424,"('disagreeable', 'welcoming')",-0.5737015,-0.6809424,-0.1072409
19,-0.73862386,-0.7673246,"('inhospitable', 'hospitable')",-0.7386239,-0.7673246,-0.0287007
20,1.0230999,0.96452093,"('rough', 'thoughtful')",1.0230999,0.9645209,-0.058579
21,0.33052173,0.34607336,"('immoral', 'moral')",0.3305217,0.3460734,0.0155517
22,-0.18135703,-0.2346927,"('untrustworthy', 'trustworthy')",-0.181357,-0.2346927,-0.0533357
23,6.9816375,6.9703636,"('insincere', 'sincere')",6.9816375,6.9703636,-0.0112739
24,1.6465101,1.4909514,"('dishonest', 'honest')",1.6465101,1.4909514,-0.1555587
25,0.46822402,0.39051637,"('egoistic', 'altruistic')",0.468224,0.3905164,-0.0777076
26,0.5927388,0.55356854,"('hardhearted', 'benevolent')",0.5927388,0.5535685,-0.0391703
27,1.7977756,1.6157876,"('hardhearted', 'softhearted')",1.7977756,1.6157876,-0.181988
28,1.2112267,1.1620522,"('disloyal', 'loyal')",1.2112267,1.1620522,-0.0491745
29,-1.0097749,-1.1506938,"('unfair', 'fair')",-1.0097749,-1.1506938,-0.1409189
30,1.4779403,1.4417152,"('intolerant', 'tolerant')",1.4779403,1.4417152,-0.0362251
31,-2.237398,-2.2243524,"('evil', 'good')",-2.2373979,-2.2243524,0.0130455
32,0.9269256,0.852881,"('unkind', 'kind')",0.9269256,0.852881,-0.0740446
33,-0.6013559,-0.67573696,"('wrong', 'right')",-0.6013559,-0.675737,-0.0743811
34,5.090142,5.1750555,"('mean', 'honorable')",5.0901418,5.1750555,0.0849137
35,-0.8370195,-0.96423423,"('corrupt', 'incorrupt')",-0.8370195,-0.9642342,-0.1272147
36,-0.8918519,-0.95261383,"('hostile', 'amicable')",-0.8918519,-0.9526138,-0.0607619
37,0.8984057,0.8357068,"('fake', 'genuine')",0.8984057,0.8357068,-0.0626989
38,-0.0010181442,-0.014657367,"('untruthful', 'truthful')",-0.0010181,-0.0146574,-0.0136393
39,0.62805957,0.5499796,"('exploitative', 'cooperative')",0.6280596,0.5499796,-0.07808
40,-1.9667197,-2.124847,"('stingy', 'generous')",-1.9667197,-2.1248469,-0.1581272
41,-0.021321684,-0.064790696,"('unforgiving', 'forgiving')",-0.0213217,-0.0647907,-0.043469
42,-2.565103,-2.5972753,"('unreliable', 'reliable')",-2.5651031,-2.5972753,-0.0321722
43,1.5467062,1.5240941,"('irresponsible', 'responsible')",1.5467062,1.5240941,-0.0226121
44,-1.7001011,-1.6852635,"('prejudiced', 'unprejudiced')",-1.7001011,-1.6852635,0.0148376
45,0.15746784,0.16381547,"('incompetent', 'competent')",0.1574678,0.1638155,0.0063477
46,-0.031249326,-0.027722806,"('uncompetitive', 'competitive')",-0.0312493,-0.0277228,0.0035265
47,5.6910253,5.806125,"('stupid', 'smart')",5.6910253,5.8061252,0.1150999
48,0.863198,0.80885404,"('unintelligent', 'intelligent')",0.863198,0.808854,-0.054344
49,0.6722296,0.67923707,"('unable', 'able')",0.6722296,0.6792371,0.0070075
50,-0.49723616,-0.53081965,"('clumsy', 'skillful')",-0.4972362,-0.5308197,-0.0335835
51,0.76620084,0.7352408,"('uneducated', 'educated')",0.7662008,0.7352408,-0.03096
52,-1.0228024,-1.1287227,"('irrational', 'rational')",-1.0228024,-1.1287227,-0.1059203
53,-0.2201226,-0.2537879,"('uncreative', 'creative')",-0.2201226,-0.2537879,-0.0336653
54,1.1241837,1.19098,"('incapable', 'capable')",1.1241837,1.19098,0.0667963
55,1.2847705,1.2690103,"('incompetent', 'clever')",1.2847705,1.2690103,-0.0157602
56,1.2207133,1.2146254,"('impractical', 'practical')",1.2207133,1.2146254,-0.0060879
57,-2.2042515,-2.1604571,"('unimaginative', 'imaginative')",-2.2042515,-2.1604571,0.0437944
58,0.19493699,0.15884274,"('undiscriminating', 'discriminating')",0.194937,0.1588427,-0.0360943
59,-0.44957525,-0.49978498,"('foolish', 'wise')",-0.4495752,-0.499785,-0.0502098
60,1.5060825,1.5353034,"('inefficient', 'efficient')",1.5060825,1.5353034,0.0292209
61,0.8112304,0.62016684,"('illogical', 'logical')",0.8112304,0.6201668,-0.1910636
62,0.79859775,0.8708033,"('incompetent', 'brilliant')",0.7985978,0.8708033,0.0722055
63,0.87700593,0.9047385,"('unperceptive', 'insightful')",0.8770059,0.9047385,0.0277326
64,-5.8898716,-5.895503,"('shy', 'confident')",-5.8898716,-5.895503,-0.0056314
65,0.73134774,0.74224705,"('insecure', 'secure')",0.7313477,0.742247,0.0108993
