,scripps_male,scripps_female,tuple,networks_male,networks_female,interactive_male,interactive_female,inc_male,inc_female,average_male,average_female,female-male
0,-2.1947036,-2.311307,"('unsociable', 'sociable')",-1.4476478e-05,-0.07468795,-0.42746437,-0.51152223,-0.7203877,-0.8377228,-0.8356425,-0.93381,-0.0981675
1,-0.8880672,-1.05678,"('unfriendly', 'friendly')",0.55133325,0.24948603,0.7279636,0.62968254,1.8912503,1.7297567,0.57062,0.3880363,-0.1825837
2,0.49965492,0.57896274,"('unlikable', 'likable')",0.29860258,0.3592548,0.20642225,0.3493977,0.43489856,0.5191029,0.3598946,0.4516795,0.0917849
3,-1.3010311,-1.268418,"('repellent', 'pleasant')",-0.12196405,0.016820602,-0.95269257,-0.8469706,-0.06093291,-0.01682387,-0.6091552,-0.5288479,0.0803073
4,0.34403694,0.3295601,"('disliked', 'liked')",-1.2733436,-1.4742956,-0.5817504,-0.63804317,-5.8329315,-6.0949397,-1.8359971,-1.9694296,-0.1334325
5,1.1749028,1.1856309,"('distant', 'outgoing')",0.19522415,-0.050714277,0.6055065,0.5751014,-0.1474253,-0.1686516,0.457052,0.3853416,-0.0717104
6,0.9792491,0.97917163,"('distant', 'open')",-0.29352832,-0.59032685,0.23587318,0.19069868,0.48165026,0.4374354,0.3508111,0.2542447,-0.0965664
7,-1.4026527,-1.4356533,"('insensitive', 'sensitive')",-0.7404659,-0.64066035,-0.23663753,-0.11449782,0.36908093,0.36610594,-0.5026688,-0.4561764,0.0464924
8,0.13764928,-0.018269733,"('unaffectionate', 'affectionate')",0.2661704,0.012221836,0.6255545,0.557842,0.5580813,0.46113193,0.3968639,0.2532315,-0.1436324
9,-0.16542056,-0.27815086,"('unaffectionate', 'caring')",0.6707925,0.5059532,0.64324373,0.6227246,0.99923044,0.94443715,0.5369615,0.448741,-0.0882205
10,-3.2413838,-3.3082747,"('unsympathetic', 'sympathetic')",-0.5350411,-0.45687366,-1.5682331,-1.4375199,-0.6868889,-0.7377156,-1.5078866,-1.485096,0.0227906
11,-1.9455612,-1.929597,"('unhelpful', 'helpful')",0.5641491,0.65890276,0.7998973,0.93766356,1.4997355,1.5173795,0.2295552,0.2960872,0.066532
12,-1.4585993,-1.4292877,"('unsupportive', 'supportive')",0.76505196,0.8930334,-0.01162672,0.12387737,-1.5915056,-1.6422728,-0.5741699,-0.5136625,0.0605074
13,-1.825091,-1.8510878,"('impolite', 'polite')",-0.13997087,-0.04739099,0.080416635,0.100286454,-0.47103179,-0.4879515,-0.5889193,-0.5715359,0.0173834
14,-1.2806356,-1.2818735,"('antisocial', 'social')",0.58855975,0.6820651,0.072464064,0.09157306,-0.8647994,-0.8872592,-0.3711028,-0.3488736,0.0222292
15,0.11607609,0.07763378,"('boring', 'funny')",-0.25418505,-0.420897,1.4941044,1.4777896,0.4055268,0.37960467,0.4403805,0.3785328,-0.0618477
16,0.26808766,0.30146182,"('unpopular', 'popular')",-0.5654408,-0.6207276,0.046240553,-0.010039367,0.4285966,0.43493176,0.044371,0.0264067,-0.0179643
