,masco_male,masco_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.122953646,-0.042501543,"('unsociable', 'sociable')",-0.25366807,-0.4627309,-0.0653572,-0.2526162,-0.187259
1,-1.2803446,-1.2879837,"('unfriendly', 'friendly')",1.4129384,1.2272016,0.0662969,-0.030391,-0.0966879
2,0.97576773,1.0220846,"('unlikable', 'likable')",0.982981,1.0160475,0.9793744,1.0190661,0.0396917
3,0.30268067,0.3608545,"('repellent', 'pleasant')",0.8701251,0.8461064,0.5864029,0.6034805,0.0170776
4,-0.027842559,-0.03997426,"('disliked', 'liked')",-6.550898,-6.6460314,-3.2893703,-3.3430028,-0.0536325
5,-1.3957038,-1.3078786,"('distant', 'outgoing')",-0.43161657,-0.48038337,-0.9136602,-0.894131,0.0195292
6,-2.0489173,-1.9574289,"('distant', 'open')",-0.39644805,-0.47809672,-1.2226827,-1.2177628,0.0049199
7,-0.6046698,-0.5697151,"('insensitive', 'sensitive')",0.062101103,0.063077524,-0.2712843,-0.2533188,0.0179655
8,-1.0831139,-1.0988501,"('unaffectionate', 'affectionate')",0.80952364,0.7540953,-0.1367951,-0.1723774,-0.0355823
9,-1.2032579,-1.2351221,"('unaffectionate', 'caring')",0.9382719,0.9003048,-0.132493,-0.1674086,-0.0349156
10,-0.22989903,-0.31850404,"('unsympathetic', 'sympathetic')",-0.76719725,-0.83495635,-0.4985482,-0.5767302,-0.078182
11,-0.5324228,-0.53437406,"('unhelpful', 'helpful')",1.2860781,1.394409,0.3768277,0.4300174,0.0531897
12,-0.2891343,-0.253016,"('unsupportive', 'supportive')",-2.2312803,-2.273651,-1.2602073,-1.2633334,-0.0031261
13,0.06475343,0.04898657,"('impolite', 'polite')",-0.8841931,-0.856207,-0.4097199,-0.4036102,0.0061097
14,1.0447569,0.9516632,"('antisocial', 'social')",0.28344667,0.12723373,0.6641018,0.5394484,-0.1246534
15,-0.19245228,-0.2399957,"('boring', 'funny')",0.10139991,0.10216984,-0.0455262,-0.0689129,-0.0233867
16,-0.35204184,-0.29212275,"('unpopular', 'popular')",0.56813425,0.5143,0.1080462,0.1110886,0.0030424
17,-0.14586592,-0.05215401,"('nasty', 'nice')",-0.79931873,-0.71090174,-0.4725923,-0.3815279,0.0910644
18,-0.5868912,-0.54524505,"('disagreeable', 'welcoming')",-0.41693813,-0.53617764,-0.5019146,-0.5407113,-0.0387967
19,-1.9258423,-1.8555634,"('inhospitable', 'hospitable')",-0.7916526,-0.7008787,-1.3587475,-1.278221,0.0805265
20,0.1120781,0.08461976,"('rough', 'thoughtful')",1.089536,1.0342329,0.600807,0.5594263,-0.0413807
21,0.5874158,0.46805426,"('immoral', 'moral')",-0.32077092,-0.36189193,0.1333224,0.0530812,-0.0802412
22,0.3197572,0.2680793,"('untrustworthy', 'trustworthy')",-0.9221083,-1.033666,-0.3011755,-0.3827934,-0.0816179
23,-0.692398,-0.73709357,"('insincere', 'sincere')",5.2786374,5.247273,2.2931197,2.2550898,-0.0380299
24,-0.095014125,-0.1788965,"('dishonest', 'honest')",0.4680157,0.4528006,0.1865008,0.136952,-0.0495488
25,0.054790333,0.08586775,"('egoistic', 'altruistic')",1.2526158,1.2196382,0.6537031,0.652753,-0.0009501
26,0.31750092,0.22577171,"('hardhearted', 'benevolent')",1.6351163,1.5590165,0.9763086,0.8923941,-0.0839145
27,-0.4519405,-0.43168455,"('hardhearted', 'softhearted')",1.0730805,0.95133585,0.31057,0.2598256,-0.0507444
