,corteva_male,corteva_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.1371851,-1.2846978,"('unsociable', 'sociable')",-0.44773063,-0.5327941,-0.7924579,-0.9087459,-0.116288
1,-1.5537276,-1.6448798,"('unfriendly', 'friendly')",1.5431416,1.4412442,-0.005293,-0.1018178,-0.0965248
2,1.2311267,1.2320085,"('unlikable', 'likable')",0.6489346,0.7279004,0.9400306,0.9799544,0.0399238
3,0.2691166,0.4611373,"('repellent', 'pleasant')",0.3567083,0.46802557,0.3129125,0.4645814,0.1516689
4,0.031807564,0.04134789,"('disliked', 'liked')",-6.3005853,-6.2785406,-3.1343889,-3.1185963,0.0157926
5,-1.1198899,-1.1381512,"('distant', 'outgoing')",-0.27263746,-0.25867897,-0.6962637,-0.698415,-0.0021513
6,-1.6726694,-1.633551,"('distant', 'open')",-0.07130413,-0.06329207,-0.8719867,-0.8484215,0.0235652
7,-0.5849296,-0.48955256,"('insensitive', 'sensitive')",0.3595545,0.5044093,-0.1126875,0.0074284,0.1201159
8,-0.8370519,-0.9646591,"('unaffectionate', 'affectionate')",0.81220794,0.69378155,-0.012422,-0.1354388,-0.1230168
9,-1.056507,-1.1782881,"('unaffectionate', 'caring')",0.9344311,0.8697868,-0.061038,-0.1542507,-0.0932127
10,-0.625974,-0.6878862,"('unsympathetic', 'sympathetic')",-0.6321769,-0.5914447,-0.6290754,-0.6396654,-0.01059
11,-0.20277904,-0.36002862,"('unhelpful', 'helpful')",1.6863451,1.7387553,0.741783,0.6893634,-0.0524196
12,-0.4331743,-0.35180363,"('unsupportive', 'supportive')",-1.7405857,-1.6220491,-1.08688,-0.9869264,0.0999536
13,0.005562766,-0.23606136,"('impolite', 'polite')",-0.6187352,-0.6177742,-0.3065862,-0.4269178,-0.1203316
14,0.5330207,0.5796652,"('antisocial', 'social')",-0.16115701,-0.16038112,0.1859318,0.209642,0.0237102
15,0.1367999,-0.11361176,"('boring', 'funny')",0.77990246,0.71210575,0.4583512,0.299247,-0.1591042
16,-0.5503816,-0.52009815,"('unpopular', 'popular')",0.32045454,0.37102738,-0.1149635,-0.0745354,0.0404281
17,-0.22698551,-0.22347476,"('nasty', 'nice')",-0.063696004,-0.057095684,-0.1453408,-0.1402852,0.0050556
