,frontier_male,frontier_female,tuple,communications_male,communications_female,print_male,print_female,average_male,average_female,female-male
0,-1.0014523,-1.1233473,"('unsociable', 'sociable')",-0.23879412,-0.41881967,-0.018303432,-0.14592907,-0.4195166,-0.5626987,-0.1431821
1,1.0822186,1.1068801,"('unfriendly', 'friendly')",0.77850366,0.62217814,0.63603145,0.48550692,0.8322512,0.7381884,-0.0940628
2,0.9147252,1.0024321,"('unlikable', 'likable')",1.2393005,1.2906749,0.19082561,0.23190607,0.7816171,0.8416711,0.060054
3,-1.099584,-1.1323531,"('repellent', 'pleasant')",0.02006972,-0.013987292,0.8789275,0.8774753,-0.0668622,-0.0896217,-0.0227595
4,0.49641848,0.4799527,"('disliked', 'liked')",-0.7048274,-0.7862832,-8.069915,-8.128743,-2.7594414,-2.8116913,-0.0522499
5,1.1609846,1.2744035,"('distant', 'outgoing')",-0.3431098,-0.36580706,-0.948643,-1.0109419,-0.0435894,-0.0341152,0.0094742
6,0.85309875,0.97851086,"('distant', 'open')",-1.1416832,-1.1688244,-0.5268021,-0.590446,-0.2717955,-0.2602532,0.0115423
7,-0.04624079,-0.07374698,"('insensitive', 'sensitive')",0.36217064,0.38140562,0.777557,0.73577523,0.3644956,0.3478113,-0.0166843
8,1.5216643,1.5554229,"('unaffectionate', 'affectionate')",-0.49376208,-0.5411426,0.37682286,0.2542137,0.4682417,0.4228313,-0.0454104
9,1.603299,1.6454573,"('unaffectionate', 'caring')",0.15507872,0.11745703,1.0798517,1.0226504,0.9460766,0.9285216,-0.017555
10,-1.1567094,-1.2296524,"('unsympathetic', 'sympathetic')",-0.7312043,-0.7951135,0.97732,0.90332776,-0.3035312,-0.3738128,-0.0702816
11,-0.45939022,-0.51626563,"('unhelpful', 'helpful')",0.75667834,0.722639,1.6823186,1.6939375,0.6598689,0.633437,-0.0264319
12,0.96297324,0.96984726,"('unsupportive', 'supportive')",0.13215667,0.14649075,-1.602167,-1.6594222,-0.1690123,-0.181028,-0.0120157
13,-0.52935606,-0.6265524,"('impolite', 'polite')",0.19141349,0.16467208,0.59253466,0.5573057,0.084864,0.0318085,-0.0530555
14,-0.67139316,-0.7232769,"('antisocial', 'social')",1.2384081,1.1892273,0.23229326,0.20923567,0.2664361,0.225062,-0.0413741
15,0.7186303,0.7434551,"('boring', 'funny')",0.3632194,0.36304152,-0.21632499,-0.21162736,0.2885082,0.2982897,0.0097815
16,-0.74041665,-0.7762758,"('unpopular', 'popular')",-0.6074735,-0.6629187,-0.34104404,-0.28448895,-0.5629781,-0.5745611,-0.011583
17,-0.6121412,-0.634102,"('nasty', 'nice')",-1.0395852,-0.98393923,-0.11289393,-0.098402545,-0.5882068,-0.5721479,0.0160589
18,0.31145144,0.37774643,"('disagreeable', 'welcoming')",0.34390163,0.3272371,-1.1204079,-1.2009604,-0.1550183,-0.1653256,-0.0103073
19,0.07896586,0.14300865,"('inhospitable', 'hospitable')",-0.57294416,-0.6045242,-0.7781373,-0.81539935,-0.4240386,-0.4256383,-0.0015997
20,-1.0953763,-1.1065935,"('rough', 'thoughtful')",0.24590713,0.31257716,0.5770751,0.48924565,-0.090798,-0.1015902,-0.0107922
21,-1.2810074,-1.3740802,"('immoral', 'moral')",0.6157943,0.5559521,0.22531652,0.26897168,-0.1466322,-0.1830521,-0.0364199
22,0.0116831055,-0.0044264253,"('untrustworthy', 'trustworthy')",0.48734695,0.44378054,-0.45025146,-0.49200478,0.0162595,-0.0175502,-0.0338097
23,-0.3455647,-0.42207953,"('insincere', 'sincere')",0.82163316,0.70113194,6.363396,6.2971497,2.2798216,2.1920673,-0.0877543
24,0.5577,0.5140414,"('dishonest', 'honest')",0.373238,0.3849575,1.2223898,1.1405467,0.717776,0.6798485,-0.0379275
25,1.4332294,1.4894102,"('egoistic', 'altruistic')",0.8291106,0.84886396,0.42943427,0.34967595,0.8972581,0.8959833,-0.0012748
26,1.6283886,1.7594738,"('hardhearted', 'benevolent')",0.507296,0.50878567,0.526574,0.5173903,0.8874195,0.9285499,0.0411304
27,0.17329313,0.17232591,"('hardhearted', 'softhearted')",-0.3982941,-0.3329862,0.96385956,0.75434476,0.2462862,0.1978948,-0.0483914
28,0.7595103,0.701412,"('disloyal', 'loyal')",-0.2689756,-0.442054,0.61156607,0.5424192,0.3673669,0.2672591,-0.1001078
29,-0.012568162,0.0077733025,"('unfair', 'fair')",-0.38016817,-0.3562064,-0.6502727,-0.73380387,-0.3476697,-0.3607457,-0.013076
30,-0.22076194,-0.32608977,"('intolerant', 'tolerant')",1.0251433,0.93621296,0.92538804,0.8398491,0.5765898,0.4833241,-0.0932657
31,0.124945864,0.24403067,"('evil', 'good')",-0.5082053,-0.5720648,-1.7471201,-1.8066669,-0.7101266,-0.711567,-0.0014404
32,-0.12693216,-0.141498,"('unkind', 'kind')",0.3971733,0.3660488,1.332379,1.242055,0.5342067,0.4888686,-0.0453381
