,discretion_male,discretion_female,tuple,average_male,average_female,female-male
0,-0.92173684,-0.8973914,"('unsociable', 'sociable')",-0.9217368,-0.8973914,0.0243454
1,1.4474499,1.2890735,"('unfriendly', 'friendly')",1.4474499,1.2890735,-0.1583764
2,-0.4716657,-0.43799612,"('unlikable', 'likable')",-0.4716657,-0.4379961,0.0336696
3,0.3474485,0.37522712,"('repellent', 'pleasant')",0.3474485,0.3752271,0.0277786
4,-6.766967,-7.039646,"('disliked', 'liked')",-6.7669668,-7.0396461,-0.2726793
5,-0.59707683,-0.7602253,"('distant', 'outgoing')",-0.5970768,-0.7602253,-0.1631485
6,0.06397883,-0.215226,"('distant', 'open')",0.0639788,-0.215226,-0.2792048
7,0.93459,1.0236447,"('insensitive', 'sensitive')",0.93459,1.0236447,0.0890547
8,1.2998329,1.1148808,"('unaffectionate', 'affectionate')",1.2998329,1.1148808,-0.1849521
9,1.519898,1.5154448,"('unaffectionate', 'caring')",1.5198981,1.5154448,-0.0044533
10,0.39134297,0.5198267,"('unsympathetic', 'sympathetic')",0.391343,0.5198267,0.1284837
11,1.1451077,1.3183815,"('unhelpful', 'helpful')",1.1451077,1.3183815,0.1732738
12,-2.362379,-2.324461,"('unsupportive', 'supportive')",-2.3623791,-2.324461,0.0379181
13,-1.3001877,-1.1130365,"('impolite', 'polite')",-1.3001877,-1.1130365,0.1871512
14,-0.4785523,-0.25381118,"('antisocial', 'social')",-0.4785523,-0.2538112,0.2247411
15,0.4308408,0.34918392,"('boring', 'funny')",0.4308408,0.3491839,-0.0816569
16,-0.60293394,-0.7307756,"('unpopular', 'popular')",-0.6029339,-0.7307756,-0.1278417
17,-0.671524,-0.5783758,"('nasty', 'nice')",-0.671524,-0.5783758,0.0931482
18,-0.90095615,-1.0645853,"('disagreeable', 'welcoming')",-0.9009562,-1.0645853,-0.1636291
19,-0.27086812,-0.46032867,"('inhospitable', 'hospitable')",-0.2708681,-0.4603287,-0.1894606
20,0.8839194,0.8203876,"('rough', 'thoughtful')",0.8839194,0.8203876,-0.0635318
21,-0.9399654,-0.7113968,"('immoral', 'moral')",-0.9399654,-0.7113968,0.2285686
22,-0.75231653,-0.6701468,"('untrustworthy', 'trustworthy')",-0.7523165,-0.6701468,0.0821697
23,5.927704,6.100216,"('insincere', 'sincere')",5.9277039,6.1002159,0.172512
24,1.1133351,1.10803,"('dishonest', 'honest')",1.1133351,1.10803,-0.0053051
25,0.9227083,0.6567441,"('egoistic', 'altruistic')",0.9227083,0.6567441,-0.2659642
26,1.4112531,1.414714,"('hardhearted', 'benevolent')",1.4112531,1.414714,0.0034609
27,1.9082372,1.5666506,"('hardhearted', 'softhearted')",1.9082372,1.5666506,-0.3415866
28,1.3747789,1.3823333,"('disloyal', 'loyal')",1.3747789,1.3823333,0.0075544
29,-0.6318232,-0.8167499,"('unfair', 'fair')",-0.6318232,-0.8167499,-0.1849267
30,0.9540281,1.0362159,"('intolerant', 'tolerant')",0.9540281,1.0362159,0.0821878
31,-0.59535253,-0.9497793,"('evil', 'good')",-0.5953525,-0.9497793,-0.3544268
32,0.92448694,0.8828001,"('unkind', 'kind')",0.9244869,0.8828001,-0.0416868
33,-0.22327526,-0.3025009,"('wrong', 'right')",-0.2232753,-0.3025009,-0.0792256
34,4.6575394,4.8924413,"('mean', 'honorable')",4.6575394,4.8924413,0.2349019
35,-0.0967876,-0.4996105,"('corrupt', 'incorrupt')",-0.0967876,-0.4996105,-0.4028229
36,-0.04892426,-0.32069194,"('hostile', 'amicable')",-0.0489243,-0.3206919,-0.2717676
37,0.85249704,0.7894825,"('fake', 'genuine')",0.852497,0.7894825,-0.0630145
38,-0.6603904,-0.6021142,"('untruthful', 'truthful')",-0.6603904,-0.6021142,0.0582762
39,0.24124119,0.3732499,"('exploitative', 'cooperative')",0.2412412,0.3732499,0.1320087
40,-1.6023728,-1.9156271,"('stingy', 'generous')",-1.6023728,-1.9156271,-0.3132543
41,-0.32923993,-0.29872683,"('unforgiving', 'forgiving')",-0.3292399,-0.2987268,0.0305131
42,-2.2397232,-2.3365302,"('unreliable', 'reliable')",-2.2397232,-2.3365302,-0.096807
43,0.4405934,0.59302855,"('irresponsible', 'responsible')",0.4405934,0.5930285,0.1524351
44,-1.2946484,-1.3762391,"('prejudiced', 'unprejudiced')",-1.2946484,-1.3762391,-0.0815907
45,-0.28252217,-0.33108777,"('incompetent', 'competent')",-0.2825222,-0.3310878,-0.0485656
46,-0.84958243,-0.7551383,"('uncompetitive', 'competitive')",-0.8495824,-0.7551383,0.0944441
47,4.583174,4.875096,"('stupid', 'smart')",4.5831742,4.8750958,0.2919216
48,-0.39415255,-0.24759442,"('unintelligent', 'intelligent')",-0.3941526,-0.2475944,0.1465582
49,-0.17547442,-0.142387,"('unable', 'able')",-0.1754744,-0.142387,0.0330874
50,-0.11335499,-0.21990252,"('clumsy', 'skillful')",-0.113355,-0.2199025,-0.1065475
51,-0.17289454,-0.15827468,"('uneducated', 'educated')",-0.1728945,-0.1582747,0.0146198
52,-0.124880694,-0.36831787,"('irrational', 'rational')",-0.1248807,-0.3683179,-0.2434372
53,0.52165085,0.3718261,"('uncreative', 'creative')",0.5216509,0.3718261,-0.1498248
54,1.0004535,1.0312063,"('incapable', 'capable')",1.0004535,1.0312063,0.0307528
55,0.21199092,0.41385368,"('incompetent', 'clever')",0.2119909,0.4138537,0.2018628
56,0.31791434,0.5405293,"('impractical', 'practical')",0.3179143,0.5405293,0.222615
57,-2.3015087,-2.3322778,"('unimaginative', 'imaginative')",-2.3015087,-2.3322778,-0.0307691
58,0.48044756,0.39154947,"('undiscriminating', 'discriminating')",0.4804476,0.3915495,-0.0888981
59,-0.22636719,-0.2939238,"('foolish', 'wise')",-0.2263672,-0.2939238,-0.0675566
60,-0.659259,-0.24723756,"('inefficient', 'efficient')",-0.659259,-0.2472376,0.4120214
61,0.35482556,0.22117004,"('illogical', 'logical')",0.3548256,0.22117,-0.1336556
62,-0.33031884,-0.132979,"('incompetent', 'brilliant')",-0.3303188,-0.132979,0.1973398
63,-0.57495785,-0.44667277,"('unperceptive', 'insightful')",-0.5749578,-0.4466728,0.128285
64,-6.955816,-6.8176713,"('shy', 'confident')",-6.9558158,-6.8176713,0.1381445
65,-0.056296173,0.16857392,"('insecure', 'secure')",-0.0562962,0.1685739,0.2248701
66,0.040353872,-0.084381506,"('inactive', 'active')",0.0403539,-0.0843815,-0.1247354
67,-0.8870329,-0.7667023,"('doubtful', 'determined')",-0.8870329,-0.7667023,0.1203306
68,-1.139737,-1.212915,"('dependent', 'independent')",-1.139737,-1.2129149,-0.0731779
69,-1.548683,-1.7194061,"('lazy', 'industrious')",-1.548683,-1.7194061,-0.1707231
70,1.0520457,1.0673674,"('lethargic', 'energetic')",1.0520457,1.0673674,0.0153217
71,0.20142782,0.15466954,"('diffident', 'self-confident')",0.2014278,0.1546695,-0.0467583
72,0.20113385,0.3395977,"('unambitious', 'ambitious')",0.2011338,0.3395977,0.1384639
73,-2.6898959,-2.7552488,"('helpless', 'self-reliant')",-2.6898959,-2.7552488,-0.0653529
74,0.2775679,0.16131411,"('undedicated', 'dedicated')",0.2775679,0.1613141,-0.1162538
75,-0.15013006,-0.20760924,"('meek', 'impulsive')",-0.1501301,-0.2076092,-0.0574791
76,0.073135436,0.10683257,"('anxious', 'daring')",0.0731354,0.1068326,0.0336972
77,-1.6141626,-1.3683904,"('unmotivated', 'motivated')",-1.6141626,-1.3683904,0.2457722
78,-0.77400273,-0.8245388,"('nonresilient', 'resilient')",-0.7740027,-0.8245388,-0.0505361
79,0.2379224,0.11246756,"('wavering', 'unwavering')",0.2379224,0.1124676,-0.1254548
80,-0.7343869,-0.63788396,"('dominated', 'dominating')",-0.7343869,-0.637884,0.0965029
81,-0.50644255,-0.27526203,"('submissive', 'aggressive')",-0.5064425,-0.275262,0.2311805
