,illegal_male,illegal_female,tuple,average_male,average_female,female-male
0,0.07273133,-0.14917421,"('unsociable', 'sociable')",0.0727313,-0.1491742,-0.2219055
1,1.2879678,1.4564656,"('unfriendly', 'friendly')",1.2879678,1.4564656,0.1684978
2,0.020025149,0.17472936,"('unlikable', 'likable')",0.0200251,0.1747294,0.1547043
3,0.5771014,0.64604867,"('repellent', 'pleasant')",0.5771014,0.6460487,0.0689473
4,-7.806116,-7.790322,"('disliked', 'liked')",-7.8061161,-7.7903218,0.0157943
5,-0.79352677,-0.5171239,"('distant', 'outgoing')",-0.7935268,-0.5171239,0.2764029
6,-0.6063887,-0.3265546,"('distant', 'open')",-0.6063887,-0.3265546,0.2798341
7,1.0303907,1.1300955,"('insensitive', 'sensitive')",1.0303907,1.1300955,0.0997048
8,0.7468672,0.940663,"('unaffectionate', 'affectionate')",0.7468672,0.940663,0.1937958
9,1.2913435,1.4743918,"('unaffectionate', 'caring')",1.2913435,1.4743918,0.1830483
10,1.2056787,1.1601385,"('unsympathetic', 'sympathetic')",1.2056787,1.1601385,-0.0455402
11,2.0709937,2.0910723,"('unhelpful', 'helpful')",2.0709937,2.0910723,0.0200786
12,-1.7265244,-1.6680434,"('unsupportive', 'supportive')",-1.7265244,-1.6680434,0.058481
13,-0.020902,-0.12417063,"('impolite', 'polite')",-0.020902,-0.1241706,-0.1032686
14,0.22162895,0.005732065,"('antisocial', 'social')",0.2216289,0.0057321,-0.2158968
15,0.032962874,0.10469281,"('boring', 'funny')",0.0329629,0.1046928,0.0717299
16,-1.1089481,-1.0056149,"('unpopular', 'popular')",-1.1089481,-1.0056149,0.1033332
17,-1.623298,-1.3813376,"('nasty', 'nice')",-1.623298,-1.3813376,0.2419604
18,-0.5752858,-0.5484542,"('disagreeable', 'welcoming')",-0.5752858,-0.5484542,0.0268316
19,-0.8084666,-0.5395954,"('inhospitable', 'hospitable')",-0.8084666,-0.5395954,0.2688712
20,0.4132865,0.37984294,"('rough', 'thoughtful')",0.4132865,0.3798429,-0.0334436
21,-0.12593037,-0.13003376,"('immoral', 'moral')",-0.1259304,-0.1300338,-0.0041034
22,-0.5172695,-0.6085583,"('untrustworthy', 'trustworthy')",-0.5172695,-0.6085583,-0.0912888
23,6.8008933,6.9216113,"('insincere', 'sincere')",6.8008933,6.9216113,0.120718
24,1.6606786,1.7417293,"('dishonest', 'honest')",1.6606786,1.7417293,0.0810507
25,0.3389408,0.29918772,"('egoistic', 'altruistic')",0.3389408,0.2991877,-0.0397531
26,0.57915103,0.572407,"('hardhearted', 'benevolent')",0.579151,0.572407,-0.006744
27,0.7105929,0.7924273,"('hardhearted', 'softhearted')",0.7105929,0.7924273,0.0818344
28,1.4144772,1.460249,"('disloyal', 'loyal')",1.4144772,1.4602489,0.0457717
29,-1.0656635,-1.03149,"('unfair', 'fair')",-1.0656635,-1.03149,0.0341735
30,1.7779013,1.665432,"('intolerant', 'tolerant')",1.7779013,1.665432,-0.1124693
31,-2.6933181,-2.4510188,"('evil', 'good')",-2.6933181,-2.4510188,0.2422993
32,1.1841836,1.095358,"('unkind', 'kind')",1.1841836,1.095358,-0.0888256
33,-0.6934443,-0.6353441,"('wrong', 'right')",-0.6934443,-0.6353441,0.0581002
34,4.490844,4.753738,"('mean', 'honorable')",4.4908438,4.7537379,0.2628941
35,-1.7132465,-1.6009105,"('corrupt', 'incorrupt')",-1.7132465,-1.6009105,0.112336
36,-1.16154,-1.0833676,"('hostile', 'amicable')",-1.16154,-1.0833676,0.0781724
37,-0.09015913,0.005984312,"('fake', 'genuine')",-0.0901591,0.0059843,0.0961434
38,0.17169067,0.110622525,"('untruthful', 'truthful')",0.1716907,0.1106225,-0.0610682
39,-0.61602044,-0.5507393,"('exploitative', 'cooperative')",-0.6160204,-0.5507393,0.0652811
40,-1.653847,-1.6027181,"('stingy', 'generous')",-1.653847,-1.6027181,0.0511289
41,-0.31346938,-0.424684,"('unforgiving', 'forgiving')",-0.3134694,-0.424684,-0.1112146
42,-2.2360933,-2.1310205,"('unreliable', 'reliable')",-2.2360933,-2.1310205,0.1050728
43,1.4584929,1.4052523,"('irresponsible', 'responsible')",1.4584929,1.4052523,-0.0532406
44,-1.4173353,-1.5797613,"('prejudiced', 'unprejudiced')",-1.4173353,-1.5797613,-0.162426
45,-0.061894096,-0.070379466,"('incompetent', 'competent')",-0.0618941,-0.0703795,-0.0084854
46,-0.04129041,-0.10060464,"('uncompetitive', 'competitive')",-0.0412904,-0.1006046,-0.0593142
47,5.1496887,5.362495,"('stupid', 'smart')",5.1496887,5.3624949,0.2128062
48,1.2873373,1.2788976,"('unintelligent', 'intelligent')",1.2873373,1.2788976,-0.0084397
49,-0.4037344,-0.11836907,"('unable', 'able')",-0.4037344,-0.1183691,0.2853653
50,-0.29634836,-0.06340848,"('clumsy', 'skillful')",-0.2963484,-0.0634085,0.2329399
51,0.8498454,0.85676026,"('uneducated', 'educated')",0.8498454,0.8567603,0.0069149
52,-1.295836,-1.0808613,"('irrational', 'rational')",-1.295836,-1.0808613,0.2149747
53,0.3241255,0.47010753,"('uncreative', 'creative')",0.3241255,0.4701075,0.145982
54,1.0862672,1.3519161,"('incapable', 'capable')",1.0862672,1.3519161,0.2656489
55,1.3917843,1.2819263,"('incompetent', 'clever')",1.3917843,1.2819263,-0.109858
56,1.0196055,0.9091198,"('impractical', 'practical')",1.0196055,0.9091198,-0.1104857
57,-2.4117987,-2.3766987,"('unimaginative', 'imaginative')",-2.4117987,-2.3766987,0.0351
58,-0.33076385,-0.283042,"('undiscriminating', 'discriminating')",-0.3307638,-0.283042,0.0477218
59,-0.9319395,-0.53079647,"('foolish', 'wise')",-0.9319395,-0.5307965,0.401143
60,1.0443605,0.86058235,"('inefficient', 'efficient')",1.0443605,0.8605824,-0.1837781
61,0.051271312,0.0590474,"('illogical', 'logical')",0.0512713,0.0590474,0.0077761
62,1.1770948,1.2211617,"('incompetent', 'brilliant')",1.1770948,1.2211617,0.0440669
63,0.71274227,0.7625238,"('unperceptive', 'insightful')",0.7127423,0.7625238,0.0497815
64,-6.2345424,-6.290758,"('shy', 'confident')",-6.2345424,-6.2907581,-0.0562157
65,1.0793716,1.0600872,"('insecure', 'secure')",1.0793716,1.0600872,-0.0192844
66,-0.48006803,-0.43130797,"('inactive', 'active')",-0.480068,-0.431308,0.04876
67,-0.7810129,-0.8752245,"('doubtful', 'determined')",-0.7810129,-0.8752245,-0.0942116
68,-0.5319194,-0.4826671,"('dependent', 'independent')",-0.5319194,-0.4826671,0.0492523
69,-2.3614764,-2.2401493,"('lazy', 'industrious')",-2.3614764,-2.2401493,0.1213271
70,1.437496,1.4643129,"('lethargic', 'energetic')",1.4374959,1.4643129,0.026817
71,-0.14009519,0.06741772,"('diffident', 'self-confident')",-0.1400952,0.0674177,0.2075129
72,0.82528067,0.874544,"('unambitious', 'ambitious')",0.8252807,0.874544,0.0492633
73,-3.665934,-3.4725487,"('helpless', 'self-reliant')",-3.6659341,-3.4725487,0.1933854
74,0.32708538,0.27000213,"('undedicated', 'dedicated')",0.3270854,0.2700021,-0.0570833
75,-0.91842204,-0.78172904,"('meek', 'impulsive')",-0.918422,-0.781729,0.136693
76,1.2092146,1.121675,"('anxious', 'daring')",1.2092146,1.121675,-0.0875396
77,-0.88097954,-0.9633911,"('unmotivated', 'motivated')",-0.8809795,-0.9633911,-0.0824116
78,-0.51262784,-0.4754046,"('nonresilient', 'resilient')",-0.5126278,-0.4754046,0.0372232
79,-0.5205433,-0.2690707,"('wavering', 'unwavering')",-0.5205433,-0.2690707,0.2514726
80,0.23687802,0.09676744,"('dominated', 'dominating')",0.236878,0.0967674,-0.1401106
81,1.1436064,0.99900347,"('submissive', 'aggressive')",1.1436064,0.9990035,-0.1446029
82,6.5416183,6.7392664,"('poor', 'rich')",6.5416183,6.7392664,0.1976481
83,-0.23309034,-0.31834137,"('powerless', 'powerful')",-0.2330903,-0.3183414,-0.0852511
84,0.14431082,0.30739045,"('inferior', 'superior')",0.1443108,0.3073905,0.1630797
85,-1.9452564,-1.7140894,"('insignificant', 'prestigious')",-1.9452564,-1.7140894,0.231167
86,0.9929332,0.96965224,"('uninfluential', 'influential')",0.9929332,0.9696522,-0.023281
87,-0.3805657,-0.15438071,"('unsuccessful', 'successful')",-0.3805657,-0.1543807,0.226185
88,-0.0155838225,0.07828911,"('low', 'eminent')",-0.0155838,0.0782891,0.0938729
