,forest_male,forest_female,tuple,labs_male,labs_female,inc_male,inc_female,average_male,average_female,female-male
0,0.2540593,0.17720136,"('unsociable', 'sociable')",0.7170936,0.60233927,-0.46461087,-0.66816103,0.1688473,0.0371265,-0.1317208
1,0.5847371,0.50695765,"('unfriendly', 'friendly')",-0.33582047,-0.43117025,2.2127175,2.1536129,0.8205447,0.7431334,-0.0774113
2,0.015798956,-0.044663347,"('unlikable', 'likable')",-0.05899045,-0.029588195,0.561503,0.6770756,0.1727705,0.2009414,0.0281709
3,-0.5279865,-0.46256202,"('repellent', 'pleasant')",0.37282625,0.49614424,0.117476985,0.2206588,-0.0125611,0.084747,0.0973081
4,-0.72661513,-0.7600508,"('disliked', 'liked')",-0.59430254,-0.5995604,-6.186577,-6.2791095,-2.5024981,-2.5462402,-0.0437421
5,-0.62097794,-0.61946887,"('distant', 'outgoing')",-1.0486709,-1.0148783,0.3373976,0.478267,-0.4440838,-0.3853601,0.0587237
6,-0.40774423,-0.44414145,"('distant', 'open')",-1.4738277,-1.4340093,0.9130776,1.0416023,-0.3228315,-0.2788495,0.043982
7,0.9437894,0.93666023,"('insensitive', 'sensitive')",0.64375114,0.79948217,0.30708757,0.32242268,0.6315427,0.6861884,0.0546457
8,0.6931447,0.5724601,"('unaffectionate', 'affectionate')",-0.54061437,-0.6270168,1.1756546,1.2371547,0.4427283,0.3941994,-0.0485289
9,1.3586026,1.3002878,"('unaffectionate', 'caring')",-0.21812096,-0.17333268,1.655476,1.7746727,0.9319859,0.9672093,0.0352234
10,0.67552596,0.61131644,"('unsympathetic', 'sympathetic')",0.28491133,0.3374483,-0.49928218,-0.5194918,0.1537184,0.143091,-0.0106274
11,0.31231487,0.40144566,"('unhelpful', 'helpful')",1.2829956,1.3769121,2.0345926,2.136194,1.2099677,1.3048506,0.0948829
12,0.89452374,0.9285391,"('unsupportive', 'supportive')",-0.08798487,0.12605706,-1.9030361,-1.8787262,-0.3654991,-0.27471,0.0907891
13,0.14520183,0.19143319,"('impolite', 'polite')",-0.068364464,-0.10300509,-0.43442515,-0.53087246,-0.1191959,-0.1474815,-0.0282856
14,1.1116084,1.1245292,"('antisocial', 'social')",1.2472929,1.3045169,-0.8329667,-0.93245316,0.5086449,0.4988643,-0.0097806
15,-0.1457614,-0.15704587,"('boring', 'funny')",-0.059188977,-0.1877221,0.7271287,0.6772013,0.1740594,0.1108111,-0.0632483
16,-0.6039893,-0.65301895,"('unpopular', 'popular')",-0.04919789,-0.12857234,0.92048377,0.86101204,0.0890989,0.0264736,-0.0626253
17,0.065919824,0.09533869,"('nasty', 'nice')",-0.44830048,-0.37782356,-0.12142868,-0.057823516,-0.1679364,-0.1134361,0.0545003
18,-0.5098783,-0.53744084,"('disagreeable', 'welcoming')",-0.16023698,-0.1914542,-0.3334652,-0.42293164,-0.3345268,-0.3839422,-0.0494154
19,-1.5233558,-1.4815356,"('inhospitable', 'hospitable')",-1.4293176,-1.4751989,-0.052757334,0.075106494,-1.0018102,-0.9605427,0.0412675
20,0.29221678,0.3456938,"('rough', 'thoughtful')",1.5389122,1.5270684,0.8798266,0.8509526,0.9036519,0.9079049,0.004253
21,1.0322481,0.9602748,"('immoral', 'moral')",0.82012457,0.8507745,-0.86138904,-0.91430587,0.3303279,0.2989145,-0.0314134
22,-0.11610028,-0.16167653,"('untrustworthy', 'trustworthy')",0.71717066,0.6996645,-1.1008805,-1.0939388,-0.1666034,-0.185317,-0.0187136
23,0.57624185,0.57398736,"('insincere', 'sincere')",0.7637216,0.8486509,5.8882494,5.9467483,2.4094043,2.4564622,0.0470579
24,1.0876445,1.0089426,"('dishonest', 'honest')",-0.549369,-0.45039946,0.8939036,0.91315323,0.477393,0.4905655,0.0131725
25,1.1462858,1.0933672,"('egoistic', 'altruistic')",0.14201201,0.1116668,1.6310102,1.5028725,0.9731026,0.9026355,-0.0704671
26,0.73212,0.61350197,"('hardhearted', 'benevolent')",0.3207579,0.22313905,1.5245464,1.347609,0.8591414,0.7280834,-0.131058
27,-0.39142123,-0.37009326,"('hardhearted', 'softhearted')",0.26183507,0.31779778,1.5986133,1.5472494,0.4896757,0.498318,0.0086423
28,1.2517042,1.146562,"('disloyal', 'loyal')",0.36044326,0.30968523,1.1985239,1.1122482,0.9368904,0.8561651,-0.0807253
