,contract_male,contract_female,tuple,average_male,average_female,female-male
0,0.996979,0.8740187,"('unsociable', 'sociable')",0.996979,0.8740187,-0.1229603
1,1.1035433,1.1828129,"('unfriendly', 'friendly')",1.1035433,1.1828129,0.0792696
2,0.6927797,0.72041214,"('unlikable', 'likable')",0.6927797,0.7204121,0.0276324
3,0.93598217,1.0417515,"('repellent', 'pleasant')",0.9359822,1.0417515,0.1057693
4,-6.92287,-6.8894863,"('disliked', 'liked')",-6.9228702,-6.8894863,0.0333839
5,-1.5965207,-1.4441886,"('distant', 'outgoing')",-1.5965207,-1.4441886,0.1523321
6,-1.2658867,-1.1457851,"('distant', 'open')",-1.2658867,-1.1457851,0.1201016
7,1.6102784,1.6687807,"('insensitive', 'sensitive')",1.6102784,1.6687807,0.0585023
8,0.63277566,0.67378885,"('unaffectionate', 'affectionate')",0.6327757,0.6737888,0.0410131
9,1.7244014,1.885907,"('unaffectionate', 'caring')",1.7244014,1.8859071,0.1615057
10,1.4909374,1.4408596,"('unsympathetic', 'sympathetic')",1.4909374,1.4408596,-0.0500778
11,2.0471652,2.070579,"('unhelpful', 'helpful')",2.0471652,2.0705791,0.0234139
12,-1.0626435,-1.0047094,"('unsupportive', 'supportive')",-1.0626435,-1.0047094,0.0579341
13,0.8122841,0.71779734,"('impolite', 'polite')",0.8122841,0.7177973,-0.0944868
14,1.0115802,0.83755326,"('antisocial', 'social')",1.0115802,0.8375533,-0.1740269
15,0.17858991,0.12783346,"('boring', 'funny')",0.1785899,0.1278335,-0.0507564
16,-0.58350277,-0.53227115,"('unpopular', 'popular')",-0.5835028,-0.5322711,0.0512317
17,-0.09618482,-0.118059516,"('nasty', 'nice')",-0.0961848,-0.1180595,-0.0218747
18,-0.75081563,-0.69024336,"('disagreeable', 'welcoming')",-0.7508156,-0.6902434,0.0605722
19,-1.1678796,-1.0098332,"('inhospitable', 'hospitable')",-1.1678796,-1.0098332,0.1580464
20,0.6103741,0.41146344,"('rough', 'thoughtful')",0.6103741,0.4114634,-0.1989107
21,0.71561605,0.7844176,"('immoral', 'moral')",0.715616,0.7844176,0.0688016
22,0.026939582,0.15668204,"('untrustworthy', 'trustworthy')",0.0269396,0.156682,0.1297424
23,6.8193564,6.9582543,"('insincere', 'sincere')",6.8193564,6.9582543,0.1388979
24,1.8065523,1.9164172,"('dishonest', 'honest')",1.8065523,1.9164172,0.1098649
25,0.9499268,0.98271143,"('egoistic', 'altruistic')",0.9499268,0.9827114,0.0327846
26,1.465226,1.1245104,"('hardhearted', 'benevolent')",1.4652261,1.1245104,-0.3407157
27,1.5654178,1.4841622,"('hardhearted', 'softhearted')",1.5654178,1.4841622,-0.0812556
28,1.2962431,1.2324498,"('disloyal', 'loyal')",1.2962431,1.2324498,-0.0637933
29,-0.92873937,-1.0382655,"('unfair', 'fair')",-0.9287394,-1.0382655,-0.1095261
30,1.3351803,1.4013114,"('intolerant', 'tolerant')",1.3351803,1.4013114,0.0661311
31,-2.2258272,-2.1725657,"('evil', 'good')",-2.2258272,-2.1725657,0.0532615
32,1.7278779,1.6070994,"('unkind', 'kind')",1.7278779,1.6070994,-0.1207785
33,-0.14182141,-0.17791122,"('wrong', 'right')",-0.1418214,-0.1779112,-0.0360898
34,4.405611,4.809485,"('mean', 'honorable')",4.405611,4.809485,0.403874
35,-1.865362,-2.0424023,"('corrupt', 'incorrupt')",-1.865362,-2.0424023,-0.1770403
36,-1.2586156,-1.2778908,"('hostile', 'amicable')",-1.2586156,-1.2778908,-0.0192752
37,0.60460967,0.6110735,"('fake', 'genuine')",0.6046097,0.6110735,0.0064638
38,0.3616946,0.4288669,"('untruthful', 'truthful')",0.3616946,0.4288669,0.0671723
39,0.80215144,0.81313074,"('exploitative', 'cooperative')",0.8021514,0.8131307,0.0109793
40,-1.5921901,-1.5913534,"('stingy', 'generous')",-1.5921901,-1.5913534,0.0008367
41,0.86004674,0.621174,"('unforgiving', 'forgiving')",0.8600467,0.621174,-0.2388727
42,-2.3956916,-2.3610811,"('unreliable', 'reliable')",-2.3956916,-2.3610811,0.0346105
43,1.3601137,1.4141554,"('irresponsible', 'responsible')",1.3601137,1.4141554,0.0540417
