,berkley_male,berkley_female,tuple,w_male,w_female,r_male,r_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.880072,-1.9759923,"('unsociable', 'sociable')",0.71293426,0.56369793,0.5294887,0.52758163,0.34550694,0.24552035,-0.0730355,-0.1597981,-0.0867626
1,-1.3905356,-1.5784854,"('unfriendly', 'friendly')",-0.6450497,-0.7112962,-0.87786037,-0.9933735,1.2364978,1.1262554,-0.419237,-0.5392249,-0.1199879
2,0.5014148,0.57143223,"('unlikable', 'likable')",1.1539047,1.341053,0.9589766,1.0301721,0.66751134,0.62329084,0.8204519,0.8914871,0.0710352
3,-1.05045,-0.9657585,"('repellent', 'pleasant')",1.0565635,1.1609435,1.1265528,1.2744365,1.2078029,1.3296987,0.5851173,0.6998301,0.1147128
4,0.95518273,0.73783284,"('disliked', 'liked')",-0.67453647,-0.89509535,0.5861998,0.3466032,-6.8317037,-7.100004,-1.4912144,-1.7276659,-0.2364515
5,0.6044891,0.52773976,"('distant', 'outgoing')",-0.9704883,-0.9724113,-0.18205416,-0.2401927,-0.43742564,-0.5174544,-0.2463697,-0.3005797,-0.05421
6,0.2199853,0.20760989,"('distant', 'open')",-1.0137626,-0.95585835,-0.71988285,-0.73358667,-0.36121213,-0.34518245,-0.4687181,-0.4567544,0.0119637
7,-0.8410546,-0.84860134,"('insensitive', 'sensitive')",1.0925881,1.0627102,-0.070353225,0.024050146,1.1129035,1.1773864,0.3235209,0.3538863,0.0303654
8,-0.13718155,-0.2609861,"('unaffectionate', 'affectionate')",-0.5527464,-0.45326203,-0.112122566,-0.10746457,0.79985255,0.8037566,-0.0005495,-0.004489,-0.0039395
9,-0.5243044,-0.6389417,"('unaffectionate', 'caring')",0.5075796,0.51045907,0.84625506,0.88528186,1.7924976,1.7785003,0.655507,0.6338249,-0.0216821
10,-1.7741805,-1.7996812,"('unsympathetic', 'sympathetic')",1.5621074,1.4597338,0.038899504,0.123581745,0.45732376,0.49417958,0.0710375,0.0694535,-0.001584
11,-1.4997828,-1.5396554,"('unhelpful', 'helpful')",0.47591653,0.3775484,0.074117854,0.13643694,2.1964977,2.2061522,0.3116873,0.2951205,-0.0165668
