,aquifer_male,aquifer_female,tuple,average_male,average_female,female-male
0,-1.1016142,-1.2223179,"('unsociable', 'sociable')",-1.1016142,-1.2223179,-0.1207037
1,-0.7000905,-0.8442342,"('unfriendly', 'friendly')",-0.7000905,-0.8442342,-0.1441437
2,0.22079545,0.35155395,"('unlikable', 'likable')",0.2207955,0.3515539,0.1307584
3,-1.0337801,-0.7673265,"('repellent', 'pleasant')",-1.0337801,-0.7673265,0.2664536
4,-1.0987834,-1.1509749,"('disliked', 'liked')",-1.0987834,-1.1509749,-0.0521915
5,-0.085648224,-0.3075858,"('distant', 'outgoing')",-0.0856482,-0.3075858,-0.2219376
6,0.030046847,-0.14316991,"('distant', 'open')",0.0300468,-0.1431699,-0.1732167
7,-0.5462202,-0.38685283,"('insensitive', 'sensitive')",-0.5462202,-0.3868528,0.1593674
8,-1.1458925,-1.2903295,"('unaffectionate', 'affectionate')",-1.1458925,-1.2903295,-0.144437
9,-0.5378501,-0.6264079,"('unaffectionate', 'caring')",-0.5378501,-0.6264079,-0.0885578
10,-1.5875213,-1.3748899,"('unsympathetic', 'sympathetic')",-1.5875213,-1.3748899,0.2126314
11,-0.12400409,0.070487,"('unhelpful', 'helpful')",-0.1240041,0.070487,0.1944911
12,-0.8358788,-0.65354073,"('unsupportive', 'supportive')",-0.8358788,-0.6535407,0.1823381
13,-0.5295719,-0.48897463,"('impolite', 'polite')",-0.5295719,-0.4889746,0.0405973
14,-0.43129328,-0.27412218,"('antisocial', 'social')",-0.4312933,-0.2741222,0.1571711
15,0.79081243,0.52438325,"('boring', 'funny')",0.7908124,0.5243832,-0.2664292
16,0.50866973,0.36630625,"('unpopular', 'popular')",0.5086697,0.3663062,-0.1423635
17,-0.31423795,-0.1980003,"('nasty', 'nice')",-0.314238,-0.1980003,0.1162377
18,-0.79933095,-0.5861406,"('disagreeable', 'welcoming')",-0.7993309,-0.5861406,0.2131903
19,-1.9323548,-1.7734876,"('inhospitable', 'hospitable')",-1.9323548,-1.7734876,0.1588672
