,policeman_male,policeman_female,tuple,average_male,average_female,female-male
0,-0.033951093,-0.052338913,"('unsociable', 'sociable')",-0.0339511,-0.0523389,-0.0183878
1,0.90717405,1.0355834,"('unfriendly', 'friendly')",0.9071741,1.0355834,0.1284093
2,-0.2913776,-0.24647123,"('unlikable', 'likable')",-0.2913776,-0.2464712,0.0449064
3,0.6605037,0.9058344,"('repellent', 'pleasant')",0.6605037,0.9058344,0.2453307
4,-7.684547,-7.70231,"('disliked', 'liked')",-7.6845469,-7.7023101,-0.0177632
5,-1.0446452,-0.89456666,"('distant', 'outgoing')",-1.0446452,-0.8945667,0.1500785
6,-0.3975088,-0.32325163,"('distant', 'open')",-0.3975088,-0.3232516,0.0742572
7,1.0480039,1.1872795,"('insensitive', 'sensitive')",1.0480039,1.1872795,0.1392756
8,1.3125116,1.0725343,"('unaffectionate', 'affectionate')",1.3125116,1.0725343,-0.2399773
9,1.8586712,1.6202987,"('unaffectionate', 'caring')",1.8586712,1.6202987,-0.2383725
10,1.1179459,1.1903849,"('unsympathetic', 'sympathetic')",1.1179459,1.1903849,0.072439
11,1.5969921,1.5621189,"('unhelpful', 'helpful')",1.5969921,1.5621189,-0.0348732
12,-1.7974718,-1.8466958,"('unsupportive', 'supportive')",-1.7974718,-1.8466958,-0.049224
13,-0.22552027,-0.22759429,"('impolite', 'polite')",-0.2255203,-0.2275943,-0.002074
14,0.08318399,0.23310871,"('antisocial', 'social')",0.083184,0.2331087,0.1499247
15,-0.18288684,-0.32001996,"('boring', 'funny')",-0.1828868,-0.32002,-0.1371332
16,-0.6532365,-0.73860586,"('unpopular', 'popular')",-0.6532365,-0.7386059,-0.0853694
17,-0.5036452,-0.39207116,"('nasty', 'nice')",-0.5036452,-0.3920712,0.111574
18,-0.6199908,-0.55245256,"('disagreeable', 'welcoming')",-0.6199908,-0.5524526,0.0675382
19,-0.81778383,-0.9190803,"('inhospitable', 'hospitable')",-0.8177838,-0.9190803,-0.1012965
20,0.7543496,0.9152707,"('rough', 'thoughtful')",0.7543496,0.9152707,0.1609211
21,-0.28483498,-0.20257269,"('immoral', 'moral')",-0.284835,-0.2025727,0.0822623
22,-0.6093897,-0.48933384,"('untrustworthy', 'trustworthy')",-0.6093897,-0.4893338,0.1200559
23,6.591373,6.5683565,"('insincere', 'sincere')",6.591373,6.5683565,-0.0230165
24,1.5714817,1.3592407,"('dishonest', 'honest')",1.5714817,1.3592407,-0.212241
25,0.7625468,0.7019485,"('egoistic', 'altruistic')",0.7625468,0.7019485,-0.0605983
26,1.5010636,1.3144518,"('hardhearted', 'benevolent')",1.5010636,1.3144518,-0.1866118
27,1.4882184,1.552004,"('hardhearted', 'softhearted')",1.4882184,1.552004,0.0637856
28,1.3805567,1.1460176,"('disloyal', 'loyal')",1.3805567,1.1460176,-0.2345391
29,-0.7732176,-0.7025744,"('unfair', 'fair')",-0.7732176,-0.7025744,0.0706432
30,1.0343723,1.110084,"('intolerant', 'tolerant')",1.0343723,1.1100841,0.0757118
31,-1.6219882,-1.5724583,"('evil', 'good')",-1.6219882,-1.5724583,0.0495299
32,1.4847367,1.2646759,"('unkind', 'kind')",1.4847367,1.2646759,-0.2200608
33,-0.6288661,-0.7622028,"('wrong', 'right')",-0.6288661,-0.7622028,-0.1333367
34,4.8443017,4.887067,"('mean', 'honorable')",4.8443017,4.8870668,0.0427651
35,-0.62462693,-1.0139802,"('corrupt', 'incorrupt')",-0.6246269,-1.0139802,-0.3893533
36,-0.6013828,-0.8219664,"('hostile', 'amicable')",-0.6013828,-0.8219664,-0.2205836
37,0.8472514,0.7813626,"('fake', 'genuine')",0.8472514,0.7813626,-0.0658888
38,-0.21992758,-0.3030437,"('untruthful', 'truthful')",-0.2199276,-0.3030437,-0.0831161
39,0.32669917,0.39060578,"('exploitative', 'cooperative')",0.3266992,0.3906058,0.0639066
40,-1.6529971,-1.6772833,"('stingy', 'generous')",-1.6529971,-1.6772833,-0.0242862
41,0.012099261,-0.048630744,"('unforgiving', 'forgiving')",0.0120993,-0.0486307,-0.06073
42,-2.7679358,-2.5379977,"('unreliable', 'reliable')",-2.7679358,-2.5379977,0.2299381
43,1.0718141,1.0605321,"('irresponsible', 'responsible')",1.0718141,1.0605321,-0.011282
44,-0.9579966,-0.85164577,"('prejudiced', 'unprejudiced')",-0.9579966,-0.8516458,0.1063508
45,0.0692178,0.034471262,"('incompetent', 'competent')",0.0692178,0.0344713,-0.0347465
46,-0.7444499,-0.5931992,"('uncompetitive', 'competitive')",-0.7444499,-0.5931992,0.1512507
47,5.3522973,5.3726225,"('stupid', 'smart')",5.3522973,5.3726225,0.0203252
48,0.20898329,0.31698513,"('unintelligent', 'intelligent')",0.2089833,0.3169851,0.1080018
49,-0.2750025,-0.124784105,"('unable', 'able')",-0.2750025,-0.1247841,0.1502184
50,-0.76914525,-0.72993255,"('clumsy', 'skillful')",-0.7691453,-0.7299325,0.0392128
51,0.39570948,0.36583063,"('uneducated', 'educated')",0.3957095,0.3658306,-0.0298789
52,-0.6081217,-0.7117694,"('irrational', 'rational')",-0.6081217,-0.7117694,-0.1036477
53,0.07166221,-0.08218192,"('uncreative', 'creative')",0.0716622,-0.0821819,-0.1538441
54,0.7999038,0.8840267,"('incapable', 'capable')",0.7999038,0.8840267,0.0841229
55,0.759414,0.8742286,"('incompetent', 'clever')",0.759414,0.8742286,0.1148146
56,0.6932066,0.45763072,"('impractical', 'practical')",0.6932066,0.4576307,-0.2355759
57,-2.8871624,-2.7369745,"('unimaginative', 'imaginative')",-2.8871624,-2.7369745,0.1501879
