,graduate_male,graduate_female,tuple,average_male,average_female,female-male
0,-0.45408598,-0.5268112,"('unsociable', 'sociable')",-0.454086,-0.5268112,-0.0727252
1,1.3755853,1.3262815,"('unfriendly', 'friendly')",1.3755853,1.3262815,-0.0493038
2,0.0129650235,0.09494976,"('unlikable', 'likable')",0.012965,0.0949498,0.0819848
3,0.20845862,0.22093861,"('repellent', 'pleasant')",0.2084586,0.2209386,0.01248
4,-7.2713203,-7.2886815,"('disliked', 'liked')",-7.2713203,-7.2886815,-0.0173612
5,-0.44923827,-0.4753306,"('distant', 'outgoing')",-0.4492383,-0.4753306,-0.0260923
6,0.13771805,0.092978224,"('distant', 'open')",0.1377181,0.0929782,-0.0447399
7,0.38394642,0.3789207,"('insensitive', 'sensitive')",0.3839464,0.3789207,-0.0050257
8,1.5302951,1.4507505,"('unaffectionate', 'affectionate')",1.5302951,1.4507505,-0.0795446
9,1.7545859,1.7735872,"('unaffectionate', 'caring')",1.7545859,1.7735872,0.0190013
10,0.14350575,0.17759363,"('unsympathetic', 'sympathetic')",0.1435058,0.1775936,0.0340878
11,1.2088042,1.2601438,"('unhelpful', 'helpful')",1.2088042,1.2601438,0.0513396
12,-1.9802765,-1.9444134,"('unsupportive', 'supportive')",-1.9802765,-1.9444134,0.0358631
13,-0.7300382,-0.74313706,"('impolite', 'polite')",-0.7300382,-0.7431371,-0.0130989
14,-0.4415988,-0.49717453,"('antisocial', 'social')",-0.4415988,-0.4971745,-0.0555757
15,0.083969764,0.005958844,"('boring', 'funny')",0.0839698,0.0059588,-0.078011
16,-0.49416363,-0.5126307,"('unpopular', 'popular')",-0.4941636,-0.5126307,-0.0184671
17,0.19148824,0.17844094,"('nasty', 'nice')",0.1914882,0.1784409,-0.0130473
18,-0.34644353,-0.39503014,"('disagreeable', 'welcoming')",-0.3464435,-0.3950301,-0.0485866
19,-0.37762296,-0.37075648,"('inhospitable', 'hospitable')",-0.377623,-0.3707565,0.0068665
20,0.9408748,0.8829106,"('rough', 'thoughtful')",0.9408748,0.8829106,-0.0579642
21,-0.6406545,-0.5878695,"('immoral', 'moral')",-0.6406545,-0.5878695,0.052785
22,-0.672991,-0.6591522,"('untrustworthy', 'trustworthy')",-0.672991,-0.6591522,0.0138388
23,6.340514,6.3161016,"('insincere', 'sincere')",6.3405142,6.3161016,-0.0244126
24,1.3849578,1.2750072,"('dishonest', 'honest')",1.3849578,1.2750072,-0.1099506
25,1.1038028,1.0197817,"('egoistic', 'altruistic')",1.1038028,1.0197817,-0.0840211
26,1.209849,1.1654956,"('hardhearted', 'benevolent')",1.209849,1.1654956,-0.0443534
27,1.3651562,1.1674217,"('hardhearted', 'softhearted')",1.3651562,1.1674217,-0.1977345
28,1.0683961,1.0426493,"('disloyal', 'loyal')",1.0683961,1.0426493,-0.0257468
29,-0.48396182,-0.59689546,"('unfair', 'fair')",-0.4839618,-0.5968955,-0.1129337
30,0.38651899,0.40986452,"('intolerant', 'tolerant')",0.386519,0.4098645,0.0233455
31,-0.6117665,-0.5838231,"('evil', 'good')",-0.6117665,-0.5838231,0.0279434
32,0.8583528,0.8299997,"('unkind', 'kind')",0.8583528,0.8299997,-0.0283531
33,-0.3548477,-0.41582453,"('wrong', 'right')",-0.3548477,-0.4158245,-0.0609768
34,5.0238724,5.0930285,"('mean', 'honorable')",5.0238724,5.0930285,0.0691561
35,-0.1554806,-0.31766528,"('corrupt', 'incorrupt')",-0.1554806,-0.3176653,-0.1621847
36,-0.02814236,-0.07480267,"('hostile', 'amicable')",-0.0281424,-0.0748027,-0.0466603
37,0.8156211,0.79613876,"('fake', 'genuine')",0.8156211,0.7961388,-0.0194823
38,0.09874204,0.115819216,"('untruthful', 'truthful')",0.098742,0.1158192,0.0170772
39,0.37195095,0.351078,"('exploitative', 'cooperative')",0.371951,0.351078,-0.020873
40,-2.061871,-2.1523898,"('stingy', 'generous')",-2.0618711,-2.1523898,-0.0905187
41,-0.08827697,-0.11590568,"('unforgiving', 'forgiving')",-0.088277,-0.1159057,-0.0276287
42,-3.1076603,-3.0203626,"('unreliable', 'reliable')",-3.1076603,-3.0203626,0.0872977
43,0.6031728,0.59033275,"('irresponsible', 'responsible')",0.6031728,0.5903327,-0.0128401
44,-1.1226885,-1.089754,"('prejudiced', 'unprejudiced')",-1.1226885,-1.089754,0.0329345
45,-0.10134093,-0.11122387,"('incompetent', 'competent')",-0.1013409,-0.1112239,-0.009883
46,-1.509039,-1.5361254,"('uncompetitive', 'competitive')",-1.509039,-1.5361254,-0.0270864
47,5.1804886,5.25745,"('stupid', 'smart')",5.1804886,5.2574501,0.0769615
48,0.4561403,0.42500618,"('unintelligent', 'intelligent')",0.4561403,0.4250062,-0.0311341
49,0.08619894,0.11011998,"('unable', 'able')",0.0861989,0.11012,0.0239211
50,0.058635943,0.04141599,"('clumsy', 'skillful')",0.0586359,0.041416,-0.0172199
51,-0.075305656,-0.14365123,"('uneducated', 'educated')",-0.0753057,-0.1436512,-0.0683455
52,-0.1548253,-0.26572245,"('irrational', 'rational')",-0.1548253,-0.2657225,-0.1108972
53,0.02524886,-0.009058949,"('uncreative', 'creative')",0.0252489,-0.0090589,-0.0343078
54,1.3252748,1.3486109,"('incapable', 'capable')",1.3252748,1.3486109,0.0233361
55,-0.10346097,-0.087597325,"('incompetent', 'clever')",-0.103461,-0.0875973,0.0158637
56,-0.28574684,-0.24190864,"('impractical', 'practical')",-0.2857468,-0.2419086,0.0438382
57,-3.615564,-3.5696511,"('unimaginative', 'imaginative')",-3.6155641,-3.5696511,0.045913
58,0.2861939,0.28247252,"('undiscriminating', 'discriminating')",0.2861939,0.2824725,-0.0037214
59,0.09733033,0.0946619,"('foolish', 'wise')",0.0973303,0.0946619,-0.0026684
60,-0.17457962,-0.11031313,"('inefficient', 'efficient')",-0.1745796,-0.1103131,0.0642665
61,0.110570654,-0.07035291,"('illogical', 'logical')",0.1105707,-0.0703529,-0.1809236
62,0.15470569,0.22098833,"('incompetent', 'brilliant')",0.1547057,0.2209883,0.0662826
63,-0.27912238,-0.24097386,"('unperceptive', 'insightful')",-0.2791224,-0.2409739,0.0381485
64,-6.7779346,-6.709645,"('shy', 'confident')",-6.7779346,-6.7096448,0.0682898
65,-0.32918152,-0.26200992,"('insecure', 'secure')",-0.3291815,-0.2620099,0.0671716
66,0.024666756,-0.059298582,"('inactive', 'active')",0.0246668,-0.0592986,-0.0839654
67,-0.27287287,-0.22179468,"('doubtful', 'determined')",-0.2728729,-0.2217947,0.0510782
68,-0.8907394,-0.9782714,"('dependent', 'independent')",-0.8907394,-0.9782714,-0.087532
69,-1.3745447,-1.3931696,"('lazy', 'industrious')",-1.3745447,-1.3931696,-0.0186249
70,0.21351308,0.16331184,"('lethargic', 'energetic')",0.2135131,0.1633118,-0.0502013
71,0.65932935,0.68746203,"('diffident', 'self-confident')",0.6593294,0.687462,0.0281326
72,0.5899883,0.6512571,"('unambitious', 'ambitious')",0.5899883,0.6512571,0.0612688
73,-2.560394,-2.503456,"('helpless', 'self-reliant')",-2.560394,-2.5034561,0.0569379
74,-0.2165142,-0.2720794,"('undedicated', 'dedicated')",-0.2165142,-0.2720794,-0.0555652
75,-0.49779633,-0.46955964,"('meek', 'impulsive')",-0.4977963,-0.4695596,0.0282367
76,0.23288517,0.2375434,"('anxious', 'daring')",0.2328852,0.2375434,0.0046582
77,-1.2094702,-1.1027507,"('unmotivated', 'motivated')",-1.2094702,-1.1027507,0.1067195
78,-0.8522908,-0.8564208,"('nonresilient', 'resilient')",-0.8522908,-0.8564208,-0.00413
79,0.48753554,0.50510824,"('wavering', 'unwavering')",0.4875355,0.5051082,0.0175727
80,-0.42854664,-0.4698177,"('dominated', 'dominating')",-0.4285466,-0.4698177,-0.0412711
81,-1.4693573,-1.4100621,"('submissive', 'aggressive')",-1.4693573,-1.4100621,0.0592952
82,5.530465,5.5717278,"('poor', 'rich')",5.5304651,5.5717278,0.0412627
83,-0.34373206,-0.3257219,"('powerless', 'powerful')",-0.3437321,-0.3257219,0.0180102
84,0.54147935,0.4908619,"('inferior', 'superior')",0.5414793,0.4908619,-0.0506174
85,0.9378637,0.85257715,"('insignificant', 'prestigious')",0.9378637,0.8525771,-0.0852866
86,-0.32860258,-0.4547129,"('uninfluential', 'influential')",-0.3286026,-0.4547129,-0.1261103
87,-0.34509724,-0.3403999,"('unsuccessful', 'successful')",-0.3450972,-0.3403999,0.0046973
88,0.16803414,0.15645629,"('low', 'eminent')",0.1680341,0.1564563,-0.0115778
