,politician_male,politician_female,tuple,average_male,average_female,female-male
0,1.1364532,0.85756844,"('unsociable', 'sociable')",1.1364532,0.8575684,-0.2788848
1,0.36240292,0.45310366,"('unfriendly', 'friendly')",0.3624029,0.4531037,0.0907008
2,0.094853856,0.39860043,"('unlikable', 'likable')",0.0948539,0.3986004,0.3037465
3,0.7708686,0.91458964,"('repellent', 'pleasant')",0.7708686,0.9145896,0.143721
4,-6.547799,-6.633923,"('disliked', 'liked')",-6.5477991,-6.6339231,-0.086124
5,-1.5925479,-1.1366689,"('distant', 'outgoing')",-1.5925479,-1.1366689,0.455879
6,-1.5511464,-1.14154,"('distant', 'open')",-1.5511464,-1.1415401,0.4096063
7,1.4273305,1.0960927,"('insensitive', 'sensitive')",1.4273305,1.0960927,-0.3312378
8,0.28326076,0.46538004,"('unaffectionate', 'affectionate')",0.2832608,0.46538,0.1821192
9,1.4921582,1.6194401,"('unaffectionate', 'caring')",1.4921582,1.6194401,0.1272819
10,1.7155609,1.657554,"('unsympathetic', 'sympathetic')",1.7155609,1.657554,-0.0580069
11,2.8652048,2.7384186,"('unhelpful', 'helpful')",2.8652048,2.7384186,-0.1267862
12,-1.306973,-1.3824273,"('unsupportive', 'supportive')",-1.306973,-1.3824273,-0.0754543
13,0.8748263,0.8223773,"('impolite', 'polite')",0.8748263,0.8223773,-0.052449
14,0.9745131,0.7222936,"('antisocial', 'social')",0.9745131,0.7222936,-0.2522195
15,0.3424413,0.16337833,"('boring', 'funny')",0.3424413,0.1633783,-0.179063
16,-0.21986061,-0.05724351,"('unpopular', 'popular')",-0.2198606,-0.0572435,0.1626171
17,-0.49724904,-0.41211936,"('nasty', 'nice')",-0.497249,-0.4121194,0.0851296
18,-1.0958092,-1.0999744,"('disagreeable', 'welcoming')",-1.0958092,-1.0999744,-0.0041652
19,-1.325437,-1.1021153,"('inhospitable', 'hospitable')",-1.3254369,-1.1021153,0.2233216
20,0.8012538,0.6505246,"('rough', 'thoughtful')",0.8012538,0.6505246,-0.1507292
21,0.73337454,0.7317632,"('immoral', 'moral')",0.7333745,0.7317632,-0.0016113
