,prey_male,prey_female,tuple,average_male,average_female,female-male
0,0.683537,0.554948,"('unsociable', 'sociable')",0.683537,0.554948,-0.128589
1,0.6948631,0.7155748,"('unfriendly', 'friendly')",0.6948631,0.7155748,0.0207117
2,-0.12340383,0.04013481,"('unlikable', 'likable')",-0.1234038,0.0401348,0.1635386
3,0.7879765,0.9776674,"('repellent', 'pleasant')",0.7879765,0.9776674,0.1896909
4,-6.893524,-7.234838,"('disliked', 'liked')",-6.8935242,-7.234838,-0.3413138
5,-0.76406395,-0.79837775,"('distant', 'outgoing')",-0.764064,-0.7983778,-0.0343138
6,-0.300173,-0.45781827,"('distant', 'open')",-0.300173,-0.4578183,-0.1576453
7,1.6571786,1.7124796,"('insensitive', 'sensitive')",1.6571786,1.7124796,0.055301
8,0.6574167,0.63931686,"('unaffectionate', 'affectionate')",0.6574167,0.6393169,-0.0180998
9,0.96720797,1.0574526,"('unaffectionate', 'caring')",0.967208,1.0574526,0.0902446
10,1.4282238,1.4346611,"('unsympathetic', 'sympathetic')",1.4282238,1.4346611,0.0064373
11,1.6020225,1.7878078,"('unhelpful', 'helpful')",1.6020225,1.7878078,0.1857853
12,-1.3868824,-1.3777809,"('unsupportive', 'supportive')",-1.3868824,-1.3777809,0.0091015
13,0.30292487,0.4851713,"('impolite', 'polite')",0.3029249,0.4851713,0.1822464
14,0.6549522,0.68020093,"('antisocial', 'social')",0.6549522,0.6802009,0.0252487
15,0.55882645,0.4714007,"('boring', 'funny')",0.5588264,0.4714007,-0.0874257
16,-1.040026,-1.0207726,"('unpopular', 'popular')",-1.0400259,-1.0207726,0.0192533
17,-0.13333392,-0.20535724,"('nasty', 'nice')",-0.1333339,-0.2053572,-0.0720233
18,-0.44243395,-0.30542916,"('disagreeable', 'welcoming')",-0.442434,-0.3054292,0.1370048
19,-1.1179495,-1.1118855,"('inhospitable', 'hospitable')",-1.1179495,-1.1118855,0.006064
20,0.64410394,0.61252874,"('rough', 'thoughtful')",0.6441039,0.6125287,-0.0315752
21,0.23423532,0.42328054,"('immoral', 'moral')",0.2342353,0.4232805,0.1890452
22,0.31199756,0.25506783,"('untrustworthy', 'trustworthy')",0.3119976,0.2550678,-0.0569298
23,5.703175,6.1397943,"('insincere', 'sincere')",5.7031751,6.1397943,0.4366192
24,1.2833277,1.33923,"('dishonest', 'honest')",1.2833277,1.3392299,0.0559022
25,0.5928903,0.65409195,"('egoistic', 'altruistic')",0.5928903,0.654092,0.0612017
26,1.2961967,0.99415255,"('hardhearted', 'benevolent')",1.2961967,0.9941525,-0.3020442
27,1.6380364,1.4621595,"('hardhearted', 'softhearted')",1.6380364,1.4621595,-0.1758769
28,1.2956995,1.1673254,"('disloyal', 'loyal')",1.2956995,1.1673254,-0.1283741
29,-0.38660482,-0.585431,"('unfair', 'fair')",-0.3866048,-0.585431,-0.1988262
30,1.1531972,1.2600534,"('intolerant', 'tolerant')",1.1531972,1.2600534,0.1068562
31,-1.5948503,-1.7360781,"('evil', 'good')",-1.5948503,-1.7360781,-0.1412278
